REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
1976-01-01,Alberta,586000,1244.3333333333333,2286.6666666666665,6568.333333333333,,,
1976-01-01,British Columbia,851000,1948.6666666666667,2268.0,7323.0,,,
1976-01-01,Canada,7294000,13682.666666666666,14508.333333333334,58336.66666666666,,,
1976-01-01,Manitoba,332000,482.6666666666667,603.0,1779.0,,,
1976-01-01,New Brunswick,194000,370.6666666666667,155.33333333333334,1168.0,,,
1976-01-01,Newfoundland and Labrador,133000,340.0,278.3333333333333,1517.6666666666667,,,
1976-01-01,Ontario,2682000,5361.0,4522.666666666667,24256.666666666668,,,
1976-01-01,Prince Edward Island,33000,99.33333333333331,45.66666666666666,50.0,,,
1976-01-01,Quebec,1943000,2816.333333333333,3357.333333333333,10791.666666666666,,,
1976-02-01,Alberta,586000,1244.3333333333333,2286.6666666666665,6568.333333333333,,,
1976-02-01,British Columbia,851000,1948.6666666666667,2268.0,7323.0,,,
1976-02-01,Canada,7294000,13682.666666666666,14508.333333333334,58336.66666666666,,,
1976-02-01,Manitoba,332000,482.6666666666667,603.0,1779.0,,,
1976-02-01,New Brunswick,194000,370.6666666666667,155.33333333333334,1168.0,,,
1976-02-01,Newfoundland and Labrador,133000,340.0,278.3333333333333,1517.6666666666667,,,
1976-02-01,Ontario,2682000,5361.0,4522.666666666667,24256.666666666668,,,
1976-02-01,Prince Edward Island,33000,99.33333333333331,45.66666666666666,50.0,,,
1976-02-01,Quebec,1943000,2816.333333333333,3357.333333333333,10791.666666666666,,,
1976-03-01,Alberta,586000,1244.3333333333333,2286.6666666666665,6568.333333333333,,,
1976-03-01,British Columbia,851000,1948.6666666666667,2268.0,7323.0,,,
1976-03-01,Canada,7294000,13682.666666666666,14508.333333333334,58336.66666666666,,,
1976-03-01,Manitoba,332000,482.6666666666667,603.0,1779.0,,,
1976-03-01,New Brunswick,194000,370.6666666666667,155.33333333333334,1168.0,,,
1976-03-01,Newfoundland and Labrador,133000,340.0,278.3333333333333,1517.6666666666667,,,
1976-03-01,Ontario,2682000,5361.0,4522.666666666667,24256.666666666668,,,
