Year,Province,Both sexes,Female,Male,Age 0-14,Age 15-64,Age 65+,Average Age
1996,Manitoba,1113900.0,566365.0,547535.0,244620.0,717115.0,152165.0,36.2
1996,New Brunswick,738130.0,375195.0,362935.0,144610.0,500345.0,93175.0,36.7
1996,Newfoundland and Labrador,551790.0,279215.0,272580.0,109790.0,382530.0,59475.0,35.5
1996,Northwest Territories,64400.0,31025.0,33380.0,21000.0,41465.0,1935.0,26.9
1996,Nova Scotia,909280.0,466930.0,442350.0,180110.0,610060.0,119115.0,37.0
1996,Ontario,10753575.0,5495665.0,5257910.0,2214225.0,7205250.0,1334100.0,36.4
1996,Prince Edward Island,134560.0,68495.0,66060.0,29100.0,88005.0,17450.0,36.2
1996,Quebec,7138795.0,3645425.0,3493365.0,1372190.0,4905900.0,860705.0,36.9
1996,Saskatchewan,990240.0,500810.0,489425.0,228585.0,616040.0,145610.0,36.2
1996,Yukon,30765.0,14885.0,15885.0,7385.0,22020.0,1360.0,31.9
1997,Alberta,2752421.0,1376464.0,1375958.0,615106.0,1862107.0,275204.0,34.54
1997,British Columbia,3761148.0,1905087.0,1856060.0,729354.0,2544504.0,487293.0,37.22
1997,Canada,29078826.0,14801436.0,14277390.0,5866131.0,19612714.0,3599982.0,36.58
1997,Manitoba,1115036.0,567089.0,547948.0,242439.0,719583.0,153016.0,36.440000000000005
1997,New Brunswick,736404.0,374714.0,361689.0,141707.0,500369.0,94326.0,37.080000000000005
1997,Newfoundland and Labrador,544018.0,275765.0,268257.0,105586.0,378245.0,60192.0,36.04
1997,Northwest Territories,58992.0,28469.0,30527.0,18822.0,38296.0,1875.0,27.619999999999997
1997,Nova Scotia,909026.0,467328.0,441698.0,177093.0,611331.0,120605.0,37.36
1997,Ontario,10884869.0,5563129.0,5321740.0,2217930.0,7305226.0,1361714.0,36.62
1997,Prince Edward Island,134706.0,68704.0,65998.0,28610.0,88419.0,17674.0,36.56
1997,Quebec,7158532.0,3657267.0,3501261.0,1356068.0,4921937.0,880527.0,37.24
1997,Saskatchewan,987978.0,500084.0,487891.0,224313.0,617660.0,146002.0,36.46
1997,Yukon,30347.0,14754.0,15597.0,7115.0,21798.0,1434.0,32.44
1998,Alberta,2808017.0,1404403.0,1403616.0,615727.0,1908784.0,283503.0,34.78
1998,British Columbia,3797796.0,1925974.0,1871820.0,723533.0,2575523.0,498741.0,37.54
