REF_DATE,GEO,Number_of_Households
1977-09-01,Newfoundland and Labrador,137
1977-09-01,Ontario,2752
1977-09-01,Prince Edward Island,34
1977-09-01,Quebec,1996
1977-09-01,Canada,7520
1977-10-01,Alberta,624
1977-10-01,British Columbia,886
1977-10-01,Manitoba,338
1977-10-01,New Brunswick,199
1977-10-01,Newfoundland and Labrador,137
1977-10-01,Ontario,2752
1977-10-01,Prince Edward Island,34
1977-10-01,Quebec,1996
1977-10-01,Canada,7520
1977-11-01,Alberta,624
1977-11-01,British Columbia,886
1977-11-01,Manitoba,338
1977-11-01,New Brunswick,199
1977-11-01,Newfoundland and Labrador,137
1977-11-01,Ontario,2752
1977-11-01,Prince Edward Island,34
1977-11-01,Quebec,1996
1977-11-01,Canada,7520
1977-12-01,Alberta,624
1977-12-01,British Columbia,886
1977-12-01,Manitoba,338
1977-12-01,New Brunswick,199
1977-12-01,Newfoundland and Labrador,137
1977-12-01,Ontario,2752
1977-12-01,Prince Edward Island,34
1977-12-01,Quebec,1996
1977-12-01,Canada,7520
1978-01-01,Alberta,662
1978-01-01,British Columbia,921
1978-01-01,Manitoba,344
1978-01-01,New Brunswick,204
1978-01-01,Newfoundland and Labrador,140
1978-01-01,Ontario,2821
1978-01-01,Prince Edward Island,35
1978-01-01,Quebec,2049
1978-01-01,Canada,7744
1978-02-01,Alberta,662
1978-02-01,British Columbia,921
1978-02-01,Manitoba,344
1978-02-01,New Brunswick,204
1978-02-01,Newfoundland and Labrador,140
1978-02-01,Ontario,2821
1978-02-01,Prince Edward Island,35
1978-02-01,Quebec,2049
1978-02-01,Canada,7744
1978-03-01,Alberta,662
1978-03-01,British Columbia,921
1978-03-01,Manitoba,344
1978-03-01,New Brunswick,204
1978-03-01,Newfoundland and Labrador,140
1978-03-01,Ontario,2821
1978-03-01,Prince Edward Island,35
1978-03-01,Quebec,2049
1978-03-01,Canada,7744
1978-04-01,Alberta,662
1978-04-01,British Columbia,921
1978-04-01,Manitoba,344
1978-04-01,New Brunswick,204
1978-04-01,Newfoundland and Labrador,140
1978-04-01,Ontario,2821
1978-04-01,Prince Edward Island,35
1978-04-01,Quebec,2049
1978-04-01,Canada,7744
1978-05-01,Alberta,662
1978-05-01,British Columbia,921
1978-05-01,Manitoba,344
1978-05-01,New Brunswick,204
1978-05-01,Newfoundland and Labrador,140
1978-05-01,Ontario,2821
1978-05-01,Prince Edward Island,35
1978-05-01,Quebec,2049
1978-05-01,Canada,7744
1978-06-01,Alberta,662
1978-06-01,British Columbia,921
1978-06-01,Manitoba,344
1978-06-01,New Brunswick,204
1978-06-01,Newfoundland and Labrador,140
1978-06-01,Ontario,2821
1978-06-01,Prince Edward Island,35
1978-06-01,Quebec,2049
1978-06-01,Canada,7744
1978-07-01,Alberta,662
1978-07-01,British Columbia,921
1978-07-01,Manitoba,344
1978-07-01,New Brunswick,204
1978-07-01,Newfoundland and Labrador,140
1978-07-01,Ontario,2821
1978-07-01,Prince Edward Island,35
1978-07-01,Quebec,2049
1978-07-01,Canada,7744
1978-08-01,Alberta,662
1978-08-01,British Columbia,921
1978-08-01,Manitoba,344
1978-08-01,New Brunswick,204
1978-08-01,Newfoundland and Labrador,140
1978-08-01,Ontario,2821
1978-08-01,Prince Edward Island,35
1978-08-01,Quebec,2049
1978-08-01,Canada,7744
1978-09-01,Alberta,662
1978-09-01,British Columbia,921
1978-09-01,Manitoba,344
1978-09-01,New Brunswick,204
1978-09-01,Newfoundland and Labrador,140
1978-09-01,Ontario,2821
1978-09-01,Prince Edward Island,35
1978-09-01,Quebec,2049
1978-09-01,Canada,7744
1978-10-01,Alberta,662
1978-10-01,British Columbia,921
1978-10-01,Manitoba,344
1978-10-01,New Brunswick,204
1978-10-01,Newfoundland and Labrador,140
1978-10-01,Ontario,2821
1978-10-01,Prince Edward Island,35
1978-10-01,Quebec,2049
1978-10-01,Canada,7744
1978-11-01,Alberta,662
1978-11-01,British Columbia,921
1978-11-01,Manitoba,344
1978-11-01,New Brunswick,204
1978-11-01,Newfoundland and Labrador,140
1978-11-01,Ontario,2821
1978-11-01,Prince Edward Island,35
1978-11-01,Quebec,2049
1978-11-01,Canada,7744
1978-12-01,Alberta,662
1978-12-01,British Columbia,921
1978-12-01,Manitoba,344
1978-12-01,New Brunswick,204
1978-12-01,Newfoundland and Labrador,140
1978-12-01,Ontario,2821
1978-12-01,Prince Edward Island,35
1978-12-01,Quebec,2049
1978-12-01,Canada,7744
1979-01-01,Alberta,701
1979-01-01,British Columbia,955
1979-01-01,Manitoba,349
1979-01-01,New Brunswick,208
1979-01-01,Newfoundland and Labrador,144
1979-01-01,Ontario,2891
1979-01-01,Prince Edward Island,36
1979-01-01,Quebec,2103
1979-01-01,Canada,7970
1979-02-01,Alberta,701
1979-02-01,British Columbia,955
1979-02-01,Manitoba,349
1979-02-01,New Brunswick,208
1979-02-01,Newfoundland and Labrador,144
1979-02-01,Ontario,2891
1979-02-01,Prince Edward Island,36
1979-02-01,Quebec,2103
1979-02-01,Canada,7970
1979-03-01,Alberta,701
1979-03-01,British Columbia,955
1979-03-01,Manitoba,349
1979-03-01,New Brunswick,208
1979-03-01,Newfoundland and Labrador,144
1979-03-01,Ontario,2891
1979-03-01,Prince Edward Island,36
1979-03-01,Quebec,2103
1979-03-01,Canada,7970
1979-04-01,Alberta,701
1979-04-01,British Columbia,955
1979-04-01,Manitoba,349
1979-04-01,New Brunswick,208
1979-04-01,Newfoundland and Labrador,144
1979-04-01,Ontario,2891
1979-04-01,Prince Edward Island,36
1979-04-01,Quebec,2103
1979-04-01,Canada,7970
1979-05-01,Alberta,701
1979-05-01,British Columbia,955
1979-05-01,Manitoba,349
1979-05-01,New Brunswick,208
1979-05-01,Newfoundland and Labrador,144
1979-05-01,Ontario,2891
1979-05-01,Prince Edward Island,36
1979-05-01,Quebec,2103
1979-05-01,Canada,7970
1979-06-01,Alberta,701
1979-06-01,British Columbia,955
1979-06-01,Manitoba,349
1979-06-01,New Brunswick,208
