REF_DATE,GEO,Number_of_Households
1991-04-01,Newfoundland and Labrador,178
1991-04-01,Ontario,3752
1991-04-01,Prince Edward Island,45
1991-04-01,Quebec,2697
1991-04-01,Canada,10245
1991-05-01,Alberta,926
1991-05-01,British Columbia,1277
1991-05-01,Manitoba,411
1991-05-01,New Brunswick,261
1991-05-01,Newfoundland and Labrador,178
1991-05-01,Ontario,3752
1991-05-01,Prince Edward Island,45
1991-05-01,Quebec,2697
1991-05-01,Canada,10245
1991-06-01,Alberta,926
1991-06-01,British Columbia,1277
1991-06-01,Manitoba,411
1991-06-01,New Brunswick,261
1991-06-01,Newfoundland and Labrador,178
1991-06-01,Ontario,3752
1991-06-01,Prince Edward Island,45
1991-06-01,Quebec,2697
1991-06-01,Canada,10245
1991-07-01,Alberta,926
1991-07-01,British Columbia,1277
1991-07-01,Manitoba,411
1991-07-01,New Brunswick,261
1991-07-01,Newfoundland and Labrador,178
1991-07-01,Ontario,3752
1991-07-01,Prince Edward Island,45
1991-07-01,Quebec,2697
1991-07-01,Canada,10245
1991-08-01,Alberta,926
1991-08-01,British Columbia,1277
1991-08-01,Manitoba,411
1991-08-01,New Brunswick,261
1991-08-01,Newfoundland and Labrador,178
1991-08-01,Ontario,3752
1991-08-01,Prince Edward Island,45
1991-08-01,Quebec,2697
1991-08-01,Canada,10245
1991-09-01,Alberta,926
1991-09-01,British Columbia,1277
1991-09-01,Manitoba,411
1991-09-01,New Brunswick,261
1991-09-01,Newfoundland and Labrador,178
1991-09-01,Ontario,3752
1991-09-01,Prince Edward Island,45
1991-09-01,Quebec,2697
1991-09-01,Canada,10245
1991-10-01,Alberta,926
1991-10-01,British Columbia,1277
1991-10-01,Manitoba,411
1991-10-01,New Brunswick,261
1991-10-01,Newfoundland and Labrador,178
1991-10-01,Ontario,3752
1991-10-01,Prince Edward Island,45
1991-10-01,Quebec,2697
1991-10-01,Canada,10245
1991-11-01,Alberta,926
1991-11-01,British Columbia,1277
1991-11-01,Manitoba,411
1991-11-01,New Brunswick,261
1991-11-01,Newfoundland and Labrador,178
1991-11-01,Ontario,3752
1991-11-01,Prince Edward Island,45
1991-11-01,Quebec,2697
1991-11-01,Canada,10245
1991-12-01,Alberta,926
1991-12-01,British Columbia,1277
1991-12-01,Manitoba,411
1991-12-01,New Brunswick,261
1991-12-01,Newfoundland and Labrador,178
1991-12-01,Ontario,3752
1991-12-01,Prince Edward Island,45
1991-12-01,Quebec,2697
1991-12-01,Canada,10245
1992-01-01,Alberta,942
1992-01-01,British Columbia,1318
1992-01-01,Manitoba,414
1992-01-01,New Brunswick,264
1992-01-01,Newfoundland and Labrador,180
1992-01-01,Ontario,3810
1992-01-01,Prince Edward Island,46
1992-01-01,Quebec,2731
1992-01-01,Canada,10410
1992-02-01,Alberta,942
1992-02-01,British Columbia,1318
1992-02-01,Manitoba,414
1992-02-01,New Brunswick,264
1992-02-01,Newfoundland and Labrador,180
1992-02-01,Ontario,3810
1992-02-01,Prince Edward Island,46
1992-02-01,Quebec,2731
1992-02-01,Canada,10410
1992-03-01,Alberta,942
1992-03-01,British Columbia,1318
1992-03-01,Manitoba,414
1992-03-01,New Brunswick,264
1992-03-01,Newfoundland and Labrador,180
1992-03-01,Ontario,3810
1992-03-01,Prince Edward Island,46
1992-03-01,Quebec,2731
1992-03-01,Canada,10410
1992-04-01,Alberta,942
1992-04-01,British Columbia,1318
1992-04-01,Manitoba,414
1992-04-01,New Brunswick,264
1992-04-01,Newfoundland and Labrador,180
1992-04-01,Ontario,3810
1992-04-01,Prince Edward Island,46
1992-04-01,Quebec,2731
1992-04-01,Canada,10410
1992-05-01,Alberta,942
1992-05-01,British Columbia,1318
1992-05-01,Manitoba,414
1992-05-01,New Brunswick,264
1992-05-01,Newfoundland and Labrador,180
1992-05-01,Ontario,3810
1992-05-01,Prince Edward Island,46
1992-05-01,Quebec,2731
1992-05-01,Canada,10410
1992-06-01,Alberta,942
1992-06-01,British Columbia,1318
1992-06-01,Manitoba,414
1992-06-01,New Brunswick,264
1992-06-01,Newfoundland and Labrador,180
1992-06-01,Ontario,3810
1992-06-01,Prince Edward Island,46
1992-06-01,Quebec,2731
1992-06-01,Canada,10410
1992-07-01,Alberta,942
1992-07-01,British Columbia,1318
1992-07-01,Manitoba,414
1992-07-01,New Brunswick,264
1992-07-01,Newfoundland and Labrador,180
1992-07-01,Ontario,3810
1992-07-01,Prince Edward Island,46
1992-07-01,Quebec,2731
1992-07-01,Canada,10410
1992-08-01,Alberta,942
1992-08-01,British Columbia,1318
1992-08-01,Manitoba,414
1992-08-01,New Brunswick,264
1992-08-01,Newfoundland and Labrador,180
1992-08-01,Ontario,3810
1992-08-01,Prince Edward Island,46
1992-08-01,Quebec,2731
1992-08-01,Canada,10410
1992-09-01,Alberta,942
1992-09-01,British Columbia,1318
1992-09-01,Manitoba,414
1992-09-01,New Brunswick,264
1992-09-01,Newfoundland and Labrador,180
1992-09-01,Ontario,3810
1992-09-01,Prince Edward Island,46
1992-09-01,Quebec,2731
1992-09-01,Canada,10410
1992-10-01,Alberta,942
1992-10-01,British Columbia,1318
1992-10-01,Manitoba,414
1992-10-01,New Brunswick,264
1992-10-01,Newfoundland and Labrador,180
1992-10-01,Ontario,3810
1992-10-01,Prince Edward Island,46
1992-10-01,Quebec,2731
1992-10-01,Canada,10410
1992-11-01,Alberta,942
1992-11-01,British Columbia,1318
1992-11-01,Manitoba,414
1992-11-01,New Brunswick,264
1992-11-01,Newfoundland and Labrador,180
1992-11-01,Ontario,3810
1992-11-01,Prince Edward Island,46
1992-11-01,Quebec,2731
1992-11-01,Canada,10410
1992-12-01,Alberta,942
1992-12-01,British Columbia,1318
1992-12-01,Manitoba,414
1992-12-01,New Brunswick,264
1992-12-01,Newfoundland and Labrador,180
1992-12-01,Ontario,3810
1992-12-01,Prince Edward Island,46
1992-12-01,Quebec,2731
1992-12-01,Canada,10410
1993-01-01,Alberta,959
1993-01-01,British Columbia,1359
1993-01-01,Manitoba,417
1993-01-01,New Brunswick,267
1993-01-01,Newfoundland and Labrador,182
1993-01-01,Ontario,3869
1993-01-01,Prince Edward Island,46
1993-01-01,Quebec,2765
1993-01-01,Canada,10576
1993-02-01,Alberta,959
1993-02-01,British Columbia,1359
1993-02-01,Manitoba,417
1993-02-01,New Brunswick,267
1993-02-01,Newfoundland and Labrador,182
1993-02-01,Ontario,3869
1993-02-01,Prince Edward Island,46
1993-02-01,Quebec,2765
1993-02-01,Canada,10576
1993-03-01,Alberta,959
1993-03-01,British Columbia,1359
1993-03-01,Manitoba,417
1993-03-01,New Brunswick,267
1993-03-01,Newfoundland and Labrador,182
1993-03-01,Ontario,3869
1993-03-01,Prince Edward Island,46
1993-03-01,Quebec,2765
1993-03-01,Canada,10576
1993-04-01,Alberta,959
1993-04-01,British Columbia,1359
1993-04-01,Manitoba,417
1993-04-01,New Brunswick,267
1993-04-01,Newfoundland and Labrador,182
1993-04-01,Ontario,3869
1993-04-01,Prince Edward Island,46
1993-04-01,Quebec,2765
1993-04-01,Canada,10576
1993-05-01,Alberta,959
1993-05-01,British Columbia,1359
1993-05-01,Manitoba,417
1993-05-01,New Brunswick,267
1993-05-01,Newfoundland and Labrador,182
1993-05-01,Ontario,3869
1993-05-01,Prince Edward Island,46
1993-05-01,Quebec,2765
1993-05-01,Canada,10576
1993-06-01,Alberta,959
1993-06-01,British Columbia,1359
1993-06-01,Manitoba,417
1993-06-01,New Brunswick,267
1993-06-01,Newfoundland and Labrador,182
1993-06-01,Ontario,3869
1993-06-01,Prince Edward Island,46
1993-06-01,Quebec,2765
1993-06-01,Canada,10576
1993-07-01,Alberta,959
1993-07-01,British Columbia,1359
1993-07-01,Manitoba,417
1993-07-01,New Brunswick,267
1993-07-01,Newfoundland and Labrador,182
1993-07-01,Ontario,3869
1993-07-01,Prince Edward Island,46
1993-07-01,Quebec,2765
1993-07-01,Canada,10576
1993-08-01,Alberta,959
1993-08-01,British Columbia,1359
1993-08-01,Manitoba,417
1993-08-01,New Brunswick,267
1993-08-01,Newfoundland and Labrador,182
1993-08-01,Ontario,3869
1993-08-01,Prince Edward Island,46
1993-08-01,Quebec,2765
1993-08-01,Canada,10576
1993-09-01,Alberta,959
1993-09-01,British Columbia,1359
1993-09-01,Manitoba,417
1993-09-01,New Brunswick,267
1993-09-01,Newfoundland and Labrador,182
1993-09-01,Ontario,3869
1993-09-01,Prince Edward Island,46
1993-09-01,Quebec,2765
1993-09-01,Canada,10576
1993-10-01,Alberta,959
1993-10-01,British Columbia,1359
1993-10-01,Manitoba,417
1993-10-01,New Brunswick,267
1993-10-01,Newfoundland and Labrador,182
1993-10-01,Ontario,3869
1993-10-01,Prince Edward Island,46
1993-10-01,Quebec,2765
1993-10-01,Canada,10576
1993-11-01,Alberta,959
1993-11-01,British Columbia,1359
1993-11-01,Manitoba,417
1993-11-01,New Brunswick,267
1993-11-01,Newfoundland and Labrador,182
1993-11-01,Ontario,3869
1993-11-01,Prince Edward Island,46
1993-11-01,Quebec,2765
1993-11-01,Canada,10576
1993-12-01,Alberta,959
1993-12-01,British Columbia,1359
1993-12-01,Manitoba,417
1993-12-01,New Brunswick,267
1993-12-01,Newfoundland and Labrador,182
1993-12-01,Ontario,3869
1993-12-01,Prince Edward Island,46
1993-12-01,Quebec,2765
1993-12-01,Canada,10576
1994-01-01,Alberta,975
1994-01-01,British Columbia,1401
1994-01-01,Manitoba,421
1994-01-01,New Brunswick,271
1994-01-01,Newfoundland and Labrador,184
1994-01-01,Ontario,3927
1994-01-01,Prince Edward Island,47
1994-01-01,Quebec,2800
1994-01-01,Canada,10747
1994-02-01,Alberta,975
1994-02-01,British Columbia,1401
1994-02-01,Manitoba,421
1994-02-01,New Brunswick,271
1994-02-01,Newfoundland and Labrador,184
1994-02-01,Ontario,3927
1994-02-01,Prince Edward Island,47
1994-02-01,Quebec,2800
1994-02-01,Canada,10747
1994-03-01,Alberta,975
1994-03-01,British Columbia,1401
1994-03-01,Manitoba,421
1994-03-01,New Brunswick,271
1994-03-01,Newfoundland and Labrador,184
1994-03-01,Ontario,3927
1994-03-01,Prince Edward Island,47
1994-03-01,Quebec,2800
1994-03-01,Canada,10747
1994-04-01,Alberta,975
1994-04-01,British Columbia,1401
1994-04-01,Manitoba,421
1994-04-01,New Brunswick,271
1994-04-01,Newfoundland and Labrador,184
1994-04-01,Ontario,3927
1994-04-01,Prince Edward Island,47
1994-04-01,Quebec,2800
1994-04-01,Canada,10747
1994-05-01,Alberta,975
1994-05-01,British Columbia,1401
1994-05-01,Manitoba,421
1994-05-01,New Brunswick,271
1994-05-01,Newfoundland and Labrador,184
1994-05-01,Ontario,3927
1994-05-01,Prince Edward Island,47
1994-05-01,Quebec,2800
1994-05-01,Canada,10747
1994-06-01,Alberta,975
1994-06-01,British Columbia,1401
1994-06-01,Manitoba,421
1994-06-01,New Brunswick,271
1994-06-01,Newfoundland and Labrador,184
1994-06-01,Ontario,3927
1994-06-01,Prince Edward Island,47
1994-06-01,Quebec,2800
1994-06-01,Canada,10747
1994-07-01,Alberta,975
1994-07-01,British Columbia,1401
1994-07-01,Manitoba,421
1994-07-01,New Brunswick,271
1994-07-01,Newfoundland and Labrador,184
1994-07-01,Ontario,3927
1994-07-01,Prince Edward Island,47
1994-07-01,Quebec,2800
1994-07-01,Canada,10747
1994-08-01,Alberta,975
1994-08-01,British Columbia,1401
1994-08-01,Manitoba,421
1994-08-01,New Brunswick,271
1994-08-01,Newfoundland and Labrador,184
1994-08-01,Ontario,3927
1994-08-01,Prince Edward Island,47
1994-08-01,Quebec,2800
1994-08-01,Canada,10747
1994-09-01,Alberta,975
1994-09-01,British Columbia,1401
1994-09-01,Manitoba,421
1994-09-01,New Brunswick,271
1994-09-01,Newfoundland and Labrador,184
1994-09-01,Ontario,3927
1994-09-01,Prince Edward Island,47
1994-09-01,Quebec,2800
1994-09-01,Canada,10747
1994-10-01,Alberta,975
1994-10-01,British Columbia,1401
1994-10-01,Manitoba,421
1994-10-01,New Brunswick,271
1994-10-01,Newfoundland and Labrador,184
1994-10-01,Ontario,3927
1994-10-01,Prince Edward Island,47
1994-10-01,Quebec,2800
1994-10-01,Canada,10747
1994-11-01,Alberta,975
1994-11-01,British Columbia,1401
1994-11-01,Manitoba,421
1994-11-01,New Brunswick,271
1994-11-01,Newfoundland and Labrador,184
1994-11-01,Ontario,3927
1994-11-01,Prince Edward Island,47
1994-11-01,Quebec,2800
1994-11-01,Canada,10747
1994-12-01,Alberta,975
1994-12-01,British Columbia,1401
1994-12-01,Manitoba,421
1994-12-01,New Brunswick,271
1994-12-01,Newfoundland and Labrador,184
1994-12-01,Ontario,3927
1994-12-01,Prince Edward Island,47
1994-12-01,Quebec,2800
1994-12-01,Canada,10747
1995-01-01,Alberta,992
1995-01-01,British Columbia,1442
1995-01-01,Manitoba,424
1995-01-01,New Brunswick,274
1995-01-01,Newfoundland and Labrador,186
1995-01-01,Ontario,3986
1995-01-01,Prince Edward Island,47
1995-01-01,Quebec,2834
1995-01-01,Canada,10913
1995-02-01,Alberta,992
1995-02-01,British Columbia,1442
1995-02-01,Manitoba,424
1995-02-01,New Brunswick,274
1995-02-01,Newfoundland and Labrador,186
1995-02-01,Ontario,3986
1995-02-01,Prince Edward Island,47
1995-02-01,Quebec,2834
1995-02-01,Canada,10913
1995-03-01,Alberta,992
1995-03-01,British Columbia,1442
1995-03-01,Manitoba,424
1995-03-01,New Brunswick,274
1995-03-01,Newfoundland and Labrador,186
1995-03-01,Ontario,3986
1995-03-01,Prince Edward Island,47
1995-03-01,Quebec,2834
1995-03-01,Canada,10913
1995-04-01,Alberta,992
1995-04-01,British Columbia,1442
1995-04-01,Manitoba,424
1995-04-01,New Brunswick,274
1995-04-01,Newfoundland and Labrador,186
1995-04-01,Ontario,3986
1995-04-01,Prince Edward Island,47
1995-04-01,Quebec,2834
1995-04-01,Canada,10913
1995-05-01,Alberta,992
1995-05-01,British Columbia,1442
1995-05-01,Manitoba,424
1995-05-01,New Brunswick,274
1995-05-01,Newfoundland and Labrador,186
1995-05-01,Ontario,3986
1995-05-01,Prince Edward Island,47
1995-05-01,Quebec,2834
1995-05-01,Canada,10913
1995-06-01,Alberta,992
1995-06-01,British Columbia,1442
1995-06-01,Manitoba,424
1995-06-01,New Brunswick,274
1995-06-01,Newfoundland and Labrador,186
1995-06-01,Ontario,3986
1995-06-01,Prince Edward Island,47
1995-06-01,Quebec,2834
1995-06-01,Canada,10913
1995-07-01,Alberta,992
1995-07-01,British Columbia,1442
1995-07-01,Manitoba,424
1995-07-01,New Brunswick,274
1995-07-01,Newfoundland and Labrador,186
1995-07-01,Ontario,3986
1995-07-01,Prince Edward Island,47
1995-07-01,Quebec,2834
1995-07-01,Canada,10913
1995-08-01,Alberta,992
1995-08-01,British Columbia,1442
1995-08-01,Manitoba,424
1995-08-01,New Brunswick,274
1995-08-01,Newfoundland and Labrador,186
1995-08-01,Ontario,3986
1995-08-01,Prince Edward Island,47
1995-08-01,Quebec,2834
1995-08-01,Canada,10913
1995-09-01,Alberta,992
1995-09-01,British Columbia,1442
1995-09-01,Manitoba,424
1995-09-01,New Brunswick,274
1995-09-01,Newfoundland and Labrador,186
1995-09-01,Ontario,3986
1995-09-01,Prince Edward Island,47
1995-09-01,Quebec,2834
1995-09-01,Canada,10913
1995-10-01,Alberta,992
1995-10-01,British Columbia,1442
1995-10-01,Manitoba,424
1995-10-01,New Brunswick,274
1995-10-01,Newfoundland and Labrador,186
1995-10-01,Ontario,3986
1995-10-01,Prince Edward Island,47
1995-10-01,Quebec,2834
1995-10-01,Canada,10913
1995-11-01,Alberta,992
1995-11-01,British Columbia,1442
1995-11-01,Manitoba,424
1995-11-01,New Brunswick,274
1995-11-01,Newfoundland and Labrador,186
1995-11-01,Ontario,3986
1995-11-01,Prince Edward Island,47
1995-11-01,Quebec,2834
1995-11-01,Canada,10913
1995-12-01,Alberta,992
1995-12-01,British Columbia,1442
1995-12-01,Manitoba,424
1995-12-01,New Brunswick,274
1995-12-01,Newfoundland and Labrador,186
1995-12-01,Ontario,3986
1995-12-01,Prince Edward Island,47
1995-12-01,Quebec,2834
1995-12-01,Canada,10913
1996-01-01,Alberta,1008
1996-01-01,British Columbia,1483
1996-01-01,Manitoba,427
1996-01-01,New Brunswick,277
1996-01-01,Newfoundland and Labrador,188
1996-01-01,Ontario,4044
1996-01-01,Prince Edward Island,48
1996-01-01,Quebec,2868
1996-01-01,Canada,11078
1996-02-01,Alberta,1008
1996-02-01,British Columbia,1483
1996-02-01,Manitoba,427
1996-02-01,New Brunswick,277
1996-02-01,Newfoundland and Labrador,188
1996-02-01,Ontario,4044
1996-02-01,Prince Edward Island,48
1996-02-01,Quebec,2868
1996-02-01,Canada,11078
1996-03-01,Alberta,1008
1996-03-01,British Columbia,1483
1996-03-01,Manitoba,427
1996-03-01,New Brunswick,277
1996-03-01,Newfoundland and Labrador,188
1996-03-01,Ontario,4044
1996-03-01,Prince Edward Island,48
1996-03-01,Quebec,2868
1996-03-01,Canada,11078
1996-04-01,Alberta,1008
1996-04-01,British Columbia,1483
1996-04-01,Manitoba,427
1996-04-01,New Brunswick,277
1996-04-01,Newfoundland and Labrador,188
1996-04-01,Ontario,4044
1996-04-01,Prince Edward Island,48
1996-04-01,Quebec,2868
1996-04-01,Canada,11078
1996-05-01,Alberta,1008
1996-05-01,British Columbia,1483
1996-05-01,Manitoba,427
1996-05-01,New Brunswick,277
1996-05-01,Newfoundland and Labrador,188
1996-05-01,Ontario,4044
1996-05-01,Prince Edward Island,48
1996-05-01,Quebec,2868
1996-05-01,Canada,11078
1996-06-01,Alberta,1008
1996-06-01,British Columbia,1483
1996-06-01,Manitoba,427
1996-06-01,New Brunswick,277
1996-06-01,Newfoundland and Labrador,188
1996-06-01,Ontario,4044
1996-06-01,Prince Edward Island,48
1996-06-01,Quebec,2868
1996-06-01,Canada,11078
1996-07-01,Alberta,1008
1996-07-01,British Columbia,1483
1996-07-01,Manitoba,427
1996-07-01,New Brunswick,277
1996-07-01,Newfoundland and Labrador,188
1996-07-01,Ontario,4044
1996-07-01,Prince Edward Island,48
1996-07-01,Quebec,2868
1996-07-01,Canada,11078
1996-08-01,Alberta,1008
1996-08-01,British Columbia,1483
1996-08-01,Manitoba,427
1996-08-01,New Brunswick,277
1996-08-01,Newfoundland and Labrador,188
1996-08-01,Ontario,4044
1996-08-01,Prince Edward Island,48
1996-08-01,Quebec,2868
1996-08-01,Canada,11078
1996-09-01,Alberta,1008
1996-09-01,British Columbia,1483
1996-09-01,Manitoba,427
1996-09-01,New Brunswick,277
1996-09-01,Newfoundland and Labrador,188
1996-09-01,Ontario,4044
1996-09-01,Prince Edward Island,48
1996-09-01,Quebec,2868
1996-09-01,Canada,11078
1996-10-01,Alberta,1008
1996-10-01,British Columbia,1483
1996-10-01,Manitoba,427
1996-10-01,New Brunswick,277
1996-10-01,Newfoundland and Labrador,188
1996-10-01,Ontario,4044
1996-10-01,Prince Edward Island,48
1996-10-01,Quebec,2868
1996-10-01,Canada,11078
1996-11-01,Alberta,1008
1996-11-01,British Columbia,1483
1996-11-01,Manitoba,427
1996-11-01,New Brunswick,277
1996-11-01,Newfoundland and Labrador,188
1996-11-01,Ontario,4044
1996-11-01,Prince Edward Island,48
1996-11-01,Quebec,2868
1996-11-01,Canada,11078
1996-12-01,Alberta,1008
1996-12-01,British Columbia,1483
1996-12-01,Manitoba,427
1996-12-01,New Brunswick,277
1996-12-01,Newfoundland and Labrador,188
1996-12-01,Ontario,4044
1996-12-01,Prince Edward Island,48
1996-12-01,Quebec,2868
1996-12-01,Canada,11078
1997-01-01,Alberta,1033
1997-01-01,British Columbia,1506
1997-01-01,Manitoba,430
1997-01-01,New Brunswick,280
1997-01-01,Newfoundland and Labrador,189
1997-01-01,Ontario,4111
1997-01-01,Prince Edward Island,49
1997-01-01,Quebec,2903
1997-01-01,Canada,11241
1997-02-01,Alberta,1033
1997-02-01,British Columbia,1506
1997-02-01,Manitoba,430
1997-02-01,New Brunswick,280
1997-02-01,Newfoundland and Labrador,189
1997-02-01,Ontario,4111
1997-02-01,Prince Edward Island,49
1997-02-01,Quebec,2903
1997-02-01,Canada,11241
1997-03-01,Alberta,1033
1997-03-01,British Columbia,1506
1997-03-01,Manitoba,430
1997-03-01,New Brunswick,280
1997-03-01,Newfoundland and Labrador,189
1997-03-01,Ontario,4111
1997-03-01,Prince Edward Island,49
1997-03-01,Quebec,2903
1997-03-01,Canada,11241
1997-04-01,Alberta,1033
1997-04-01,British Columbia,1506
1997-04-01,Manitoba,430
1997-04-01,New Brunswick,280
1997-04-01,Newfoundland and Labrador,189
1997-04-01,Ontario,4111
1997-04-01,Prince Edward Island,49
1997-04-01,Quebec,2903
1997-04-01,Canada,11241
1997-05-01,Alberta,1033
1997-05-01,British Columbia,1506
1997-05-01,Manitoba,430
1997-05-01,New Brunswick,280
1997-05-01,Newfoundland and Labrador,189
1997-05-01,Ontario,4111
1997-05-01,Prince Edward Island,49
1997-05-01,Quebec,2903
1997-05-01,Canada,11241
1997-06-01,Alberta,1033
1997-06-01,British Columbia,1506
1997-06-01,Manitoba,430
1997-06-01,New Brunswick,280
1997-06-01,Newfoundland and Labrador,189
1997-06-01,Ontario,4111
1997-06-01,Prince Edward Island,49
1997-06-01,Quebec,2903
1997-06-01,Canada,11241
1997-07-01,Alberta,1033
1997-07-01,British Columbia,1506
1997-07-01,Manitoba,430
1997-07-01,New Brunswick,280
1997-07-01,Newfoundland and Labrador,189
1997-07-01,Ontario,4111
1997-07-01,Prince Edward Island,49
1997-07-01,Quebec,2903
1997-07-01,Canada,11241
1997-08-01,Alberta,1033
1997-08-01,British Columbia,1506
1997-08-01,Manitoba,430
1997-08-01,New Brunswick,280
1997-08-01,Newfoundland and Labrador,189
1997-08-01,Ontario,4111
1997-08-01,Prince Edward Island,49
1997-08-01,Quebec,2903
1997-08-01,Canada,11241
1997-09-01,Alberta,1033
1997-09-01,British Columbia,1506
1997-09-01,Manitoba,430
1997-09-01,New Brunswick,280
1997-09-01,Newfoundland and Labrador,189
1997-09-01,Ontario,4111
1997-09-01,Prince Edward Island,49
1997-09-01,Quebec,2903
1997-09-01,Canada,11241
1997-10-01,Alberta,1033
1997-10-01,British Columbia,1506
1997-10-01,Manitoba,430
1997-10-01,New Brunswick,280
1997-10-01,Newfoundland and Labrador,189
1997-10-01,Ontario,4111
1997-10-01,Prince Edward Island,49
1997-10-01,Quebec,2903
1997-10-01,Canada,11241
1997-11-01,Alberta,1033
1997-11-01,British Columbia,1506
1997-11-01,Manitoba,430
1997-11-01,New Brunswick,280
1997-11-01,Newfoundland and Labrador,189
1997-11-01,Ontario,4111
1997-11-01,Prince Edward Island,49
1997-11-01,Quebec,2903
1997-11-01,Canada,11241
1997-12-01,Alberta,1033
1997-12-01,British Columbia,1506
1997-12-01,Manitoba,430
1997-12-01,New Brunswick,280
1997-12-01,Newfoundland and Labrador,189
1997-12-01,Ontario,4111
1997-12-01,Prince Edward Island,49
1997-12-01,Quebec,2903
1997-12-01,Canada,11241
1998-01-01,Alberta,1059
1998-01-01,British Columbia,1529
1998-01-01,Manitoba,434
1998-01-01,New Brunswick,283
1998-01-01,Newfoundland and Labrador,190
1998-01-01,Ontario,4179
1998-01-01,Prince Edward Island,49
1998-01-01,Quebec,2938
1998-01-01,Canada,11406
1998-02-01,Alberta,1059
1998-02-01,British Columbia,1529
1998-02-01,Manitoba,434
1998-02-01,New Brunswick,283
1998-02-01,Newfoundland and Labrador,190
1998-02-01,Ontario,4179
1998-02-01,Prince Edward Island,49
1998-02-01,Quebec,2938
1998-02-01,Canada,11406
1998-03-01,Alberta,1059
1998-03-01,British Columbia,1529
1998-03-01,Manitoba,434
1998-03-01,New Brunswick,283
1998-03-01,Newfoundland and Labrador,190
1998-03-01,Ontario,4179
1998-03-01,Prince Edward Island,49
1998-03-01,Quebec,2938
1998-03-01,Canada,11406
1998-04-01,Alberta,1059
1998-04-01,British Columbia,1529
1998-04-01,Manitoba,434
1998-04-01,New Brunswick,283
1998-04-01,Newfoundland and Labrador,190
1998-04-01,Ontario,4179
1998-04-01,Prince Edward Island,49
1998-04-01,Quebec,2938
1998-04-01,Canada,11406
1998-05-01,Alberta,1059
1998-05-01,British Columbia,1529
1998-05-01,Manitoba,434
1998-05-01,New Brunswick,283
1998-05-01,Newfoundland and Labrador,190
1998-05-01,Ontario,4179
1998-05-01,Prince Edward Island,49
1998-05-01,Quebec,2938
1998-05-01,Canada,11406
1998-06-01,Alberta,1059
1998-06-01,British Columbia,1529
1998-06-01,Manitoba,434
1998-06-01,New Brunswick,283
1998-06-01,Newfoundland and Labrador,190
1998-06-01,Ontario,4179
1998-06-01,Prince Edward Island,49
1998-06-01,Quebec,2938
1998-06-01,Canada,11406
1998-07-01,Alberta,1059
1998-07-01,British Columbia,1529
1998-07-01,Manitoba,434
1998-07-01,New Brunswick,283
1998-07-01,Newfoundland and Labrador,190
1998-07-01,Ontario,4179
1998-07-01,Prince Edward Island,49
1998-07-01,Quebec,2938
1998-07-01,Canada,11406
1998-08-01,Alberta,1059
1998-08-01,British Columbia,1529
1998-08-01,Manitoba,434
1998-08-01,New Brunswick,283
1998-08-01,Newfoundland and Labrador,190
1998-08-01,Ontario,4179
1998-08-01,Prince Edward Island,49
1998-08-01,Quebec,2938
1998-08-01,Canada,11406
1998-09-01,Alberta,1059
1998-09-01,British Columbia,1529
1998-09-01,Manitoba,434
1998-09-01,New Brunswick,283
1998-09-01,Newfoundland and Labrador,190
1998-09-01,Ontario,4179
1998-09-01,Prince Edward Island,49
1998-09-01,Quebec,2938
1998-09-01,Canada,11406
1998-10-01,Alberta,1059
1998-10-01,British Columbia,1529
1998-10-01,Manitoba,434
1998-10-01,New Brunswick,283
1998-10-01,Newfoundland and Labrador,190
1998-10-01,Ontario,4179
1998-10-01,Prince Edward Island,49
1998-10-01,Quebec,2938
1998-10-01,Canada,11406
1998-11-01,Alberta,1059
1998-11-01,British Columbia,1529
1998-11-01,Manitoba,434
1998-11-01,New Brunswick,283
1998-11-01,Newfoundland and Labrador,190
1998-11-01,Ontario,4179
1998-11-01,Prince Edward Island,49
1998-11-01,Quebec,2938
1998-11-01,Canada,11406
1998-12-01,Alberta,1059
1998-12-01,British Columbia,1529
1998-12-01,Manitoba,434
1998-12-01,New Brunswick,283
1998-12-01,Newfoundland and Labrador,190
1998-12-01,Ontario,4179
1998-12-01,Prince Edward Island,49
1998-12-01,Quebec,2938
1998-12-01,Canada,11406
1999-01-01,Alberta,1084
1999-01-01,British Columbia,1552
1999-01-01,Manitoba,437
1999-01-01,New Brunswick,286
1999-01-01,Newfoundland and Labrador,190
1999-01-01,Ontario,4246
1999-01-01,Prince Edward Island,50
1999-01-01,Quebec,2974
1999-01-01,Canada,11567
1999-02-01,Alberta,1084
1999-02-01,British Columbia,1552
1999-02-01,Manitoba,437
1999-02-01,New Brunswick,286
1999-02-01,Newfoundland and Labrador,190
1999-02-01,Ontario,4246
1999-02-01,Prince Edward Island,50
1999-02-01,Quebec,2974
1999-02-01,Canada,11567
1999-03-01,Alberta,1084
1999-03-01,British Columbia,1552
1999-03-01,Manitoba,437
1999-03-01,New Brunswick,286
1999-03-01,Newfoundland and Labrador,190
1999-03-01,Ontario,4246
1999-03-01,Prince Edward Island,50
1999-03-01,Quebec,2974
1999-03-01,Canada,11567
1999-04-01,Alberta,1084
1999-04-01,British Columbia,1552
1999-04-01,Manitoba,437
1999-04-01,New Brunswick,286
1999-04-01,Newfoundland and Labrador,190
1999-04-01,Ontario,4246
1999-04-01,Prince Edward Island,50
1999-04-01,Quebec,2974
1999-04-01,Canada,11567
1999-05-01,Alberta,1084
1999-05-01,British Columbia,1552
