,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
109,1977-02-01,British Columbia,886,8891.04347826087,6213.48695652174,24517.130434782608,,,
110,1977-02-01,Manitoba,338,10306.08695652174,8070.373913043479,28972.260869565216,,,
111,1977-02-01,New Brunswick,199,11013.608695652174,8998.817391304347,31199.82608695652,,,
112,1977-02-01,Newfoundland and Labrador,137,11721.130434782608,9927.260869565216,33427.391304347824,,,
113,1977-02-01,Ontario,2752,13136.173913043478,11784.147826086955,37882.52173913043,,,
114,1977-02-01,Prince Edward Island,34,13843.695652173912,12712.591304347823,40110.08695652174,,,
115,1977-02-01,Quebec,1996,14551.217391304348,13641.034782608696,42337.65217391304,,,
116,1977-02-01,Canada,7520,9598.565217391304,7141.930434782609,26744.695652173912,,,
117,1977-03-01,Alberta,624,15966.260869565216,15497.921739130434,46792.782608695656,,,
118,1977-03-01,British Columbia,886,16673.782608695652,16426.365217391303,49020.34782608696,,,
119,1977-03-01,Manitoba,338,18088.82608695652,18283.25217391304,53475.47826086957,,,
120,1977-03-01,New Brunswick,199,18796.34782608696,19211.695652173912,55703.04347826087,,,
121,1977-03-01,Newfoundland and Labrador,137,19503.869565217392,20140.13913043478,57930.608695652176,,,
122,1977-03-01,Ontario,2752,20918.91304347826,21997.02608695652,62385.739130434784,,,
123,1977-03-01,Prince Edward Island,34,21626.434782608696,22925.46956521739,64613.30434782609,,,
124,1977-03-01,Quebec,1996,22333.95652173913,23853.913043478256,66840.86956521739,,,
125,1977-03-01,Canada,7520,17381.304347826088,17354.808695652173,51247.91304347826,,,
126,1977-04-01,Alberta,624,23749.0,25710.8,71296.0,,,
127,1977-04-01,British Columbia,886,20291.0,23299.8,50734.0,,,
128,1977-04-01,Manitoba,338,4516.0,5296.4,17499.0,,,
129,1977-04-01,New Brunswick,199,2681.0,3282.9,6714.0,,,
130,1977-04-01,Newfoundland and Labrador,137,1723.0,2644.2,8504.0,,,
131,1977-04-01,Ontario,2752,51337.0,60199.9,206021.0,,,
132,1977-04-01,Prince Edward Island,34,133.0,692.9,822.0,,,
133,1977-04-01,Quebec,1996,35024.0,42971.8,116608.0,,,
134,1977-04-01,Canada,7520,149419.0,175882.4,513342.0,,,
135,1977-05-01,Alberta,624,7443.260869565217,9189.95652173913,23498.17391304348,,,
136,1977-05-01,British Columbia,886,8137.521739130435,10212.51304347826,25968.34782608696,,,
137,1977-05-01,Manitoba,338,9526.04347826087,12257.62608695652,30908.695652173912,,,
138,1977-05-01,New Brunswick,199,10220.304347826088,13280.182608695652,33378.86956521739,,,
139,1977-05-01,Newfoundland and Labrador,137,10914.565217391304,14302.739130434784,35849.04347826087,,,
140,1977-05-01,Ontario,2752,12303.08695652174,16347.852173913045,40789.391304347824,,,
141,1977-05-01,Prince Edward Island,34,12997.347826086956,17370.408695652175,43259.56521739131,,,
142,1977-05-01,Quebec,1996,13691.608695652174,18392.965217391305,45729.739130434784,,,
143,1977-05-01,Canada,7520,8831.782608695652,11235.06956521739,28438.52173913044,,,
144,1977-06-01,Alberta,624,15080.130434782608,20438.078260869566,50670.08695652174,,,
145,1977-06-01,British Columbia,886,15774.391304347826,21460.634782608697,53140.260869565216,,,
146,1977-06-01,Manitoba,338,17162.91304347826,23505.74782608696,58080.608695652176,,,
147,1977-06-01,New Brunswick,199,17857.17391304348,24528.304347826088,60550.782608695656,,,
148,1977-06-01,Newfoundland and Labrador,137,18551.434782608696,25550.860869565226,63020.956521739135,,,
149,1977-06-01,Ontario,2752,19939.95652173913,27595.973913043483,67961.30434782608,,,
150,1977-06-01,Prince Edward Island,34,20634.217391304348,28618.53043478261,70431.47826086957,,,
151,1977-06-01,Quebec,1996,21328.478260869564,29641.086956521744,72901.65217391305,,,
152,1977-06-01,Canada,7520,16468.652173913044,22483.191304347827,55610.434782608696,,,
153,1977-07-01,Alberta,624,22717.0,31686.2,77842.0,,,
154,1977-07-01,British Columbia,886,22190.0,20402.6,48263.0,,,
155,1977-07-01,Manitoba,338,6255.0,7717.9,18885.0,,,
156,1977-07-01,New Brunswick,199,2184.0,3842.5,8331.0,,,
157,1977-07-01,Newfoundland and Labrador,137,2578.0,2844.6,6564.0,,,
158,1977-07-01,Ontario,2752,57668.0,63617.1,211101.0,,,
159,1977-07-01,Prince Edward Island,34,456.0,498.7,864.0,,,
160,1977-07-01,Quebec,1996,53140.0,40944.5,101068.0,,,
161,1977-07-01,Canada,7520,176318.0,184108.6,510899.0,,,
162,1977-08-01,Alberta,624,7685.826086956522,7645.421739130435,23175.652173913044,,,
163,1977-08-01,British Columbia,886,8823.652173913044,8716.34347826087,25510.304347826088,,,
164,1977-08-01,Manitoba,338,11099.304347826088,10858.186956521738,30179.608695652176,,,
165,1977-08-01,New Brunswick,199,12237.130434782608,11929.108695652174,32514.260869565216,,,
166,1977-08-01,Newfoundland and Labrador,137,13374.95652173913,13000.03043478261,34848.91304347826,,,
167,1977-08-01,Ontario,2752,15650.608695652174,15141.87391304348,39518.21739130435,,,
168,1977-08-01,Prince Edward Island,34,16788.434782608696,16212.795652173914,41852.86956521739,,,
169,1977-08-01,Quebec,1996,17926.260869565216,17283.717391304348,44187.52173913043,,,
170,1977-08-01,Canada,7520,9961.478260869564,9787.265217391305,27844.95652173913,,,
171,1977-09-01,Alberta,624,20201.91304347826,19425.56086956522,48856.82608695652,,,
172,1977-09-01,British Columbia,886,21339.739130434784,20496.482608695653,51191.47826086957,,,
173,1977-09-01,Manitoba,338,23615.391304347828,22638.32608695652,55860.782608695656,,,
174,1977-09-01,New Brunswick,199,24753.217391304348,23709.24782608696,58195.434782608696,,,
175,1977-09-01,Newfoundland and Labrador,137,25891.043478260868,24780.16956521739,60530.086956521736,,,
176,1977-09-01,Ontario,2752,28166.695652173912,26922.013043478262,65199.391304347824,,,
177,1977-09-01,Prince Edward Island,34,29304.52173913044,27992.934782608696,67534.04347826086,,,
178,1977-09-01,Quebec,1996,30442.34782608696,29063.856521739133,69868.69565217392,,,
179,1977-09-01,Canada,7520,22477.565217391304,21567.404347826086,53526.13043478261,,,
180,1977-10-01,Alberta,624,32718.0,31205.7,74538.0,,,
181,1977-10-01,British Columbia,886,20413.0,21831.0,48057.0,,,
182,1977-10-01,Manitoba,338,6843.0,5502.9,17535.0,,,
183,1977-10-01,New Brunswick,199,3723.0,1898.0,6475.0,,,
184,1977-10-01,Newfoundland and Labrador,137,1641.0,2456.1,7358.0,,,
185,1977-10-01,Ontario,2752,59724.0,60057.5,210567.0,,,
186,1977-10-01,Prince Edward Island,34,586.0,633.7,895.0,,,
187,1977-10-01,Quebec,1996,37877.0,33082.8,95508.0,,,
188,1977-10-01,Canada,7520,178035.0,177682.8,504775.0,,,
189,1977-11-01,Alberta,624,7651.347826086956,13611.843478260873,29075.0,,,
190,1977-11-01,British Columbia,886,8319.695652173912,14502.98695652174,31615.0,,,
191,1977-11-01,Manitoba,338,9656.391304347826,16285.273913043478,36695.0,,,
192,1977-11-01,New Brunswick,199,10324.739130434782,17176.41739130435,39235.0,,,
193,1977-11-01,Newfoundland and Labrador,137,10993.08695652174,18067.56086956522,41775.0,,,
194,1977-11-01,Ontario,2752,12329.782608695652,19849.84782608696,46855.0,,,
195,1977-11-01,Prince Edward Island,34,12998.130434782608,20740.991304347823,49395.0,,,
196,1977-11-01,Quebec,1996,13666.478260869564,21632.134782608697,51935.0,,,
197,1977-11-01,Canada,7520,8988.04347826087,15394.13043478261,34155.0,,,
198,1977-12-01,Alberta,624,15003.173913043478,23414.421739130437,57015.0,,,
199,1977-12-01,British Columbia,886,15671.521739130434,24305.565217391304,59555.0,,,
200,1977-12-01,Manitoba,338,17008.217391304348,26087.852173913045,64635.0,,,
201,1977-12-01,New Brunswick,199,17676.565217391304,26978.995652173915,67175.0,,,
202,1977-12-01,Newfoundland and Labrador,137,18344.91304347826,27870.139130434785,69715.0,,,
203,1977-12-01,Ontario,2752,19681.608695652176,29652.42608695652,74795.0,,,
204,1977-12-01,Prince Edward Island,34,20349.95652173913,30543.569565217396,77335.0,,,
205,1977-12-01,Quebec,1996,21018.304347826088,31434.71304347826,79875.0,,,
206,1977-12-01,Canada,7520,16339.869565217392,25196.70869565217,62095.0,,,
207,1978-01-01,Alberta,662,22355.0,33217.0,84955.0,,,
208,1978-01-01,British Columbia,921,16884.0,17904.1,48294.0,,,
209,1978-01-01,Manitoba,344,4524.0,11002.0,23992.0,,,
210,1978-01-01,New Brunswick,204,3357.0,1226.9,4350.0,,,
211,1978-01-01,Newfoundland and Labrador,140,1621.0,482.8,6218.0,,,
212,1978-01-01,Ontario,2821,45441.0,30898.4,195993.0,,,
213,1978-01-01,Prince Edward Island,35,302.0,519.2,1101.0,,,
214,1978-01-01,Quebec,2049,29586.0,24401.7,89999.0,,,
215,1978-01-01,Canada,7744,132666.0,127808.0,497754.0,,,
216,1978-02-01,Alberta,662,5349.173913043478,6490.569565217392,30055.130434782608,,,
217,1978-02-01,British Columbia,921,6057.347826086956,7329.839130434782,32709.260869565216,,,
218,1978-02-01,Manitoba,344,7473.695652173913,9008.378260869566,38017.52173913043,,,
219,1978-02-01,New Brunswick,204,8181.869565217391,9847.647826086955,40671.65217391304,,,
220,1978-02-01,Newfoundland and Labrador,140,8890.04347826087,10686.917391304349,43325.78260869565,,,
221,1978-02-01,Ontario,2821,10306.391304347826,12365.456521739132,48634.04347826087,,,
222,1978-02-01,Prince Edward Island,35,11014.565217391304,13204.726086956522,51288.17391304347,,,
223,1978-02-01,Quebec,2049,11722.739130434782,14043.995652173917,53942.30434782608,,,
224,1978-02-01,Canada,7744,6765.521739130435,8169.108695652174,35363.391304347824,,,
225,1978-03-01,Alberta,662,13139.08695652174,15722.534782608696,59250.5652173913,,,
226,1978-03-01,British Columbia,921,13847.260869565218,16561.804347826088,61904.69565217391,,,
227,1978-03-01,Manitoba,344,15263.608695652174,18240.34347826087,67212.95652173914,,,
228,1978-03-01,New Brunswick,204,15971.782608695652,19079.61304347826,69867.08695652173,,,
229,1978-03-01,Newfoundland and Labrador,140,16679.95652173913,19918.88260869565,72521.21739130435,,,
230,1978-03-01,Ontario,2821,18096.304347826088,21597.42173913044,77829.47826086957,,,
231,1978-03-01,Prince Edward Island,35,18804.478260869564,22436.691304347827,80483.60869565216,,,
232,1978-03-01,Quebec,2049,19512.652173913044,23275.960869565217,83137.73913043478,,,
233,1978-03-01,Canada,7744,14555.434782608696,17401.073913043478,64558.82608695652,,,
234,1978-04-01,Alberta,662,20929.0,24954.5,88446.0,,,
235,1978-04-01,British Columbia,921,20901.0,14776.5,41876.0,,,
236,1978-04-01,Manitoba,344,7939.0,9256.5,25295.0,,,
237,1978-04-01,New Brunswick,204,1953.0,3471.5,5842.0,,,
238,1978-04-01,Newfoundland and Labrador,140,1526.0,1166.7,5853.0,,,
239,1978-04-01,Ontario,2821,53623.0,44024.4,185914.0,,,
240,1978-04-01,Prince Edward Island,35,632.0,741.6,1207.0,,,
241,1978-04-01,Quebec,2049,36839.0,33118.0,85869.0,,,
242,1978-04-01,Canada,7744,157146.0,140539.4,478925.0,,,
243,1978-05-01,Alberta,662,10489.217391304348,7049.608695652174,26523.260869565216,,,
244,1978-05-01,British Columbia,921,11691.434782608696,8188.617391304348,29078.52173913044,,,
245,1978-05-01,Manitoba,344,14095.869565217392,10466.634782608697,34189.04347826087,,,
246,1978-05-01,New Brunswick,204,15298.08695652174,11605.64347826087,36744.30434782609,,,
247,1978-05-01,Newfoundland and Labrador,140,16500.304347826088,12744.652173913044,39299.5652173913,,,
