REF_DATE,Province,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,College,Elementary and/or High School,University,Educator_to_OperatingSpending,Salary_to_EPI,OpSpend_per_Educator,Education_Access_Index,Capital_Efficiency,Year,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Educators_per_1000,OpSpend_per_Capita,Access_Index_per_Capita
01-01-1991,Quebec,68160.68181818182,33531.545454545456,101692.09090909093,125.03,136.25,130.64,131.11,121.9,123.55,114.45,123.72,320029.0,597975.0,578801.0,21.41379310344828,5.551724137931035,21.655172413793103,0.1756943939438441,2559.617691753979,5.691701240732943,16.20689655172414,4833.292919495635,1991,0.0,0.0,581654.0,98242.0,7026241.0,14.473185720371808,0.08237704912199852,2.3066240613898867e-06
01-01-1991,Prince Edward Island,1462.3636363636365,200.5909090909091,1662.1363636363635,128.12,135.35,130.64,122.65,128.26,129.11,111.89,129.22,269287.5,511122.0,489735.5,10.03448275862069,5.413793103448276,26.620689655172413,0.003393947066603,2101.83812051202,294.642191046572,14.022988505747128,3955.4403343135737,1991,0.0,0.0,11296.0,2376.0,130477.0,12.738922290030914,3.753423975106724,0.00010747479253621043
01-01-1991,Canada,307115.86363636365,80013.13636363637,387129.1363636364,126.27,136.11,130.64,127.69,121.21,125.96,112.99,126.52,752076.0,1419680.0,1343906.0,14.517241379310343,6.758620689655173,24.79310344827586,0.2880626594148968,5956.094084105488,3.471466944140439,15.35632183908046,11220.992728422383,1991,0.0,0.0,2413304.0,391138.0,27790000.0,13.930519480519482,0.04835933789132781,5.525844490493148e-07
01-01-1991,Nova Scotia,9786.954545454546,15979.88181818182,9787.5,122.4,138.06,130.64,125.75,120.87,121.97,110.99,122.05,170473.5,330880.75,311969.5,9.172413793103448,6.689655172413793,26.689655172413797,0.0313732592448941,1392.7573529411764,31.874278416347384,14.183908045977011,2711.0262187628023,1991,0.0,0.0,72112.0,14510.0,912792.0,10.722596166487,0.34177501555666573,1.553903632588477e-05
01-01-1991,Saskatchewan,10467.40909090909,1696.6363636363635,12164.181818181818,119.44,134.61,130.64,126.33,119.14,117.43,110.09,117.13,5912.0,14335.0,13701.0,6.137931034482759,6.517241379310345,24.79310344827586,0.8878316778470052,49.49765572672472,1.1263396260257388,12.482758620689657,122.38538376163238,1991,0.0,0.0,91862.0,16196.0,1002651.0,12.132019833602936,0.013664774682317178,1.2449754321982082e-05
01-01-1991,British Columbia,29352.81818181818,8329.90909090909,37682.454545454544,128.46,128.43,130.64,119.38,120.16,129.83,109.03,131.6,129340.0,231224.0,214083.0,13.689655172413794,5.0344827586206895,24.0,0.1760179675427499,1006.8503814416938,5.681238193806136,14.241379310344827,1757.021276595745,1991,0.0,0.0,273628.0,47954.0,3339935.0,11.282391587098116,0.06409795400209885,4.263969002494008e-06
01-01-1991,Newfoundland and Labrador,5406.272727272727,1131.5454545454545,6538.772727272727,126.44,136.73,130.64,126.91,128.26,126.56,113.11,126.44,122401.0,237492.5,223269.0,12.517241379310343,4.827586206896552,26.96551724137931,0.0292865231056381,968.0559949383108,34.14539842756147,14.770114942528735,1878.3019614046189,1991,0.0,0.0,42968.0,7596.0,577377.0,11.324962246976806,0.38669534810011486,2.5581405117503357e-05
01-01-1991,New Brunswick,7382.318181818182,317.45454545454544,7699.772727272727,122.23,137.62,130.64,122.7,120.87,121.97,110.89,122.07,74328.5,144104.25,134568.5,9.379310344827584,5.344827586206897,23.55172413793104,0.0572182399838946,608.103575227031,17.476944419847104,12.758620689655173,1180.5050380928976,1991,0.0,0.0,56978.0,10938.0,743210.0,10.360157596470348,0.18106389849436902,1.71669120297832e-05
01-01-1991,Manitoba,12008.045454545454,1908.0,13916.59090909091,122.47,136.62,130.64,124.74,120.95,122.03,113.04,122.16,26256.0,50716.0,45868.0,6.827586206896552,5.827586206896552,25.75862068965517,0.3034052260637244,214.38719686453825,3.2959221334901114,12.804597701149424,415.1604453176163,1991,0.0,0.0,103642.0,17886.0,1106196.0,12.58058328640757,0.04146462290588648,1.1575342616633422e-05
01-01-1991,Alberta,31970.454545454544,8851.636363636364,40822.22727272727,120.7,135.07,130.64,125.78,120.18,119.63,111.82,119.33,45360.0,88812.0,78704.0,10.517241379310343,5.689655172413793,20.27586206896552,0.5186804644329039,375.80778790389394,1.9279692769870247,12.160919540229884,744.2554261292215,1991,0.0,0.0,256630.0,28902.0,2572947.0,15.865941767446927,0.030589048278102892,4.726455515885047e-06
01-01-1991,Ontario,129052.90909090907,23818.36363636364,152870.45454545456,129.15,136.48,130.64,128.0,121.57,129.41,114.41,130.34,218546.0,424269.0,400670.0,14.482758620689657,8.482758620689655,27.55172413793104,0.3815370617851463,1692.1873790166471,2.620977357536833,16.839080459770116,3255.0943685744974,1991,0.0,0.0,909316.0,145834.0,10355101.0,14.762816369000607,0.03869300743662471,1.6261628408810418e-06
01-01-1992,Manitoba,12008.045454545454,1908.0,13916.59090909091,124.3,149.66,122.25,123.84,122.47,124.38,114.27,124.62,28915.0,54510.0,50407.0,6.827586206896552,5.827586206896552,25.75862068965517,0.2760844904297203,232.6226870474658,3.6220795976026,12.804597701149424,437.4097255657198,1992,0.0,0.0,99530.0,17960.0,1109978.0,12.537717782776694,0.04541261178149477,1.1535902244143059e-05
