Date,GEO,College,Elementary and/or High School,University
01-01-2024,Alberta,8.216630797681763,5.627754055228584,27.978090689450248
01-01-2024,British Columbia,10.836309496808632,4.296502459426442,31.84112533795832
01-01-2024,Canada,14.188242693578726,4.8710983513982695,31.643672116743545
01-01-2024,Manitoba,6.806680938722242,4.868396533971309,29.3055091629516
01-01-2024,New Brunswick,9.63280866005972,4.088930433954686,25.07054215103708
01-01-2024,Newfoundland and Labrador,12.232643271823715,4.5390597831006625,29.582995048651185
01-01-2024,Nova Scotia,9.706827020122443,5.075754282680636,28.249856964049393
01-01-2024,Ontario,13.828611484221506,7.84540884807493,33.99128369145034
01-01-2024,Prince Edward Island,10.22822145539552,5.171764495029049,29.852363848404472
01-01-2024,Quebec,24.430595703136966,4.824458515207548,26.507059666554476
01-01-2024,Saskatchewan,6.103197117443331,6.430524627221498,28.300042062290785
01-01-2025,Alberta,7.897583159428599,5.632823135832902,29.11660778615048
01-01-2025,British Columbia,10.508727486651821,4.176855272239451,32.68895205201056
01-01-2025,Canada,14.128089337795434,4.653211030046042,32.31676867362949
01-01-2025,Manitoba,6.928151274769073,4.881206812445733,29.388553107001158
01-01-2025,New Brunswick,9.643396651047155,4.013371068768167,25.12089283427818
01-01-2025,Newfoundland and Labrador,12.760282369708918,4.61426032747275,29.762901686066577
01-01-2025,Nova Scotia,10.051858163377151,4.925983713123695,28.484783499137738
01-01-2025,Ontario,13.795891830224205,7.632828703801093,34.57353317808568
01-01-2025,Prince Edward Island,10.117535747345512,5.230383481210851,30.461657561838187
01-01-2025,Quebec,24.545779328572923,4.7193198770009275,27.02708128254499
01-01-2025,Saskatchewan,6.0555047609376125,6.449542343314297,28.94773040691242
01-01-2026,Alberta,7.764938052315873,5.6746833158233905,29.22333172887077
01-01-2026,British Columbia,10.318468190525037,4.093963373631001,33.00939850244665
01-01-2026,Canada,14.09189757568839,4.596365635395401,32.63391175320024
01-01-2026,Manitoba,6.903789197573857,4.854640238951161,29.33878020956993
01-01-2026,New Brunswick,9.618874193425164,3.9780398896567517,25.24799587757408
01-01-2026,Newfoundland and Labrador,12.518177370522862,4.578950518621302,30.006657299156537
01-01-2026,Nova Scotia,9.948564144649698,4.843156701882468,28.398629065283
01-01-2026,Ontario,13.793698822985359,7.6708773313664524,34.911659037182574
01-01-2026,Prince Edward Island,10.07739917587611,5.097532130831364,30.417550806470064
01-01-2026,Quebec,24.69166997587677,4.614245674962424,27.20870285203524
01-01-2026,Saskatchewan,6.129733224859415,6.36465742016854,29.074481213443093
01-01-2027,Alberta,7.673735212814402,5.671753314818121,29.51346248099142
01-01-2027,British Columbia,10.195762004960724,4.067784890526953,33.355362787414265
01-01-2027,Canada,14.082352805144664,4.518915298384998,33.01018166582139
01-01-2027,Manitoba,6.864955480163159,4.769907084973882,29.571678356009862
01-01-2027,New Brunswick,9.629441239033383,3.8906529010102076,25.33576081151093
01-01-2027,Newfoundland and Labrador,12.340383610317058,4.539024344596375,30.137839382333993
01-01-2027,Nova Scotia,9.878751582018463,4.767888416972825,28.431509826470794
01-01-2027,Ontario,13.744792156513295,7.716144102509569,35.24304427574607
01-01-2027,Prince Edward Island,10.11763207341922,5.061781310778241,30.48457795092315
01-01-2027,Quebec,24.95431073096959,4.569350714132934,27.459507773778913
01-01-2027,Saskatchewan,6.144616696308363,6.351414297630939,29.229543682705668
01-01-2028,Alberta,7.623907503056137,5.624038123535454,29.987275099775474
01-01-2028,British Columbia,10.14049485713529,4.0982991937476445,33.72704555037673
01-01-2028,Canada,14.09938779389109,4.420803499169098,33.44577120236909
01-01-2028,Manitoba,6.811684720371867,4.626993951385824,30.087201040042743
01-01-2028,New Brunswick,9.675079880429404,3.751212698866606,25.384193180112693
01-01-2028,Newfoundland and Labrador,12.227108124825055,4.4945522759321275,30.15655015674924
01-01-2028,Nova Scotia,9.842557025526322,4.700144819193477,28.583518258961828
01-01-2028,Ontario,13.649209632909654,7.768548821138166,35.5678106012972
01-01-2028,Prince Edward Island,10.23819970227883,5.123166074891046,30.663188832189782
01-01-2028,Quebec,25.33391207050085,4.58460680307582,27.77966155681111
01-01-2028,Saskatchewan,6.100138449272288,6.40981236680956,29.41325871660912
01-01-2029,Alberta,7.3048598648021175,5.629107204140553,31.12579219647254
01-01-2029,British Columbia,9.812912846977554,3.978652006559501,34.57487226442827
01-01-2029,Canada,14.03923443810767,4.202916177817286,34.11886775925319
01-01-2029,Manitoba,6.933155056419117,4.639804229861663,30.170244984087038
01-01-2029,New Brunswick,9.685667871416321,3.6756533336810278,25.43454386335431
01-01-2029,Newfoundland and Labrador,12.75474722270939,4.569752820304057,30.33645679416596
01-01-2029,Nova Scotia,10.187588168780463,4.550374249636446,28.818444794047746
01-01-2029,Ontario,13.616489978912925,7.5559686768641,36.150060087932346
01-01-2029,Prince Edward Island,10.127513994227215,5.181785061071064,31.27248254561942
01-01-2029,Quebec,25.44909569593264,4.479468164868143,28.299683172799746
01-01-2029,Saskatchewan,6.0524460927675925,6.428830082901153,30.060947061228884
01-01-2030,Alberta,7.172214757689342,5.670967384130524,31.232516139197134
01-01-2030,British Columbia,9.622653550851147,3.895760107951541,34.89531871486594
01-01-2030,Canada,14.003042676000852,4.1460707831660635,34.43601083882543
01-01-2030,Manitoba,6.908792979224131,4.6132376563666275,30.120472086658964
01-01-2030,New Brunswick,9.661145413794792,3.640322154569022,25.56164690664969
01-01-2030,Newfoundland and Labrador,12.512642223525893,4.534443011452844,30.5802124072547
01-01-2030,Nova Scotia,10.08429415005448,4.467547238395143,28.73229036019506
