REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,College,Elementary and/or High School,University,Educator_to_OperatingSpending,Salary_to_EPI,OpSpend_per_Educator,Education_Access_Index,Capital_Efficiency
01-01-2025,Canada,369027.57509185746,78055.89327991068,436286.7226927642,162.24970677362336,211.2894191035467,206.4084781147735,195.04433994640607,149.58756410767887,155.44065200080982,161.4325418822514,156.1405146902476,1298156.3813473054,2749158.1376063037,2531428.071760186,12.946956818084784,4.78074982891756,31.655272678067586,0.166588419402826,8006.274316764816,5.989776194668641,16.468099113178358,17611.68083255945
01-01-2026,Canada,376873.6980487476,77996.8266535605,440305.5829940452,162.36747230062727,211.40469138410114,208.7653927856006,195.10880983959947,149.72236926171286,155.56469077764805,161.7089631729732,156.26639083371774,1299489.6938833916,2749726.8557259,2533173.393962998,13.046936423084905,4.883652869519318,31.63263827725475,0.16816457573458318,8020.491548783966,5.953549462163668,16.537780125630977,17614.089702811496
01-01-2027,Canada,383636.157735751,77920.83850364652,442984.67509635905,162.52747770970063,211.54823620013013,212.54563605833468,194.97227575233484,149.99767213874543,155.78134539553005,162.0919832439908,156.4782277713796,1303142.9140641333,2750794.0841333466,2538211.312372594,12.674696634223585,4.459637004532216,32.917389112482,0.17002953033031493,8054.858471232547,5.9043995911643234,16.721312989958403,17596.188886170148
01-01-2028,Canada,389621.18952015275,77885.7768277373,445070.87126162736,162.69388807396265,211.67328435581794,216.18791894143166,194.58439640847305,150.37592892700692,156.06044548050323,162.47765141598106,156.74491261747065,1309092.5505463625,2751717.4813960698,2546051.7243954632,11.772321336527378,3.568136092807852,35.427783971951904,0.17139497080838834,8107.429964112726,5.856808089145591,16.988567441120015,17540.50148923175
01-01-2029,Canada,394352.98803870735,78151.83904217459,450095.90900650097,162.7015592843471,211.69992710983075,215.7843063918584,194.48971603494772,150.44499138636948,156.08959951646196,162.54627696772877,156.7692894371069,1309872.7080075685,2752773.937880687,2547795.6562348804,11.467895933738287,3.374984382228654,36.12102951524989,0.17231694744350362,8117.076748889029,5.805061919176986,17.05887275424592,17538.263201085276
01-01-2030,Canada,399659.568283557,78176.46183908907,452883.84870131064,162.84429249529177,211.78107606511628,217.00875376767627,193.97101214160338,150.82770584740246,156.3709742900194,162.8526666025285,157.034990198976,1316689.0748274797,2752906.5300263437,2556118.109093736,10.298791240349486,2.341023209074491,39.072508218418506,0.17243306270181402,8176.4506144274155,5.773834103770864,17.33621864243398,17446.368619801393
01-01-2031,Canada,404173.3394435536,78234.74753821924,457256.2835544511,162.9487354758276,211.82140618502115,214.2425216695707,193.54111626880783,151.1063194358977,156.59008804005202,163.05451813170745,157.24202909712804,1322227.5525388734,2752126.029605486,2562099.78237468,9.256851255461838,1.5266454098726379,41.51761386295739,0.1712583570185366,8227.382209448091,5.758030582400863,17.551809963116252,17346.80146549447
01-01-2032,Canada,407862.2639680129,78293.96820377716,463055.2258063004,163.01032034933445,211.83959029417846,207.84331397585026,193.36287763837038,151.22233077852704,156.70485529230407,163.163511474247,157.35262922990168,1324960.9238486309,2750992.45575546,2564322.6380187804,8.601915745004094,1.104049127127932,42.94224292748934,0.1695875349054321,8259.569282688542,5.739805133631527,17.67546795350183,17282.214966710915
01-01-2033,Canada,412594.0624865672,78560.0304182134,468080.2635511675,163.01799155971847,211.866233048191,207.43970142629144,193.2681972648451,151.29139323788917,156.73400932826235,163.23213702599423,157.37700604953747,1325741.0813098282,2752048.912240084,2566066.5698581957,8.297490342215355,0.910897416548742,43.63548847078673,0.17050951154055338,8269.216067464784,5.6880589636627725,17.745773266627662,17279.9766785645
01-01-2034,Canada,415727.22895467555,78616.90578478681,474365.30787369667,163.03656328770165,211.87725263413418,199.67042521873117,193.33140090909146,151.2675938734612,156.74416617889523,163.25974492220908,157.3896569088486,1325782.4320799045,2751358.0226934976,2565420.719560295,8.015775269389142,0.7999274073190138,44.18407521473185,0.16944031319981043,8282.462236703997,5.648083002035361,17.797511402872193,17279.994630616766
