REF_DATE,GEO,Full-time,Part-time,Total
01-01-2024,Alberta,35907.24511191505,4652.888291941558,40514.88926005986
01-01-2024,New Brunswick,8450.497391459927,283.5639450883179,8242.948147987143
01-01-2024,Prince Edward Island,1557.889957366256,29.0590874796889,1525.7204080794882
01-01-2024,Manitoba,12403.003252637076,1423.05754409082,13789.903216320472
01-01-2024,Quebec,82636.82843928768,37372.94389972973,121321.82611409847
01-01-2024,Newfoundland and Labrador,5251.057428306741,278.4743756344836,5529.743818630855
01-01-2024,Canada,364295.7765733103,77789.83106547315,431261.6849478874
01-01-2024,Nova Scotia,10358.514981734928,15979.88181818182,10332.015068824518
01-01-2024,Saskatchewan,10671.693153741902,1166.8896920723716,11832.701721708047
01-01-2024,Ontario,134692.1621440244,17852.606467629892,154215.79952938584
01-01-2024,British Columbia,47589.84875142175,8220.324642136384,53426.75299332118
01-01-2025,Newfoundland and Labrador,5256.675840985493,239.316150152412,5496.419056549994
01-01-2025,Prince Edward Island,1566.0282528639998,10.733212133807683,1508.0355862178176
01-01-2025,Ontario,134927.44440447458,16764.992932758927,153407.00069150233
01-01-2025,Manitoba,12485.103195397776,1365.2004996753078,13769.52827204732
01-01-2025,New Brunswick,8619.851600405385,278.9271776153951,8341.188947313012
01-01-2025,Saskatchewan,10672.326479135878,1126.2248286285298,11822.608692284486
01-01-2025,Quebec,84314.044836996,38125.538097483135,123799.59707538439
01-01-2025,Canada,369027.57509185746,78055.89327991068,436286.7226927642
01-01-2025,Nova Scotia,10511.53879964449,15979.88181818182,10474.654499640905
01-01-2025,Alberta,36022.20114777066,4361.530146189585,40237.86689813959
01-01-2025,British Columbia,48889.367169856356,8188.270204852508,54578.47848593175
01-01-2026,Nova Scotia,10755.417359283842,15979.88181818182,10684.459514617727
01-01-2026,New Brunswick,8926.487173535408,271.08010198544576,8285.201653236987
01-01-2026,Canada,376873.6980487476,77996.8266535605,440305.5829940452
01-01-2026,Alberta,35739.81968579096,4386.350498585136,40027.61705468361
01-01-2026,British Columbia,51720.629148563596,8210.717645467435,56996.635421255625
01-01-2026,Manitoba,12632.843823568246,1312.4808259500978,13630.151774511867
01-01-2026,Ontario,135073.0670089681,13553.694805531644,151585.2994423326
01-01-2026,Quebec,85295.30565015465,37137.88846880774,126509.64577365066
01-01-2026,Prince Edward Island,1521.219115847177,-21.347287114161553,1337.6405336669802
01-01-2026,Saskatchewan,10539.69543020671,1119.046382660658,11619.924389002552
01-01-2026,Newfoundland and Labrador,5217.352714441895,135.073982966819,5354.770366025541
01-01-2027,Manitoba,12972.559351122334,1220.909301163606,13506.734440207721
01-01-2027,Alberta,35366.27497997031,4304.746466297692,39353.006803761506
01-01-2027,British Columbia,53956.7970814223,8086.886421263407,58995.075505863955
01-01-2027,New Brunswick,9351.498694080045,254.59165114251635,8343.03496434958
01-01-2027,Newfoundland and Labrador,5155.593807365226,-3.832578867045818,5160.6187387035825
01-01-2027,Canada,383636.157735751,77920.83850364652,442984.67509635905
01-01-2027,Quebec,86855.34303562072,36613.13668033443,130623.79538883081
01-01-2027,Prince Edward Island,1475.2708628912908,-75.61178698687397,1143.845727986817
01-01-2027,Ontario,135706.560511352,10258.762085330109,149851.57434133842
01-01-2027,Nova Scotia,11188.11104249147,15979.88181818182,11067.990635928674
01-01-2027,Saskatchewan,10551.326420956031,1053.0085952714103,11501.137212272915
01-01-2028,Prince Edward Island,1439.2721241593388,-140.45012751190905,970.0351992784574
01-01-2028,Alberta,35022.2457124776,4074.8399638769965,38299.862840594455
01-01-2028,New Brunswick,9825.251655101025,234.0674042399322,8533.671700397972
01-01-2028,Nova Scotia,11727.419552507756,15979.88181818182,11554.133194664017
01-01-2028,Manitoba,13429.561590514966,1089.3952323725723,13443.533399999586
01-01-2028,Canada,389621.18952015275,77885.7768277373,445070.87126162736
01-01-2028,Quebec,89049.39941746125,36918.06218727019,135708.11333508493
01-01-2028,British Columbia,55709.8510798277,7825.134361305533,60648.90815475093
01-01-2028,Ontario,136860.1067603413,7561.414137488444,148615.72504039592
01-01-2028,Saskatchewan,10710.567178921212,932.9304381831471,11495.728934402294
01-01-2028,Newfoundland and Labrador,5101.687361610501,-138.8091864856756,4983.416839854192
01-01-2029,Manitoba,13511.661533276185,1031.5381879570043,13423.158455726405
01-01-2029,Canada,394352.98803870735,78151.83904217459,450095.90900650097
01-01-2029,Alberta,35137.201748333195,3783.4818181248356,38022.84047867408
01-01-2029,Quebec,90726.6158151706,37670.65638502367,138185.88429637445
01-01-2029,British Columbia,57009.36949826553,7793.079924021459,61800.63364736438
01-01-2029,Prince Edward Island,1447.4104196570504,-158.7760028578505,952.350377416713
01-01-2029,Newfoundland and Labrador,5107.305774289215,-177.9674119678649,4950.092077773199
01-01-2029,Saskatchewan,10711.200504315317,892.2655747392128,11485.635904978773
01-01-2029,New Brunswick,9994.605864046815,229.43063676700044,8631.912499723987
01-01-2029,Ontario,137095.3890207924,6473.800602616699,147806.92620251264
01-01-2029,Nova Scotia,11880.443370417695,15979.88181818182,11696.772625480757
01-01-2030,Quebec,93191.47297890001,38673.11602635565,143118.22448277456
01-01-2030,British Columbia,58381.105838037154,7484.750904158879,63135.43351310278
01-01-2030,Ontario,138519.0883263718,4734.235147629546,147204.42747494488
01-01-2030,Alberta,34918.942141312255,3447.424299144071,36912.54936207594
01-01-2030,Nova Scotia,12380.253371591041,15979.88181818182,12152.574607559158
01-01-2030,New Brunswick,10415.594084417024,211.62413290430518,8893.086734904287
01-01-2030,Manitoba,13948.888441383891,883.7981073346185,13427.680483266276
