Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
1999,Ontario,0,0,788186,162786,11484167.25
1999,Prince Edward Island,0,0,9064,2274,136181.0
1999,Quebec,0,0,441298,109184,7320815.75
1999,Saskatchewan,0,0,75630,18088,1014926.25
1999,Unknown province or territory,0,0,0,0,1012582.0
1999,Unknown province or territory of residence,0,0,0,8,1012582.0
1999,Yukon,0,0,2298,270,30685.75
2000,Alberta,0,9430,221988,34546,2996031.75
2000,British Columbia,0,32885,243932,54920,4037127.5
2000,Manitoba,0,2830,84508,19784,1146449.25
2000,New Brunswick,0,1825,44106,12176,750524.5
2000,Newfoundland and Labrador,0,690,29220,8678,529011.5
2000,Northwest Territories,0,25,4828,314,40533.25
2000,Northwest Territories including Nunavut,0,0,0,0,40575.0
2000,Nova Scotia,0,3075,55000,15758,934291.25
2000,Nunavut,0,0,3606,260,27388.5
2000,Ontario,0,46120,766898,162580,11657471.75
2000,Prince Edward Island,0,235,8646,2458,136400.25
2000,Province / Territory not stated,0,0,0,0,136400.0
2000,Quebec,0,22770,431904,106380,7353292.75
2000,Saskatchewan,0,2690,72870,17912,1008477.5
2000,Unknown province or territory,0,0,0,0,1006027.0
2000,Unknown province or territory of residence,0,0,0,46,1006027.0
2000,Yukon,0,45,2218,312,30400.5
2001,Alberta,0,10640,225662,35158,3051622.25
2001,British Columbia,0,41120,243272,56706,4070963.0
2001,Manitoba,0,3205,84010,19468,1150433.75
2001,New Brunswick,0,2305,43162,12124,749656.25
2001,Newfoundland and Labrador,0,725,28302,8302,523040.0
2001,Northwest Territories,0,30,3714,326,40818.5
2001,Northwest Territories including Nunavut,0,0,0,0,41175.0
2001,Nova Scotia,0,3685,53718,15758,933043.25
2001,Nunavut,0,0,4216,246,28009.75
2001,Ontario,0,55765,793472,162428,11864577.25
2001,Prince Edward Island,0,255,8272,2320,136604.75
2001,Province / Territory not stated,0,0,0,0,136876.0
2001,Quebec,0,25090,442004,108388,7391230.0
2001,Saskatchewan,0,3055,73682,17480,1001165.0
2001,Unknown province or territory,0,0,0,0,999241.0
2001,Unknown province or territory of residence,0,0,0,104,999241.0
2001,Yukon,0,25,2070,268,30127.5
2002,Alberta,0,11065,232118,36468,3118801.5
2002,British Columbia,0,44250,240180,57766,4097537.25
2002,Manitoba,0,3715,83306,19698,1155379.5
2002,New Brunswick,0,2775,42268,12192,749052.0
2002,Newfoundland and Labrador,0,785,27856,8366,520097.0
2002,Northwest Territories,0,30,3874,338,41507.0
2002,Northwest Territories including Nunavut,0,0,0,0,41874.0
2002,Nova Scotia,0,4400,52344,15994,934763.25
2002,Nunavut,0,5,4312,254,28596.5
2002,Ontario,0,62555,775356,164468,12062059.0
2002,Prince Edward Island,0,260,7968,2472,136928.75
2002,Province / Territory not stated,0,0,0,0,137082.0
2002,Quebec,0,24910,433270,111068,7435487.0
2002,Saskatchewan,0,3270,70576,17812,997428.0
2002,Unknown province or territory,0,0,0,0,996324.0
2002,Unknown province or territory of residence,0,0,0,16,996324.0
2002,Yukon,0,50,2034,294,30226.75
2003,Alberta,0,11580,241710,37170,3176503.75
2003,British Columbia,0,46405,242814,58640,4121031.5
2003,Manitoba,0,4250,83580,19734,1162078.5
2003,New Brunswick,0,3025,42696,12514,749355.75
2003,Newfoundland and Labrador,0,895,27744,8562,518745.5
2003,Northwest Territories,0,55,4244,404,42419.5
2003,Northwest Territories including Nunavut,0,0,0,0,42855.0
2003,Nova Scotia,0,5095,52058,16128,936923.75
2003,Nunavut,0,5,4484,268,29178.0
2003,Ontario,0,64085,790054,168414,12220929.25
2003,Prince Edward Island,0,285,8494,2366,137216.0
2003,Province / Territory not stated,0,0,0,0,137430.0
2003,Quebec,0,25200,441770,109854,7480399.0
2003,Saskatchewan,0,3520,72228,18014,996269.5
2003,Unknown province or territory,0,0,12,0,996585.0
2003,Unknown province or territory of residence,0,0,0,4,996585.0
2003,Yukon,0,30,2004,266,30790.25
2004,Alberta,0,11755,244572,37350,3233188.5
2004,British Columbia,0,47505,242794,59846,4152310.75
2004,Manitoba,0,4710,82882,19806,1171468.5
2004,New Brunswick,0,3200,41780,12494,749301.25
2004,Newfoundland and Labrador,0,910,26910,8616,517700.75
2004,Northwest Territories,0,50,4230,306,43258.5
2004,Northwest Territories including Nunavut,0,0,0,0,43354.0
2004,Nova Scotia,0,5430,52970,16482,939291.0
2004,Nunavut,0,10,4594,242,29670.75
2004,Ontario,0,65465,803188,166284,12367225.25
2004,Prince Edward Island,0,315,8344,2446,137630.5
2004,Province / Territory not stated,0,0,0,0,137697.0
2004,Quebec,0,25595,442190,111248,7529847.0
2004,Saskatchewan,0,3560,71896,17688,997001.75
2004,Unknown province or territory,0,0,0,0,997010.0
2004,Unknown province or territory of residence,0,0,0,28,997010.0
2004,Yukon,0,35,2180,332,31465.75
2005,Alberta,0,12200,252600,38576,3310477.0
2005,British Columbia,0,49180,244862,60454,4191434.5
2005,Manitoba,0,4950,84796,19712,1177669.0
2005,New Brunswick,0,3225,41362,12350,748359.0
2005,Newfoundland and Labrador,0,1075,27006,8972,515027.25
2005,Northwest Territories,0,60,4360,296,43454.5
2005,Northwest Territories including Nunavut,0,0,0,0,43523.0
2005,Nova Scotia,0,5425,51838,16546,938469.25
2005,Nunavut,0,5,4336,230,30190.0
2005,Ontario,0,64605,817466,171182,12506784.0
2005,Prince Edward Island,0,345,8036,2236,137920.25
2005,Province / Territory not stated,0,0,0,0,138133.0
2005,Quebec,0,25605,457700,111574,7576800.0
2005,Saskatchewan,0,3690,71812,17700,994406.25
2005,Unknown province or territory,0,0,0,0,993299.0
