Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2001,Alberta,0,85120,902648,140632,3078756
2001,British Columbia,0,328960,973088,226824,4085595
2001,Manitoba,0,25640,336040,77872,1152144
2001,New Brunswick,0,18440,172648,48496,749298
2001,Newfoundland and Labrador,0,5800,113208,33208,521583
2001,Northwest Territories,0,240,14856,1304,41175
2001,Nova Scotia,0,29480,214872,63032,933318
2001,Nunavut,0,0,16864,984,28178
2001,Ontario,0,446120,3173888,649712,11961546
2001,Prince Edward Island,0,2040,33088,9280,136876
2001,Province / Territory not stated,0,0,0,0,136876
2001,Quebec,0,200720,1768016,433552,7411084
2001,Saskatchewan,0,24440,294728,69920,999241
2001,Unknown province or territory,0,0,0,104,999241
2001,Yukon,0,200,8280,1072,30079
2002,Alberta,0,88520,928472,145872,3145227
2002,British Columbia,0,354000,960720,231064,4108351
2002,Manitoba,0,29720,333224,78792,1157289
2002,New Brunswick,0,22200,169072,48768,749416
2002,Newfoundland and Labrador,0,6280,111424,33464,519387
2002,Northwest Territories,0,240,15496,1352,41874
2002,Nova Scotia,0,35200,209376,63976,935959
2002,Nunavut,0,40,17248,1016,28852
2002,Ontario,0,500440,3101424,657872,12145100
2002,Prince Edward Island,0,2080,31872,9888,137082
2002,Province / Territory not stated,0,0,0,0,137082
2002,Quebec,0,199280,1733080,444272,7455548
2002,Saskatchewan,0,26160,282304,71248,996324
2002,Unknown province or territory,0,0,0,16,996324
2002,Yukon,0,400,8136,1176,30268
2003,Alberta,0,92640,966840,148680,3198059
2003,British Columbia,0,371240,971256,234560,4134598
2003,Manitoba,0,34000,334320,78936,1165518
2003,New Brunswick,0,24200,170784,50056,749467
2003,Newfoundland and Labrador,0,7160,110976,34248,518718
2003,Northwest Territories,0,440,16976,1616,42855
2003,Nova Scotia,0,40760,208232,64512,938744
2003,Nunavut,0,40,17936,1072,29349
2003,Ontario,0,512680,3160216,673656,12290116
2003,Prince Edward Island,0,2280,33976,9464,137430
2003,Province / Territory not stated,0,0,0,0,137430
2003,Quebec,0,201600,1767080,439416,7503483
2003,Saskatchewan,0,28160,288912,72056,996585
2003,Unknown province or territory,0,0,12,4,996585
2003,Yukon,0,240,8016,1064,31219
2004,Alberta,0,94040,978288,149400,3260721
2004,British Columbia,0,380040,971176,239384,4167802
2004,Manitoba,0,37680,331528,79224,1174667
2004,New Brunswick,0,25600,167120,49976,749249
2004,Newfoundland and Labrador,0,7280,107640,34464,516863
2004,Northwest Territories,0,400,16920,1224,43354
2004,Nova Scotia,0,43440,211880,65928,939855
2004,Nunavut,0,80,18376,968,29792
2004,Ontario,0,523720,3212752,665136,12435931
2004,Prince Edward Island,0,2520,33376,9784,137697
2004,Province / Territory not stated,0,0,0,0,137697
2004,Quebec,0,204760,1768760,444992,7553578
2004,Saskatchewan,0,28480,287584,70752,997010
2004,Unknown province or territory,0,0,0,28,997010
2004,Yukon,0,280,8720,1328,31688
2005,Alberta,0,97600,1010400,154304,3346802
2005,British Columbia,0,393440,979448,241816,4212674
2005,Manitoba,0,39600,339184,78848,1179082
2005,New Brunswick,0,25800,165448,49400,747674
2005,Newfoundland and Labrador,0,8600,108024,35888,513725
2005,Northwest Territories,0,480,17440,1184,43523
2005,Nova Scotia,0,43400,207352,66184,938755
2005,Nunavut,0,40,17344,920,30397
2005,Ontario,0,516840,3269864,684728,12578240
2005,Prince Edward Island,0,2760,32144,8944,138133
2005,Province / Territory not stated,0,0,0,0,138133
2005,Quebec,0,204840,1830800,446296,7598880
2005,Saskatchewan,0,29520,287248,70800,993299
2005,Unknown province or territory,0,0,0,108,993299
2005,Yukon,0,240,7704,1312,32127
2006,Alberta,0,99040,1085440,156320,3453945
2006,British Columbia,0,406000,1001320,245504,4258653
2006,Manitoba,0,39920,349496,78192,1183975
2006,New Brunswick,0,24960,168688,48080,744973
2006,Newfoundland and Labrador,0,9680,108864,35944,510325
2006,Northwest Territories,0,400,17336,1456,43205
2006,Nova Scotia,0,43040,205496,64704,937060
2006,Nunavut,0,0,18532,1032,30880
2006,Ontario,0,515240,3313856,676192,12701324
2006,Prince Edward Island,0,3120,33896,9376,137898
2006,Province / Territory not stated,0,0,0,0,137898
2006,Quebec,0,209800,1964872,433920,7652881
2006,Saskatchewan,0,26840,294968,72432,993359
2006,Unknown province or territory,0,0,0,14,993359
2006,Yukon,0,200,8728,1424,32361
2007,Alberta,0,104880,1176280,161616,3533414
2007,British Columbia,0,424560,1046952,250464,4312048
2007,Manitoba,0,40520,366752,79664,1191684
2007,New Brunswick,0,25560,171520,50592,746136
2007,Newfoundland and Labrador,0,11320,109208,36040,510256
2007,Northwest Territories,0,360,18024,1392,43286
2007,Nova Scotia,0,43200,214720,66824,935433
2007,Nunavut,0,0,19456,1032,31560
2007,Ontario,0,530880,3359832,698720,12807497
2007,Prince Edward Island,0,3760,33312,9176,138020
2007,Province / Territory not stated,0,0,0,0,138020
2007,Quebec,0,220600,2025888,452168,7712616
2007,Saskatchewan,0,26600,317944,72496,1007305
2007,Unknown province or territory,0,0,0,4,1007305
2007,Yukon,0,280,8520,1536,32663
2008,Alberta,0,110200,1220256,168632,3619319
2008,British Columbia,0,440960,1061904,256760,4371128
2008,Manitoba,0,37880,371920,80584,1199551
2008,New Brunswick,0,25680,177704,51600,747767
2008,Newfoundland and Labrador,0,11880,117384,36312,513425
2008,Northwest Territories,0,320,17392,1608,43315
2008,Nova Scotia,0,45960,221736,65760,937108
2008,Nunavut,0,0,19576,1176,31970
2008,Ontario,0,541520,3423208,704328,12927520
2008,Prince Edward Island,0,4160,35568,9608,139448
2008,Province / Territory not stated,0,0,0,0,139448
2008,Quebec,0,226160,2134008,456848,7786609
2008,Saskatchewan,0,27760,329560,73944,1022511
2008,Unknown province or territory,0,0,0,48,1022511
2008,Yukon,0,320,8952,1584,33307
2009,Alberta,0,120720,1241184,167896,3694318
2009,British Columbia,0,480280,1079136,251520,4431587
2009,Manitoba,0,40720,382840,79776,1211881
2009,New Brunswick,0,26080,177376,50928,751066
2009,Newfoundland and Labrador,0,11880,117912,35128,518975
2009,Northwest Territories,0,200,17176,1488,42938
2009,Nova Scotia,0,51280,216912,65816,940558
2009,Nunavut,0,0,21184,1296,32816
2009,Ontario,0,614840,3419176,707744,13048442
2009,Prince Edward Island,0,5040,34944,10144,140596
2009,Province / Territory not stated,0,0,0,0,140596
2009,Quebec,0,250520,2147400,462152,7871847
2009,Saskatchewan,0,29840,342824,71776,1039530
2009,Unknown province or territory,0,0,12,18,1039530
2009,Yukon,0,280,9176,1608,34027
2010,Alberta,0,123200,1220080,166040,3747235
2010,British Columbia,0,521080,1050728,250592,4483613
2010,Manitoba,0,42000,378712,79880,1224663
2010,New Brunswick,0,27720,176488,50496,754287
2010,Newfoundland and Labrador,0,12960,117480,35848,522861
2010,Northwest Territories,0,160,16848,1472,43307
2010,Nova Scotia,0,61240,213176,66360,944201
2010,Nunavut,0,0,20224,1056,33577
2010,Ontario,0,713440,3380032,714256,13189987
2010,Prince Edward Island,0,5480,33712,8928,142725
2010,Province / Territory not stated,0,0,0,0,142725
2010,Quebec,0,263640,2121584,470448,7955183
2010,Saskatchewan,0,30880,342984,73640,1056102
2010,Unknown province or territory,0,0,0,0,1056102
2010,Yukon,0,200,9160,1584,34790
2011,Alberta,0,141880,1224920,169936,3805071
2011,British Columbia,0,536400,1058328,255728,4529186
2011,Manitoba,0,51840,374984,82000,1237390
2011,New Brunswick,0,30240,171016,51288,756187
2011,Newfoundland and Labrador,0,15320,107416,36216,525845
2011,Northwest Territories,0,200,16632,1504,43576
2011,Nova Scotia,0,70880,213224,68264,944645
2011,Nunavut,0,0,20032,1368,34335
2011,Ontario,0,814120,3387952,719808,13310604
2011,Prince Edward Island,0,6240,34536,10024,144283
