Year,Province,Metric,Value
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2013,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2014,Alberta,Total PRs,0.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2015,Alberta,Total PRs,1900.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2016,Alberta,Total PRs,4685.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2017,Alberta,Total PRs,4425.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2018,Alberta,Total PRs,3045.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2019,Alberta,Total PRs,2550.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2020,Alberta,Total PRs,2840.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2021,Alberta,Total PRs,2670.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
