Census Metropolitan Area and Province/Territory,,2015,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2015 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2016 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2017 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2018 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,"87,150","86,710","86,750","89,670","84,230","84,830","85,120","88,210","86,250","87,705","90,135","1,02,810","86,580","87,565","88,275","93,800","1,21,785","90,135","90,815","91,320","93,585","89,810","91,370","92,755","95,575","93,705","97,100","1,00,555","1,12,850","98,160","1,00,470","1,05,340","1,10,695","1,37,360","1,07,955","1,09,000","1,10,375","1,12,230","1,09,980","1,12,885","1,14,735","1,17,480","1,17,125","1,22,915","1,27,245","1,42,235","1,25,130","1,27,345","1,33,165","1,39,685","1,68,580","1,35,930","1,36,710","1,38,785","1,41,145","1,39,360","1,40,950","1,43,065","1,46,670","1,44,760","1,46,040","1,60,365","1,74,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrie,975,995,995,"1,015",975,980,"1,015","1,040","1,050","1,310","1,385","1,500","1,375","1,410","1,490","1,625","1,895","1,525","1,555","1,555","1,590","1,505","1,560","1,590","1,610","1,605","1,930","2,020","2,150","2,015","2,050","2,265","2,445","2,785","2,320","2,355","2,360","2,395","2,285","2,330","2,370","2,410","2,405","2,825","2,990","3,220","2,990","3,015","3,170","3,455","3,920","3,405","3,395","3,460","3,525","3,635","3,675","3,700","3,790","3,695","4,085","4,450","4,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oshawa,"1,270","1,285","1,280","1,310","1,250","1,280","1,300","1,335","1,320","1,470","1,620","1,805","1,550","1,575","1,630","1,690","2,105","1,650","1,670","1,675","1,700","1,650","1,685","1,715","1,750","1,715","1,860","2,015","2,285","1,970","2,020","2,205","2,295","2,780","2,225","2,230","2,240","2,265","2,225","2,250","2,285","2,330","2,335","2,625","2,830","3,230","2,775","2,835","3,050","3,180","3,830","3,120","3,120","3,120","3,160","3,100","3,120","3,145","3,215","3,165","3,500","4,020","4,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater Sudbury,895,895,905,935,870,870,890,905,925,"1,035","1,110","1,225","1,095","1,125","1,185","1,225","1,490","1,225","1,240","1,245","1,280","1,220","1,250","1,310","1,335","1,325","1,410","1,465","1,670","1,445","1,490","1,650","1,725","2,085","1,760","1,765","1,800","1,820","1,775","1,895","1,920","1,950","1,955","2,200","2,305","2,605","2,275","2,335","2,965","3,090","3,625","3,390","3,405","3,420","3,450","3,435","3,555","3,575","3,620","3,605","3,875","4,035","4,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thunder Bay,735,700,710,760,700,715,715,755,750,870,980,"1,110",975,995,"1,090","1,125","1,400","1,135","1,140","1,160","1,190","1,190","1,230","1,265","1,280","1,285","1,525","1,590","1,760","1,595","1,635","1,730","1,785","2,075","1,800","1,825","1,840","1,850","1,815","1,875","1,895","1,915","1,920","2,285","2,365","2,695","2,350","2,360","2,470","2,560","3,020","2,635","2,640","2,645","2,675","2,620","2,655","2,680","2,740","2,720","3,180","3,355","3,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guelph,"1,500","1,465","1,480","1,545","1,430","1,445","1,470","1,535","1,530","1,645","1,755","1,930","1,680","1,695","1,675","1,750","2,220","1,690","1,715","1,720","1,765","1,670","1,705","1,755","1,810","1,760","1,925","1,955","2,175","1,910","1,925","1,905","1,970","2,475","1,915","1,950","1,965","1,990","1,910","1,940","1,950","2,010","1,970","2,190","2,250","2,470","2,165","2,170","2,180","2,240","2,735","2,190","2,210","2,205","2,245","2,165","2,175","2,170","2,270","2,195","2,355","2,575","2,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sarnia,660,655,660,670,620,615,615,640,630,840,845,930,825,835,920,955,"1,170",915,910,905,930,810,805,800,820,810,930,970,"1,075",945,950,"1,015","1,080","1,390",960,965,970,975,965,975,980,"1,010","1,000","1,305","1,250","1,500","1,225","1,260","1,465","1,515","1,875","1,440","1,445","1,505","1,520","1,675","1,670","1,680","1,710","1,725","1,980","2,075","2,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Bay,210,215,220,220,210,210,215,225,225,285,280,365,275,285,295,315,430,305,310,330,335,340,385,400,405,410,515,625,710,585,610,685,690,855,755,760,805,810,885,"1,075","1,080","1,100","1,085","1,240","1,215","1,345","1,175","1,190","1,235","1,275","1,495","1,230","1,250","1,270","1,290","1,410","1,395","1,390","1,435","1,390","1,575","1,660","1,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belleville,510,505,495,515,465,475,475,495,470,490,525,640,465,460,490,530,805,520,530,530,545,525,535,540,560,540,615,660,785,600,610,715,730,990,800,810,805,815,785,785,790,815,800,915,965,"1,115",905,925,"1,100","1,120","1,425","1,210","1,210","1,210","1,225","1,225","1,255","1,265","1,300","1,315","1,520","1,775","1,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sault Ste. Marie,375,375,385,395,395,410,410,425,425,460,505,545,505,505,515,535,625,525,520,530,540,520,530,535,545,535,530,570,645,560,560,565,590,740,580,580,580,590,550,550,565,575,570,560,590,695,575,580,670,695,880,745,740,735,750,715,740,735,750,750,850,945,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornwall,30,30,30,30,30,30,35,35,40,215,240,255,235,240,245,245,270,250,250,250,255,255,255,250,260,235,375,385,410,355,355,370,370,465,380,380,385,385,390,410,405,420,420,495,475,560,410,420,465,470,665,465,470,480,480,495,485,470,505,445,510,550,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
