REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,College,Elementary and/or High School,University,Educator_to_OperatingSpending,Salary_to_EPI,OpSpend_per_Educator,Education_Access_Index,Capital_Efficiency
01-01-1947,Alberta,31970.454545454544,8851.636363636364,40822.22727272727,123.0732075471698,147.90830188679243,148.02622641509433,138.57396226415096,111.8462264150943,120.0696226415094,120.97283018867927,120.94584905660378,186.0,528.0,528.0,10.517241379310345,5.689655172413793,20.275862068965516,77.31482438016529,1.5112956240188384,0.012934130136322792,12.160919540229884,4.365590089436564
01-01-1947,Newfoundland and Labrador,5406.272727272727,1131.5454545454545,6538.772727272727,121.11773584905663,149.78830188679245,148.02622641509433,133.2667924528302,123.15000000000002,119.51358490566038,109.42377358490563,119.2683018867924,668.5,2532.5,2532.5,12.517241379310345,4.827586206896552,26.96551724137931,2.581943821233061,5.519422860027043,0.3873050961745671,14.770114942528735,21.23363844321192
01-01-1947,Nova Scotia,9786.954545454546,15979.881818181819,9787.5,115.09094339622645,149.90773584905662,148.02622641509433,129.9009433962264,116.50320754716978,113.3424528301887,103.52622641509434,112.92283018867923,949.75,3520.75,3520.75,9.172413793103448,6.689655172413793,26.689655172413794,2.7799474543776186,8.252169736156146,0.3597190293742018,14.183908045977011,31.17837193875932
01-01-1947,New Brunswick,7382.318181818182,317.45454545454544,7699.772727272727,119.0462264150943,151.00433962264157,148.02622641509433,130.6466037735849,117.01396226415092,116.56490566037733,107.9037735849057,116.44415094339621,387.25,1544.25,1544.25,9.379310344827585,5.344827586206897,23.551724137931036,4.986092101196521,3.2529380532376053,0.20055786770565837,12.758620689655173,13.261722357790765
01-01-1947,Ontario,129052.90909090909,23818.363636363636,152870.45454545456,124.02603773584904,149.1767924528302,148.02622641509433,141.1045283018868,114.25415094339621,120.29056603773584,123.16509433962263,121.04377358490564,1231.0,4509.0,4509.0,14.482758620689655,8.482758620689655,27.551724137931036,33.90340531059094,9.925335215672913,0.029495562196155387,16.839080459770116,37.25098670058548
01-01-1947,Manitoba,12008.045454545454,1908.0,13916.59090909091,119.97849056603773,150.01924528301888,148.02622641509433,134.73547169811323,116.90320754716983,117.23490566037734,113.9866037735849,117.27754716981133,106.0,556.0,556.0,6.827586206896552,5.827586206896552,25.75862068965517,25.029839764551998,0.8834916950522578,0.03995231329511864,12.804597701149424,4.74089042120691
01-01-1947,Prince Edward Island,1462.3636363636363,200.5909090909091,1662.1363636363637,120.29018867924532,147.74999999999997,148.02622641509433,126.5784905660377,123.15000000000002,119.69943396226412,108.21735849056603,119.06754716981129,1500.5,5204.5,5204.5,10.03448275862069,5.413793103448276,26.620689655172413,0.31936523463087013,12.474001549711543,3.131211201356414,14.022988505747128,43.710483030085996
01-01-1947,British Columbia,29352.81818181818,8329.90909090909,37682.454545454544,122.94716981132075,138.60886792452828,148.02622641509433,129.05622641509433,111.9911320754717,122.13867924528297,110.51207547169815,124.0328301886793,224.0,1265.0,1265.0,13.689655172413794,5.0344827586206895,24.0,29.788501616960115,1.8219207513581537,0.033570000024125045,14.241379310344827,10.198912643335449
01-01-1947,Saskatchewan,10467.40909090909,1696.6363636363637,12164.181818181818,119.34584905660377,146.81547169811319,148.02622641509433,137.28245283018865,115.29452830188676,114.84849056603773,112.47226415094339,114.74509433962267,83.0,449.0,449.0,6.137931034482759,6.517241379310345,24.79310344827586,27.091718971451712,0.6954577863921725,0.03691164820710581,12.482758620689657,3.9130213154999836
01-01-1947,Canada,307115.86363636365,80013.13636363637,387129.13636363635,123.22415094339621,148.45566037735853,148.02622641509433,139.34169811320757,114.47641509433966,119.9001886792453,117.93867924528304,120.58849056603776,3742.0,13951.0,13951.0,14.517241379310345,6.758620689655173,24.79310344827586,27.74920338066349,30.367423685628893,0.036037070552332726,15.35632183908046,115.69097460723275
01-01-1947,Quebec,68160.68181818182,33531.545454545456,101692.09090909091,124.99188679245287,148.2679245283019,148.02622641509433,142.1567924528302,115.91792452830184,120.83358490566035,116.85830188679249,121.368679245283,1770.0,5900.0,5900.0,21.413793103448278,5.551724137931035,21.655172413793103,17.235947611710323,14.160919123807275,0.05801827799247818,16.20689655172414,48.61221228317275
01-01-1948,Nova Scotia,9786.954545454546,15979.881818181819,9787.5,115.09094339622645,149.90773584905662,148.02622641509433,129.9009433962264,116.50320754716978,113.3424528301887,103.52622641509434,112.92283018867923,213.66666666666669,9022.222222222224,799.5833333333334,9.172413793103448,6.689655172413793,26.689655172413794,12.240750390828556,1.85650286948358,0.0816943380161771,14.183908045977011,79.8972378494878
01-01-1948,Manitoba,12008.045454545454,1908.0,13916.59090909091,119.97849056603773,150.01924528301888,148.02622641509433,134.73547169811323,116.90320754716983,117.23490566037734,113.9866037735849,117.27754716981133,157.66666666666669,13805.555555555557,649.3333333333334,6.827586206896552,5.827586206896552,25.75862068965517,21.43212152324062,1.3141244394959686,0.04665893663003065,12.804597701149424,117.7169534042683
01-01-1948,Prince Edward Island,1462.3636363636363,200.5909090909091,1662.1363636363637,120.29018867924532,147.74999999999997,148.02622641509433,126.5784905660377,123.15000000000002,119.69943396226412,108.21735849056603,119.06754716981129,251.0,5833.333333333334,899.75,10.03448275862069,5.413793103448276,26.620689655172413,1.8473313294096847,2.0866207190787054,0.541321410014494,14.022988505747128,48.99179895772921
