REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,"Moose Jaw, Saskatchewan (CA)",1.344,34872,,843.44,
2021,Canada,2021A000011124,Moose Jaw (Medium population centre),1.345,32813,,22.14,
2021,Canada,2021A000011124,Rural area,1.346,2059,,821.29,
2021,Canada,2021A000011124,"Nanaimo, British Columbia (CMA)",1.347,115459,,1279.28,
2021,Canada,2021A000011124,Nanaimo (Large urban population centre),1.348,106079,,86.76,
2021,Canada,2021A000011124,Rural area,1.349,9380,,1192.51,
2021,Canada,2021A000011124,"Nelson, British Columbia (CA)",1.35,19119,,1224.3,
2021,Canada,2021A000011124,Nelson (Small population centre),1.351,11198,,7.45,
2021,Canada,2021A000011124,Rural area,1.352,7921,,1216.85,
2021,Canada,2021A000011124,"New Glasgow, Nova Scotia (CA)",1.353,34397,,2066.47,
2021,Canada,2021A000011124,New Glasgow (Small population centre),1.354,19316,,29.82,
2021,Canada,2021A000011124,Rural area,1.355,15081,,2036.65,
2021,Canada,2021A000011124,"Norfolk, Ontario (CA)",1.356,67490,,1597.68,
2021,Canada,2021A000011124,Delhi (Small population centre),1.357,5344,,3.83,
2021,Canada,2021A000011124,Port Dover (Small population centre),1.358,7871,,8.12,
2021,Canada,2021A000011124,Port Rowan (Small population centre),1.359,1357,,3.17,
2021,Canada,2021A000011124,Simcoe (Small population centre),1.36,16121,,16.5,
2021,Canada,2021A000011124,Waterford (Small population centre),1.361,4227,,3.51,
2021,Canada,2021A000011124,Rural area,1.362,32570,,1562.55,
2021,Canada,2021A000011124,"North Battleford, Saskatchewan (CA)",1.363,19374,,1118.54,
2021,Canada,2021A000011124,Battleford (Small population centre),1.364,3651,,2.14,
2021,Canada,2021A000011124,North Battleford (Small population centre),1.365,13649,,8.67,
2021,Canada,2021A000011124,Rural area,1.366,2074,,1107.74,
2021,Canada,2021A000011124,"North Bay, Ontario (CA)",1.367,71736,,5314.85,
2021,Canada,2021A000011124,North Bay (Medium population centre),1.368,51433,,64.91,
2021,Canada,2021A000011124,Powassan (Small population centre),1.369,1241,,1.68,
2021,Canada,2021A000011124,Rural area,1.37,19062,,5248.27,
2021,Canada,2021A000011124,"Okotoks, Alberta (CA)",1.371,30405,,38.55,
2021,Canada,2021A000011124,Okotoks (Medium population centre),1.372,30214,,17.23,
2021,Canada,2021A000011124,Rural area,1.373,191,,21.32,
2021,Canada,2021A000011124,"Orillia, Ontario (CA)",1.374,33411,,28.53,
2021,Canada,2021A000011124,Orillia (Medium population centre),1.375,33379,,22.68,
2021,Canada,2021A000011124,Rural area,1.376,32,,5.85,
2021,Canada,2021A000011124,"Oshawa, Ontario (CMA)",1.377,415311,,903.25,
2021,Canada,2021A000011124,Oshawa (Large urban population centre),1.378,335949,,159.79,
2021,Canada,2021A000011124,Bowmanville - Newcastle (Medium population centre),1.379,56742,,31.23,
2021,Canada,2021A000011124,Orono (Small population centre),1.38,1104,,1.36,
2021,Canada,2021A000011124,Rural area,1.381,21516,,710.87,
2021,Canada,2021A000011124,"Ottawa - Gatineau, Ontario/Quebec (CMA)",1.382,1488307,,8046.99,
2021,Canada,2021A000011124,Ottawa - Gatineau (Large urban population centre),1.383,1068821,,549.49,
2021,Canada,2021A000011124,Kanata (Large urban population centre),1.384,137118,,62.35,
2021,Canada,2021A000011124,Almonte (Small population centre),1.385,6098,,4.16,
2021,Canada,2021A000011124,Angers (Small population centre),1.386,7259,,4.76,
2021,Canada,2021A000011124,Arnprior (Small population centre),1.387,11305,,12.09,
2021,Canada,2021A000011124,Bourget (Small population centre),1.388,1175,,2.23,
2021,Canada,2021A000011124,Buckingham (Small population centre),1.389,17407,,19.74,
2021,Canada,2021A000011124,Carleton Place (Small population centre),1.39,13940,,12.89,
2021,Canada,2021A000011124,Carp (Small population centre),1.391,1477,,2.05,
2021,Canada,2021A000011124,Constance Bay (Small population centre),1.392,2263,,5.56,
2021,Canada,2021A000011124,Embrun (Small population centre),1.393,8680,,10.18,
2021,Canada,2021A000011124,Kemptville (Small population centre),1.394,4051,,3.73,
2021,Canada,2021A000011124,Manotick Station (Small population centre),1.395,5873,,9.09,
2021,Canada,2021A000011124,Metcalfe (Small population centre),1.396,1811,,2.19,
2021,Canada,2021A000011124,Munster (Small population centre),1.397,1145,,0.67,
2021,Canada,2021A000011124,Osgoode (Small population centre),1.398,2535,,2.97,
2021,Canada,2021A000011124,Richmond (Small population centre),1.399,4228,,4.1,
2021,Canada,2021A000011124,Rockland (Small population centre),1.4,13625,,8.15,
2021,Canada,2021A000011124,Russell (Small population centre),1.401,6135,,4.56,
2021,Canada,2021A000011124,Thurso (Small population centre),1.402,2833,,3.07,
2021,Canada,2021A000011124,Rural area,1.403,170528,,7322.96,
2021,Canada,2021A000011124,"Owen Sound, Ontario (CA)",1.404,32712,,624.18,
2021,Canada,2021A000011124,Owen Sound (Small population centre),1.405,22318,,20.86,
2021,Canada,2021A000011124,Rural area,1.406,10394,,603.31,
2021,Canada,2021A000011124,"Parksville, British Columbia (CA)",1.407,31054,,81.81,
2021,Canada,2021A000011124,Parksville (Small population centre),1.408,27330,,27.45,
2021,Canada,2021A000011124,Rural area,1.409,3724,,54.36,
2021,Canada,2021A000011124,"Pembroke, Ontario (CA)",1.41,23814,,553.4,
2021,Canada,2021A000011124,Pembroke (Small population centre),1.411,16571,,17.47,
2021,Canada,2021A000011124,Rural area,1.412,7243,,535.93,
2021,Canada,2021A000011124,"Penticton, British Columbia (CA)",1.413,47380,,1734.72,
2021,Canada,2021A000011124,Penticton (Medium population centre),1.414,36893,,25.84,
2021,Canada,2021A000011124,Okanagan Falls (Small population centre),1.415,2202,,3.33,
2021,Canada,2021A000011124,Rural area,1.416,8285,,1705.55,
2021,Canada,2021A000011124,"Petawawa, Ontario (CA)",1.417,18160,,164.7,
2021,Canada,2021A000011124,Petawawa (Small population centre),1.418,14382,,16.01,
2021,Canada,2021A000011124,Rural area,1.419,3778,,148.69,
2021,Canada,2021A000011124,"Peterborough, Ontario (CMA)",1.42,128624,,1508.44,
2021,Canada,2021A000011124,Peterborough (Medium population centre),1.421,84793,,54.58,
2021,Canada,2021A000011124,Bridgenorth - Chemong Park Area (Small population centre),1.422,3072,,6.98,
2021,Canada,2021A000011124,Lakefield (Small population centre),1.423,2943,,2.69,
2021,Canada,2021A000011124,Millbrook (Small population centre),1.424,1739,,2.07,
2021,Canada,2021A000011124,Rural area,1.425,36077,,1442.12,
2021,Canada,2021A000011124,"Port Alberni, British Columbia (CA)",1.426,25786,,1633.13,
2021,Canada,2021A000011124,Port Alberni (Small population centre),1.427,21711,,28.49,
2021,Canada,2021A000011124,Rural area,1.428,4075,,1604.64,
2021,Canada,2021A000011124,"Port Hope, Ontario (CA)",1.429,17294,,278.8,
2021,Canada,2021A000011124,Port Hope (Small population centre),1.43,13012,,12.72,
2021,Canada,2021A000011124,Rural area,1.431,4282,,266.08,
2021,Canada,2021A000011124,"Portage la Prairie, Manitoba (CA)",1.432,13270,,24.72,
2021,Canada,2021A000011124,Portage la Prairie (Small population centre),1.433,12944,,9.93,
2021,Canada,2021A000011124,Rural area,1.434,326,,14.79,
2021,Canada,2021A000011124,"Powell River, British Columbia (CA)",1.435,17825,,799.8,
2021,Canada,2021A000011124,Powell River (Small population centre),1.436,13116,,17.37,
2021,Canada,2021A000011124,Rural area,1.437,4709,,782.43,
2021,Canada,2021A000011124,"Prince Albert, Saskatchewan (CA)",1.438,45718,,2537.68,
2021,Canada,2021A000011124,Prince Albert (Medium population centre),1.439,36768,,21.37,
2021,Canada,2021A000011124,Rural area,1.44,8950,,2516.3,
2021,Canada,2021A000011124,"Prince George, British Columbia (CA)",1.441,89490,,17650.99,
2021,Canada,2021A000011124,Prince George (Medium population centre),1.442,67339,,73.9,
2021,Canada,2021A000011124,Rural area,1.443,22151,,17577.09,
2021,Canada,2021A000011124,"Prince Rupert, British Columbia (CA)",1.444,13442,,3303.63,
2021,Canada,2021A000011124,Prince Rupert (Small population centre),1.445,11814,,7.97,
2021,Canada,2021A000011124,Rural area,1.446,1628,,3295.66,
2021,Canada,2021A000011124,"Quesnel, British Columbia (CA)",1.447,23113,,21708.62,
2021,Canada,2021A000011124,Quesnel (Small population centre),1.448,12110,,25.23,
2021,Canada,2021A000011124,Rural area,1.449,11003,,21683.39,
2021,Canada,2021A000011124,"Québec, Quebec (CMA)",1.45,839311,,3499.46,
2021,Canada,2021A000011124,Québec (Large urban population centre),1.451,733156,,442.85,
2021,Canada,2021A000011124,Beaumont (Small population centre),1.452,1209,,1.64,
2021,Canada,2021A000011124,Château-Richer (Small population centre),1.453,2482,,3.54,
2021,Canada,2021A000011124,Fossambault-sur-le-Lac (Small population centre),1.454,3367,,6.44,
2021,Canada,2021A000011124,Neuville (Small population centre),1.455,2543,,3.98,
2021,Canada,2021A000011124,Parc-Boutin (Small population centre),1.456,1246,,2.67,
2021,Canada,2021A000011124,Saint-Apollinaire (Small population centre),1.457,4933,,4.43,
2021,Canada,2021A000011124,Saint-Henri-de-Lévis (Small population centre),1.458,1761,,0.95,
2021,Canada,2021A000011124,Sainte-Brigitte-de-Laval (Small population centre),1.459,4872,,6.07,
2021,Canada,2021A000011124,Sainte-Catherine-de-la-Jacques-Cartier (Small population centre),1.46,1757,,0.83,
2021,Canada,2021A000011124,Shannon (Small population centre),1.461,3131,,3.95,
2021,Canada,2021A000011124,Stoneham (Small population centre),1.462,1905,,2.68,
2021,Canada,2021A000011124,Ville Lambert (Small population centre),1.463,2544,,2.67,
2021,Canada,2021A000011124,Rural area,1.464,74405,,3016.77,
2021,Canada,2021A000011124,"Red Deer, Alberta (CMA)",1.465,100844,,104.34,
2021,Canada,2021A000011124,Red Deer (Medium population centre),1.466,99846,,65.93,
2021,Canada,2021A000011124,Rural area,1.467,998,,38.41,
2021,Canada,2021A000011124,"Regina, Saskatchewan (CMA)",1.468,249217,,4323.66,
2021,Canada,2021A000011124,Regina (Large urban population centre),1.469,224996,,105.61,
2021,Canada,2021A000011124,Balgonie (Small population centre),1.47,1736,,1.34,
2021,Canada,2021A000011124,Lumsden (Small population centre),1.471,1800,,4.09,
2021,Canada,2021A000011124,Pilot Butte (Small population centre),1.472,2364,,2.75,
2021,Canada,2021A000011124,Regina Beach (Small population centre),1.473,1790,,2.72,
2021,Canada,2021A000011124,White City (Small population centre),1.474,4713,,6.32,
2021,Canada,2021A000011124,Rural area,1.475,11818,,4200.83,
2021,Canada,2021A000011124,"Rimouski, Quebec (CA)",1.476,53944,,772.93,
2021,Canada,2021A000011124,Rimouski (Medium population centre),1.477,38708,,27.79,
2021,Canada,2021A000011124,Le Bic (Small population centre),1.478,1132,,1.23,
2021,Canada,2021A000011124,Rural area,1.479,14104,,743.9,
2021,Canada,2021A000011124,"Rivière-du-Loup, Quebec (CA)",1.48,30025,,543.02,
2021,Canada,2021A000011124,Rivière-du-Loup (Small population centre),1.481,19081,,20.17,
2021,Canada,2021A000011124,Rural area,1.482,10944,,522.84,
2021,Canada,2021A000011124,"Rouyn-Noranda, Quebec (CA)",1.483,42313,,5963.57,
2021,Canada,2021A000011124,Rouyn-Noranda (Small population centre),1.484,23186,,22.18,
2021,Canada,2021A000011124,Évain (Small population centre),1.485,2329,,1.97,
2021,Canada,2021A000011124,Rural area,1.486,16798,,5939.41,
2021,Canada,2021A000011124,"Saguenay, Quebec (CMA)",1.487,161567,,3133.53,
2021,Canada,2021A000011124,Chicoutimi - Jonquière (Large urban population centre),1.488,103934,,94.56,
2021,Canada,2021A000011124,Port-Alfred-Bagotville (Small population centre),1.489,13350,,13.11,
2021,Canada,2021A000011124,Saint-Honoré (Small population centre),1.49,2394,,1.99,
2021,Canada,2021A000011124,Rural area,1.491,41889,,3023.86,
2021,Canada,2021A000011124,"Saint John, New Brunswick (CMA)",1.492,130613,,3505.66,
2021,Canada,2021A000011124,Saint John (Medium population centre),1.493,63447,,70.05,
2021,Canada,2021A000011124,Hampton (Small population centre),1.494,3499,,7.73,
2021,Canada,2021A000011124,Quispamsis - Rothesay (Small population centre),1.495,24881,,37.05,
2021,Canada,2021A000011124,Wells (Small population centre),1.496,1263,,2.88,
2021,Canada,2021A000011124,Rural area,1.497,37523,,3387.96,
2021,Canada,2021A000011124,"Saint-Georges, Quebec (CA)",1.498,34833,,365.21,
2021,Canada,2021A000011124,Saint-Georges (Small population centre),1.499,27402,,27.09,
2021,Canada,2021A000011124,Rural area,1.5,7431,,338.12,
2021,Canada,2021A000011124,"Saint-Hyacinthe, Quebec (CA)",1.501,59980,,259.38,
2021,Canada,2021A000011124,Saint-Hyacinthe (Medium population centre),1.502,50616,,30.8,
2021,Canada,2021A000011124,Rural area,1.503,9364,,228.58,
2021,Canada,2021A000011124,"Sainte-Agathe-des-Monts, Quebec (CA)",1.504,19892,,210.96,
2021,Canada,2021A000011124,Sainte-Agathe-des-Monts - Val-David (Small population centre),1.505,12136,,19.51,
2021,Canada,2021A000011124,Rural area,1.506,7756,,191.46,
2021,Canada,2021A000011124,"Sainte-Marie, Quebec (CA)",1.507,13134,,107.55,
2021,Canada,2021A000011124,Sainte-Marie (Small population centre),1.508,10716,,10.65,
2021,Canada,2021A000011124,Rural area,1.509,2418,,96.9,
2021,Canada,2021A000011124,"Salaberry-de-Valleyfield, Quebec (CA)",1.51,42787,,108.56,
2021,Canada,2021A000011124,Salaberry-de-Valleyfield (Medium population centre),1.511,41655,,33.93,
2021,Canada,2021A000011124,Rural area,1.512,1132,,74.63,
2021,Canada,2021A000011124,"Salmon Arm, British Columbia (CA)",1.513,19705,,165.42,
2021,Canada,2021A000011124,Salmon Arm (Small population centre),1.514,16065,,20.99,
2021,Canada,2021A000011124,Rural area,1.515,3640,,144.43,
2021,Canada,2021A000011124,"Sarnia, Ontario (CA)",1.516,97592,,1117.2,
2021,Canada,2021A000011124,Sarnia (Medium population centre),1.517,73944,,60.53,
2021,Canada,2021A000011124,Corunna (Small population centre),1.518,6266,,3.79,
2021,Canada,2021A000011124,Wyoming (Small population centre),1.519,2348,,4.59,
2021,Canada,2021A000011124,Rural area,1.52,15034,,1048.29,
2021,Canada,2021A000011124,"Saskatoon, Saskatchewan (CMA)",1.521,317480,,5864.48,
2021,Canada,2021A000011124,Saskatoon (Large urban population centre),1.522,264637,,134.63,
2021,Canada,2021A000011124,Dalmeny (Small population centre),1.523,1703,,1.5,
2021,Canada,2021A000011124,Delisle (Small population centre),1.524,1024,,1.08,
2021,Canada,2021A000011124,Langham (Small population centre),1.525,1349,,0.88,
2021,Canada,2021A000011124,Martensville (Small population centre),1.526,10499,,5.48,
2021,Canada,2021A000011124,Osler (Small population centre),1.527,1251,,1.62,
2021,Canada,2021A000011124,Warman (Small population centre),1.528,12362,,7.65,
2021,Canada,2021A000011124,Rural area,1.529,24655,,5711.64,
2021,Canada,2021A000011124,"Sault Ste. Marie, Ontario (CA)",1.53,76731,,802.58,
2021,Canada,2021A000011124,Sault Ste. Marie (Medium population centre),1.531,64923,,52.97,
2021,Canada,2021A000011124,Rural area,1.532,11808,,749.61,
2021,Canada,2021A000011124,"Sept-Îles, Quebec (CA)",1.533,27729,,1750.44,
2021,Canada,2021A000011124,Maliotenam (Small population centre),1.534,1458,,0.8,
2021,Canada,2021A000011124,Sept-Îles (Small population centre),1.535,21352,,13.25,
2021,Canada,2021A000011124,Rural area,1.536,4919,,1736.4,
2021,Canada,2021A000011124,"Shawinigan, Quebec (CA)",1.537,49620,,729.98,
2021,Canada,2021A000011124,Shawinigan (Medium population centre),1.538,38930,,31.77,
2021,Canada,2021A000011124,Rural area,1.539,10690,,698.21,
2021,Canada,2021A000011124,"Sherbrooke, Quebec (CMA)",1.54,227398,,1458.1,
2021,Canada,2021A000011124,Sherbrooke (Large urban population centre),1.541,151157,,102.61,
2021,Canada,2021A000011124,Bromptonville (Small population centre),1.542,3862,,6.64,
2021,Canada,2021A000011124,Magog (Small population centre),1.543,22222,,19.57,
2021,Canada,2021A000011124,Montagnac (Small population centre),1.544,1041,,2.6,
2021,Canada,2021A000011124,Rural area,1.545,49116,,1326.69,
2021,Canada,2021A000011124,"Sorel-Tracy, Quebec (CA)",1.546,41934,,170.31,
2021,Canada,2021A000011124,Sorel (Medium population centre),1.547,36650,,30.61,
2021,Canada,2021A000011124,Rural area,1.548,5284,,139.7,
2021,Canada,2021A000011124,"Squamish, British Columbia (CA)",1.549,24232,,105.43,
2021,Canada,2021A000011124,Squamish (Small population centre),1.55,22221,,22.11,
2021,Canada,2021A000011124,Rural area,1.551,2011,,83.32,
2021,Canada,2021A000011124,"St. Catharines - Niagara, Ontario (CMA)",1.552,433604,,1397.09,
2021,Canada,2021A000011124,St. Catharines - Niagara Falls (Large urban population centre),1.553,242460,,140.59,
2021,Canada,2021A000011124,Welland - Pelham (Medium population centre),1.554,69302,,57.21,
2021,Canada,2021A000011124,Beamsville (Small population centre),1.555,13323,,9.89,
2021,Canada,2021A000011124,Chippawa (Small population centre),1.556,6077,,3.72,
2021,Canada,2021A000011124,Crystal Beach (Small population centre),1.557,9531,,11.34,
2021,Canada,2021A000011124,Fort Erie (Small population centre),1.558,15372,,14.62,
2021,Canada,2021A000011124,Mississauga Beach (Small population centre),1.559,5293,,5.81,
2021,Canada,2021A000011124,Port Colborne (Small population centre),1.56,15441,,13.29,
2021,Canada,2021A000011124,Stevensville (Small population centre),1.561,1316,,2.52,
2021,Canada,2021A000011124,Vineland (Small population centre),1.562,4395,,5.8,
2021,Canada,2021A000011124,Virgil (Small population centre),1.563,3008,,2.41,
2021,Canada,2021A000011124,Rural area,1.564,48086,,1129.88,
2021,Canada,2021A000011124,"St. John's, Newfoundland and Labrador (CMA)",1.565,212579,,931.56,
2021,Canada,2021A000011124,St. John's (Large urban population centre),1.566,185565,,178,
2021,Canada,2021A000011124,Rural area,1.567,27014,,753.56,
2021,Canada,2021A000011124,"Steinbach, Manitoba (CA)",1.568,17806,,37.56,
2021,Canada,2021A000011124,Steinbach (Small population centre),1.569,17589,,17.8,
2021,Canada,2021A000011124,Rural area,1.57,217,,19.75,
2021,Canada,2021A000011124,"Stratford, Ontario (CA)",1.571,33232,,30.02,
2021,Canada,2021A000011124,Stratford (Medium population centre),1.572,32878,,23.3,
2021,Canada,2021A000011124,Rural area,1.573,354,,6.72,
2021,Canada,2021A000011124,"Strathmore, Alberta (CA)",1.574,14339,,26.98,
2021,Canada,2021A000011124,Strathmore (Small population centre),1.575,13851,,9.46,
2021,Canada,2021A000011124,Rural area,1.576,488,,17.51,
2021,Canada,2021A000011124,"Summerside, Prince Edward Island (CA)",1.577,18157,,125.12,
2021,Canada,2021A000011124,Summerside (Small population centre),1.578,14952,,16.97,
2021,Canada,2021A000011124,Rural area,1.579,3205,,108.15,
2021,Canada,2021A000011124,"Swift Current, Saskatchewan (CA)",1.58,18745,,1129.78,
2021,Canada,2021A000011124,Swift Current (Small population centre),1.581,16304,,14.69,
2021,Canada,2021A000011124,Rural area,1.582,2441,,1115.09,
2021,Canada,2021A000011124,"Sylvan Lake, Alberta (CA)",1.583,16514,,24.25,
2021,Canada,2021A000011124,Sylvan Lake (Small population centre),1.584,16142,,10.49,
2021,Canada,2021A000011124,Rural area,1.585,372,,13.77,
2021,Canada,2021A000011124,"Terrace, British Columbia (CA)",1.586,19606,,9721.84,
2021,Canada,2021A000011124,Terrace (Small population centre),1.587,14633,,22.19,
2021,Canada,2021A000011124,Rural area,1.588,4973,,9699.65,
2021,Canada,2021A000011124,"Thetford Mines, Quebec (CA)",1.589,28287,,405.92,
2021,Canada,2021A000011124,Black Lake (Small population centre),1.59,3266,,2.33,
2021,Canada,2021A000011124,Thetford Mines (Small population centre),1.591,17046,,15.1,
2021,Canada,2021A000011124,Rural area,1.592,7975,,388.49,
2021,Canada,2021A000011124,"Thompson, Manitoba (CA)",1.593,13035,,16.62,
2021,Canada,2021A000011124,Thompson (Small population centre),1.594,12329,,7.81,
2021,Canada,2021A000011124,Rural area,1.595,706,,8.81,
2021,Canada,2021A000011124,"Thunder Bay, Ontario (CMA)",1.596,123258,,2550.79,
2021,Canada,2021A000011124,Thunder Bay (Medium population centre),1.597,95266,,76.03,
2021,Canada,2021A000011124,Rural area,1.598,27992,,2474.76,
2021,Canada,2021A000011124,"Tillsonburg, Ontario (CA)",1.599,18615,,22.2,
2021,Canada,2021A000011124,Tillsonburg (Small population centre),1.6,18573,,18.97,
2021,Canada,2021A000011124,Rural area,1.601,42,,3.23,
2021,Canada,2021A000011124,"Timmins, Ontario (CA)",1.602,41145,,2955.33,
2021,Canada,2021A000011124,Porcupine (Small population centre),1.603,5832,,5.78,
2021,Canada,2021A000011124,Timmins (Small population centre),1.604,28874,,18.49,
2021,Canada,2021A000011124,Rural area,1.605,6439,,2931.05,
2021,Canada,2021A000011124,"Toronto, Ontario (CMA)",1.606,6202225,,5902.75,
2021,Canada,2021A000011124,Toronto (Large urban population centre),1.607,5647656,,1829.05,
2021,Canada,2021A000011124,Milton (Large urban population centre),1.608,124579,,45.2,
2021,Canada,2021A000011124,Bradford (Medium population centre),1.609,38128,,16.1,
2021,Canada,2021A000011124,Georgetown (Medium population centre),1.61,44058,,25.7,
2021,Canada,2021A000011124,Orangeville (Medium population centre),1.611,34177,,19.77,
2021,Canada,2021A000011124,Stouffville (Medium population centre),1.612,36753,,14.17,
2021,Canada,2021A000011124,Acton (Small population centre),1.613,9377,,7.84,
2021,Canada,2021A000011124,Alliston (Small population centre),1.614,23253,,18.78,
2021,Canada,2021A000011124,Ballantrae (Small population centre),1.615,3224,,7.06,
2021,Canada,2021A000011124,Beeton (Small population centre),1.616,4151,,2.5,
2021,Canada,2021A000011124,Bolton (Small population centre),1.617,26795,,20.71,
2021,Canada,2021A000011124,Caledon (Small population centre),1.618,1466,,2.84,
2021,Canada,2021A000011124,Caledon East (Small population centre),1.619,4568,,6.44,
2021,Canada,2021A000011124,Claremont (Small population centre),1.62,1215,,2.12,
2021,Canada,2021A000011124,Keswick - Elmhurst Beach (Small population centre),1.621,27145,,16.56,
2021,Canada,2021A000011124,King (Small population centre),1.622,8396,,14.2,
2021,Canada,2021A000011124,Mount Albert (Small population centre),1.623,5695,,4.67,
2021,Canada,2021A000011124,Nobleton (Small population centre),1.624,6507,,8.58,
2021,Canada,2021A000011124,Palgrave (Small population centre),1.625,1107,,1.84,
2021,Canada,2021A000011124,Schomberg (Small population centre),1.626,2656,,2.39,
2021,Canada,2021A000011124,Sutton (Small population centre),1.627,8477,,12.55,
2021,Canada,2021A000011124,Tottenham (Small population centre),1.628,9609,,9.93,
2021,Canada,2021A000011124,Uxbridge (Small population centre),1.629,11794,,15.46,
2021,Canada,2021A000011124,Rural area,1.63,121439,,3798.28,
2021,Canada,2021A000011124,"Trail, British Columbia (CA)",1.631,14268,,279.13,
2021,Canada,2021A000011124,Trail - Fruitvale (Small population centre),1.632,12863,,21.65,
2021,Canada,2021A000011124,Rural area,1.633,1405,,257.48,
2021,Canada,2021A000011124,"Trois-Rivières, Quebec (CMA)",1.634,161489,,1038.64,
2021,Canada,2021A000011124,Trois-Rivières (Large urban population centre),1.635,128057,,98.58,
2021,Canada,2021A000011124,Gentilly (Small population centre),1.636,1634,,1.6,
2021,Canada,2021A000011124,Godefroy (Small population centre),1.637,1463,,0.79,
2021,Canada,2021A000011124,Saint Grégoire (Small population centre),1.638,1651,,1.4,
2021,Canada,2021A000011124,Yamachiche (Small population centre),1.639,1222,,1.85,
2021,Canada,2021A000011124,Rural area,1.64,27462,,934.41,
2021,Canada,2021A000011124,"Truro, Nova Scotia (CA)",1.641,46157,,2732.53,
2021,Canada,2021A000011124,Truro (Small population centre),1.642,23583,,31.52,
2021,Canada,2021A000011124,Rural area,1.643,22574,,2701.01,
2021,Canada,2021A000011124,"Val-d'Or, Quebec (CA)",1.644,34037,,3539.98,
2021,Canada,2021A000011124,Lac-Simon (Small population centre),1.645,1134,,2.25,
2021,Canada,2021A000011124,Val-d'Or (Small population centre),1.646,25473,,25.17,
2021,Canada,2021A000011124,Rural area,1.647,7430,,3512.55,
2021,Canada,2021A000011124,"Vancouver, British Columbia (CMA)",1.648,2642825,,2878.93,
2021,Canada,2021A000011124,Vancouver (Large urban population centre),1.649,2426160,,911.64,
2021,Canada,2021A000011124,White Rock (Large urban population centre),1.65,109167,,54.23,
2021,Canada,2021A000011124,Aldergrove (Small population centre),1.651,13105,,7.03,
2021,Canada,2021A000011124,Ladner (Small population centre),1.652,23016,,7.38,
2021,Canada,2021A000011124,Lions Bay (Small population centre),1.653,1390,,2.53,
2021,Canada,2021A000011124,Miller's Landing (Small population centre),1.654,1437,,1.91,
2021,Canada,2021A000011124,Tsawwassen (Small population centre),1.655,23940,,14.95,
2021,Canada,2021A000011124,Rural area,1.656,44610,,1879.26,
2021,Canada,2021A000011124,"Vernon, British Columbia (CA)",1.657,67086,,1041.09,
2021,Canada,2021A000011124,Vernon (Medium population centre),1.658,51896,,51.16,
2021,Canada,2021A000011124,Rural area,1.659,15190,,989.92,
2021,Canada,2021A000011124,"Victoria, British Columbia (CMA)",1.66,397237,,695.29,
2021,Canada,2021A000011124,Victoria (Large urban population centre),1.661,363222,,222.71,
2021,Canada,2021A000011124,Sooke (Small population centre),1.662,11583,,15.3,
2021,Canada,2021A000011124,Rural area,1.663,22432,,457.29,
2021,Canada,2021A000011124,"Victoriaville, Quebec (CA)",1.664,52936,,378.1,
2021,Canada,2021A000011124,Victoriaville (Medium population centre),1.665,46322,,35.27,
2021,Canada,2021A000011124,Rural area,1.666,6614,,342.84,
2021,Canada,2021A000011124,"Wasaga Beach, Ontario (CA)",1.667,24862,,57.42,
2021,Canada,2021A000011124,Wasaga Beach (Small population centre),1.668,22194,,28.21,
2021,Canada,2021A000011124,Rural area,1.669,2668,,29.21,
2021,Canada,2021A000011124,"Wetaskiwin, Alberta (CA)",1.67,12594,,18.75,
2021,Canada,2021A000011124,Wetaskiwin (Small population centre),1.671,12438,,12.11,
2021,Canada,2021A000011124,Rural area,1.672,156,,6.64,
2021,Canada,2021A000011124,"Weyburn, Saskatchewan (CA)",1.673,12247,,828.28,
2021,Canada,2021A000011124,Weyburn (Small population centre),1.674,10883,,8.51,
2021,Canada,2021A000011124,Rural area,1.675,1364,,819.77,
2021,Canada,2021A000011124,"Whitehorse, Yukon (CA)",1.676,31913,,8465.21,
2021,Canada,2021A000011124,Whitehorse (Small population centre),1.677,24513,,35.97,
2021,Canada,2021A000011124,Rural area,1.678,7400,,8429.24,
2021,Canada,2021A000011124,"Williams Lake, British Columbia (CA)",1.679,23608,,12422.14,
2021,Canada,2021A000011124,Williams Lake (Small population centre),1.68,11906,,27.69,
2021,Canada,2021A000011124,Rural area,1.681,11702,,12394.45,
2021,Canada,2021A000011124,"Windsor, Ontario (CMA)",1.682,422630,,1803.17,
2021,Canada,2021A000011124,Windsor (Large urban population centre),1.683,306519,,184.96,
2021,Canada,2021A000011124,Leamington (Medium population centre),1.684,35730,,31.77,
2021,Canada,2021A000011124,Amherstburg (Small population centre),1.685,15177,,13.7,
2021,Canada,2021A000011124,Colchester (Small population centre),1.686,2334,,3.06,
2021,Canada,2021A000011124,Essex (Small population centre),1.687,8233,,5.56,
2021,Canada,2021A000011124,Harrow (Small population centre),1.688,2562,,2.86,
2021,Canada,2021A000011124,McGregor (Small population centre),1.689,1536,,3.32,
2021,Canada,2021A000011124,Stoney Point (Small population centre),1.69,1394,,2.46,
2021,Canada,2021A000011124,Rural area,1.691,49145,,1555.5,
2021,Canada,2021A000011124,"Winkler, Manitoba (CA)",1.692,32655,,872.19,
2021,Canada,2021A000011124,Morden (Small population centre),1.693,9103,,8.53,
