REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,Rural area,1.8,26468,,1054.87,
2021,Canada,2021A000011124,"Chatham-Kent, Ontario (CA)",1.81,104316,,2464.52,
2021,Canada,2021A000011124,Chatham (Medium population centre),1.82,45171,,31.21,
2021,Canada,2021A000011124,Blenheim (Small population centre),1.83,4487,,4.6,
2021,Canada,2021A000011124,Dresden (Small population centre),1.84,2401,,2.78,
2021,Canada,2021A000011124,Ridgetown (Small population centre),1.85,2797,,2.73,
2021,Canada,2021A000011124,Tilbury (Small population centre),1.86,4687,,4.14,
2021,Canada,2021A000011124,Wallaceburg (Small population centre),1.87,10323,,8.84,
2021,Canada,2021A000011124,Wheatley (Small population centre),1.88,3060,,3.4,
2021,Canada,2021A000011124,Rural area,1.89,31390,,2406.81,
2021,Canada,2021A000011124,"Chilliwack, British Columbia (CMA)",1.9,113767,,1444.02,
2021,Canada,2021A000011124,Chilliwack (Medium population centre),1.91,81622,,56.02,
2021,Canada,2021A000011124,Cultus Lake (Small population centre),1.92,1164,,1.8,
2021,Canada,2021A000011124,Harrison Hot Springs (Small population centre),1.93,1552,,1.17,
2021,Canada,2021A000011124,Kent (Small population centre),1.94,3936,,4.02,
2021,Canada,2021A000011124,Rosedale (Small population centre),1.95,2232,,4.39,
2021,Canada,2021A000011124,Yarrow (Small population centre),1.96,1378,,3.37,
2021,Canada,2021A000011124,Rural area,1.97,21883,,1373.25,
2021,Canada,2021A000011124,"Cobourg, Ontario (CA)",1.98,20519,,22.41,
2021,Canada,2021A000011124,Cobourg (Small population centre),1.99,19830,,15.57,
2021,Canada,2021A000011124,Rural area,1.1,689,,6.83,
2021,Canada,2021A000011124,"Collingwood, Ontario (CA)",1.101,24811,,33.15,
2021,Canada,2021A000011124,Collingwood (Small population centre),1.102,22983,,16.38,
2021,Canada,2021A000011124,Rural area,1.103,1828,,16.77,
2021,Canada,2021A000011124,"Corner Brook, Newfoundland and Labrador (CA)",1.104,29762,,1122.58,
2021,Canada,2021A000011124,Corner Brook (Small population centre),1.105,19129,,21.6,
2021,Canada,2021A000011124,Massey Drive (Small population centre),1.106,1606,,2.45,
2021,Canada,2021A000011124,Pasadena (Small population centre),1.107,2769,,3.54,
2021,Canada,2021A000011124,Rural area,1.108,6258,,1094.98,
2021,Canada,2021A000011124,"Cornwall, Ontario (CA)",1.109,61415,,509.21,
2021,Canada,2021A000011124,Cornwall (Medium population centre),1.11,47286,,32.4,
2021,Canada,2021A000011124,Ingleside (Small population centre),1.111,1487,,1.76,
2021,Canada,2021A000011124,Long Sault (Small population centre),1.112,2154,,2.35,
2021,Canada,2021A000011124,Rural area,1.113,10488,,472.71,
2021,Canada,2021A000011124,"Courtenay, British Columbia (CA)",1.114,63282,,624.33,
2021,Canada,2021A000011124,Courtenay (Medium population centre),1.115,48917,,56.58,
2021,Canada,2021A000011124,Cumberland (Small population centre),1.116,4190,,3.91,
2021,Canada,2021A000011124,Rural area,1.117,10175,,563.84,
2021,Canada,2021A000011124,"Cowansville, Quebec (CA)",1.118,15234,,46.87,
2021,Canada,2021A000011124,Cowansville (Small population centre),1.119,13334,,16.35,
2021,Canada,2021A000011124,Rural area,1.12,1900,,30.52,
2021,Canada,2021A000011124,"Cranbrook, British Columbia (CA)",1.121,27040,,4563.87,
2021,Canada,2021A000011124,Cranbrook (Small population centre),1.122,20008,,16.32,
2021,Canada,2021A000011124,Rural area,1.123,7032,,4547.55,
2021,Canada,2021A000011124,"Dawson Creek, British Columbia (CA)",1.124,17878,,11716.8,
2021,Canada,2021A000011124,Dawson Creek (Small population centre),1.125,11706,,12.34,
2021,Canada,2021A000011124,Rural area,1.126,6172,,11704.45,
2021,Canada,2021A000011124,"Dolbeau-Mistassini, Quebec (CA)",1.127,15306,,647.75,
2021,Canada,2021A000011124,Dolbeau (Small population centre),1.128,10849,,10.49,
2021,Canada,2021A000011124,Rural area,1.129,4457,,637.27,
2021,Canada,2021A000011124,"Drummondville, Quebec (CMA)",1.13,101610,,1094.36,
2021,Canada,2021A000011124,Drummondville (Medium population centre),1.131,72089,,52.3,
2021,Canada,2021A000011124,Notre-Dame-du-Bon-Conseil (Small population centre),1.132,1149,,1.39,
2021,Canada,2021A000011124,Saint-Cyrille-de-Wendover (Small population centre),1.133,1315,,0.94,
2021,Canada,2021A000011124,Saint-Germain-de-Grantham (Small population centre),1.134,3436,,2.66,
2021,Canada,2021A000011124,Rural area,1.135,23621,,1037.07,
2021,Canada,2021A000011124,"Duncan, British Columbia (CA)",1.136,47582,,373.22,
2021,Canada,2021A000011124,Chemainus (Small population centre),1.137,4033,,5.82,
2021,Canada,2021A000011124,Cowichan Bay (Small population centre),1.138,2799,,4.47,
2021,Canada,2021A000011124,Crofton (Small population centre),1.139,1446,,2.76,
2021,Canada,2021A000011124,Duncan (Small population centre),1.14,24358,,22.75,
2021,Canada,2021A000011124,Rural area,1.141,14946,,337.42,
2021,Canada,2021A000011124,"Edmonton, Alberta (CMA)",1.142,1418118,,9416.19,
2021,Canada,2021A000011124,Edmonton (Large urban population centre),1.143,1151635,,627.2,
2021,Canada,2021A000011124,Leduc (Medium population centre),1.144,33505,,67.43,
2021,Canada,2021A000011124,Spruce Grove (Medium population centre),1.145,39348,,29.76,
2021,Canada,2021A000011124,Beaumont (Small population centre),1.146,20779,,10.4,
2021,Canada,2021A000011124,Bon Accord (Small population centre),1.147,1451,,2.13,
2021,Canada,2021A000011124,Calmar (Small population centre),1.148,1883,,1.33,
2021,Canada,2021A000011124,Cardiff (Small population centre),1.149,1033,,0.98,
2021,Canada,2021A000011124,Devon (Small population centre),1.15,6545,,14.26,
2021,Canada,2021A000011124,Fort Saskatchewan (Small population centre),1.151,26831,,21.85,
2021,Canada,2021A000011124,Gibbons (Small population centre),1.152,2989,,4.78,
2021,Canada,2021A000011124,Lancaster Park (Small population centre),1.153,1253,,0.92,
2021,Canada,2021A000011124,Legal (Small population centre),1.154,1164,,1.79,
2021,Canada,2021A000011124,Morinville (Small population centre),1.155,10385,,11.15,
2021,Canada,2021A000011124,Redwater (Small population centre),1.156,1802,,2.01,
2021,Canada,2021A000011124,Stony Plain (Small population centre),1.157,17253,,17.73,
2021,Canada,2021A000011124,Rural area,1.158,100262,,8602.5,
2021,Canada,2021A000011124,"Edmundston, New Brunswick (CA)",1.159,22144,,1582.36,
2021,Canada,2021A000011124,Edmundston (Small population centre),1.16,13125,,19.06,
2021,Canada,2021A000011124,Rural area,1.161,9019,,1563.3,
2021,Canada,2021A000011124,"Elliot Lake, Ontario (CA)",1.162,11372,,696.06,
2021,Canada,2021A000011124,Elliot Lake (Small population centre),1.163,10998,,10.27,
2021,Canada,2021A000011124,Rural area,1.164,374,,685.79,
2021,Canada,2021A000011124,"Essa, Ontario (CA)",1.165,22970,,279.92,
2021,Canada,2021A000011124,Angus - Borden CFB-BFC (Small population centre),1.166,14503,,14.19,
2021,Canada,2021A000011124,Thornton (Small population centre),1.167,1046,,1.11,
2021,Canada,2021A000011124,Rural area,1.168,7421,,264.62,
2021,Canada,2021A000011124,"Estevan, Saskatchewan (CA)",1.169,12798,,793.36,
2021,Canada,2021A000011124,Estevan (Small population centre),1.17,10629,,9.43,
2021,Canada,2021A000011124,Rural area,1.171,2169,,783.93,
2021,Canada,2021A000011124,"Fort St. John, British Columbia (CA)",1.172,28729,,617.73,
2021,Canada,2021A000011124,Fort St. John (Small population centre),1.173,21123,,14.89,
2021,Canada,2021A000011124,Rural area,1.174,7606,,602.85,
2021,Canada,2021A000011124,"Fredericton, New Brunswick (CMA)",1.175,108610,,6014.66,
2021,Canada,2021A000011124,Fredericton (Medium population centre),1.176,64614,,89.6,
2021,Canada,2021A000011124,New Maryland (Small population centre),1.177,2179,,2.7,
2021,Canada,2021A000011124,Starlight Village (Small population centre),1.178,2222,,5.27,
2021,Canada,2021A000011124,Rural area,1.179,39595,,5917.08,
2021,Canada,2021A000011124,"Gander, Newfoundland and Labrador (CA)",1.18,13414,,2412.67,
2021,Canada,2021A000011124,Gander (Small population centre),1.181,9918,,13.64,
2021,Canada,2021A000011124,Rural area,1.182,3496,,2399.03,
2021,Canada,2021A000011124,"Granby, Quebec (CA)",1.183,90833,,494.1,
2021,Canada,2021A000011124,Granby (Medium population centre),1.184,62624,,48.39,
2021,Canada,2021A000011124,Bromont (Small population centre),1.185,5345,,7.92,
2021,Canada,2021A000011124,LeBlanc (Small population centre),1.186,1186,,1.69,
2021,Canada,2021A000011124,Roxton Pond (Small population centre),1.187,2701,,3.28,
2021,Canada,2021A000011124,Rural area,1.188,18977,,432.81,
2021,Canada,2021A000011124,"Grand Falls-Windsor, Newfoundland and Labrador (CA)",1.189,13853,,54.84,
2021,Canada,2021A000011124,Grand Falls-Windsor (Small population centre),1.19,11986,,12.34,
2021,Canada,2021A000011124,Rural area,1.191,1867,,42.5,
2021,Canada,2021A000011124,"Grande Prairie, Alberta (CA)",1.192,64141,,132.71,
2021,Canada,2021A000011124,Grande Prairie (Medium population centre),1.193,63172,,49.74,
2021,Canada,2021A000011124,Rural area,1.194,969,,82.97,
2021,Canada,2021A000011124,"Greater Sudbury / Grand Sudbury, Ontario (CMA)",1.195,170605,,4187.4,
2021,Canada,2021A000011124,Sudbury (Medium population centre),1.196,92093,,75.79,
2021,Canada,2021A000011124,Azilda (Small population centre),1.197,4793,,4.91,
2021,Canada,2021A000011124,Capreol (Small population centre),1.198,2919,,2.26,
2021,Canada,2021A000011124,Chelmsford (Small population centre),1.199,6199,,5.5,
2021,Canada,2021A000011124,Coniston (Small population centre),1.2,1782,,2.25,
2021,Canada,2021A000011124,Dowling (Small population centre),1.201,1449,,1.35,
