REF_DATE,GEO,Number_of_Households
1978-06-01,Prince Edward Island,35000
1978-06-01,Quebec,2049000
1978-07-01,Alberta,662000
1978-07-01,British Columbia,921000
1978-07-01,Canada,7744000
1978-07-01,Manitoba,344000
1978-07-01,New Brunswick,204000
1978-07-01,Newfoundland and Labrador,140000
1978-07-01,Ontario,2821000
1978-07-01,Prince Edward Island,35000
1978-07-01,Quebec,2049000
1978-08-01,Alberta,662000
1978-08-01,British Columbia,921000
1978-08-01,Canada,7744000
1978-08-01,Manitoba,344000
1978-08-01,New Brunswick,204000
1978-08-01,Newfoundland and Labrador,140000
1978-08-01,Ontario,2821000
1978-08-01,Prince Edward Island,35000
1978-08-01,Quebec,2049000
1978-09-01,Alberta,662000
1978-09-01,British Columbia,921000
1978-09-01,Canada,7744000
1978-09-01,Manitoba,344000
1978-09-01,New Brunswick,204000
1978-09-01,Newfoundland and Labrador,140000
1978-09-01,Ontario,2821000
1978-09-01,Prince Edward Island,35000
1978-09-01,Quebec,2049000
1978-10-01,Alberta,662000
1978-10-01,British Columbia,921000
1978-10-01,Canada,7744000
1978-10-01,Manitoba,344000
1978-10-01,New Brunswick,204000
1978-10-01,Newfoundland and Labrador,140000
1978-10-01,Ontario,2821000
1978-10-01,Prince Edward Island,35000
1978-10-01,Quebec,2049000
1978-11-01,Alberta,662000
1978-11-01,British Columbia,921000
1978-11-01,Canada,7744000
1978-11-01,Manitoba,344000
1978-11-01,New Brunswick,204000
1978-11-01,Newfoundland and Labrador,140000
1978-11-01,Ontario,2821000
1978-11-01,Prince Edward Island,35000
1978-11-01,Quebec,2049000
1978-12-01,Alberta,662000
1978-12-01,British Columbia,921000
1978-12-01,Canada,7744000
1978-12-01,Manitoba,344000
1978-12-01,New Brunswick,204000
1978-12-01,Newfoundland and Labrador,140000
1978-12-01,Ontario,2821000
1978-12-01,Prince Edward Island,35000
1978-12-01,Quebec,2049000
1979-01-01,Alberta,701000
1979-01-01,British Columbia,955000
1979-01-01,Canada,7970000
1979-01-01,Manitoba,349000
1979-01-01,New Brunswick,208000
1979-01-01,Newfoundland and Labrador,144000
1979-01-01,Ontario,2891000
1979-01-01,Prince Edward Island,36000
1979-01-01,Quebec,2103000
1979-02-01,Alberta,701000
1979-02-01,British Columbia,955000
1979-02-01,Canada,7970000
1979-02-01,Manitoba,349000
1979-02-01,New Brunswick,208000
1979-02-01,Newfoundland and Labrador,144000
1979-02-01,Ontario,2891000
1979-02-01,Prince Edward Island,36000
1979-02-01,Quebec,2103000
1979-03-01,Alberta,701000
1979-03-01,British Columbia,955000
1979-03-01,Canada,7970000
1979-03-01,Manitoba,349000
1979-03-01,New Brunswick,208000
1979-03-01,Newfoundland and Labrador,144000
1979-03-01,Ontario,2891000
1979-03-01,Prince Edward Island,36000
1979-03-01,Quebec,2103000
1979-04-01,Alberta,701000
1979-04-01,British Columbia,955000
1979-04-01,Canada,7970000
1979-04-01,Manitoba,349000
1979-04-01,New Brunswick,208000
1979-04-01,Newfoundland and Labrador,144000
1979-04-01,Ontario,2891000
1979-04-01,Prince Edward Island,36000
1979-04-01,Quebec,2103000
1979-05-01,Alberta,701000
1979-05-01,British Columbia,955000
1979-05-01,Canada,7970000
1979-05-01,Manitoba,349000
1979-05-01,New Brunswick,208000
1979-05-01,Newfoundland and Labrador,144000
1979-05-01,Ontario,2891000
1979-05-01,Prince Edward Island,36000
1979-05-01,Quebec,2103000
1979-06-01,Alberta,701000
1979-06-01,British Columbia,955000
1979-06-01,Canada,7970000
1979-06-01,Manitoba,349000
1979-06-01,New Brunswick,208000
1979-06-01,Newfoundland and Labrador,144000
1979-06-01,Ontario,2891000
1979-06-01,Prince Edward Island,36000
1979-06-01,Quebec,2103000
1979-07-01,Alberta,701000
1979-07-01,British Columbia,955000
1979-07-01,Canada,7970000
1979-07-01,Manitoba,349000
1979-07-01,New Brunswick,208000
1979-07-01,Newfoundland and Labrador,144000
1979-07-01,Ontario,2891000
1979-07-01,Prince Edward Island,36000
1979-07-01,Quebec,2103000
1979-08-01,Alberta,701000
1979-08-01,British Columbia,955000
1979-08-01,Canada,7970000
1979-08-01,Manitoba,349000
1979-08-01,New Brunswick,208000
1979-08-01,Newfoundland and Labrador,144000
1979-08-01,Ontario,2891000
1979-08-01,Prince Edward Island,36000
1979-08-01,Quebec,2103000
1979-09-01,Alberta,701000
1979-09-01,British Columbia,955000
1979-09-01,Canada,7970000
1979-09-01,Manitoba,349000
1979-09-01,New Brunswick,208000
1979-09-01,Newfoundland and Labrador,144000
1979-09-01,Ontario,2891000
1979-09-01,Prince Edward Island,36000
1979-09-01,Quebec,2103000
1979-10-01,Alberta,701000
1979-10-01,British Columbia,955000
1979-10-01,Canada,7970000
1979-10-01,Manitoba,349000
1979-10-01,New Brunswick,208000
1979-10-01,Newfoundland and Labrador,144000
1979-10-01,Ontario,2891000
1979-10-01,Prince Edward Island,36000
1979-10-01,Quebec,2103000
1979-11-01,Alberta,701000
1979-11-01,British Columbia,955000
1979-11-01,Canada,7970000
1979-11-01,Manitoba,349000
1979-11-01,New Brunswick,208000
1979-11-01,Newfoundland and Labrador,144000
1979-11-01,Ontario,2891000
1979-11-01,Prince Edward Island,36000
1979-11-01,Quebec,2103000
1979-12-01,Alberta,701000
1979-12-01,British Columbia,955000
1979-12-01,Canada,7970000
1979-12-01,Manitoba,349000
1979-12-01,New Brunswick,208000
1979-12-01,Newfoundland and Labrador,144000
1979-12-01,Ontario,2891000
1979-12-01,Prince Edward Island,36000
1979-12-01,Quebec,2103000
1980-01-01,Alberta,739000
1980-01-01,British Columbia,990000
1980-01-01,Canada,8194000
1980-01-01,Manitoba,355000
1980-01-01,New Brunswick,213000
1980-01-01,Newfoundland and Labrador,147000
1980-01-01,Ontario,2960000
1980-01-01,Prince Edward Island,37000
1980-01-01,Quebec,2156000
1980-02-01,Alberta,739000
1980-02-01,British Columbia,990000
1980-02-01,Canada,8194000
1980-02-01,Manitoba,355000
1980-02-01,New Brunswick,213000
1980-02-01,Newfoundland and Labrador,147000
1980-02-01,Ontario,2960000
1980-02-01,Prince Edward Island,37000
1980-02-01,Quebec,2156000
1980-03-01,Alberta,739000
1980-03-01,British Columbia,990000
1980-03-01,Canada,8194000
1980-03-01,Manitoba,355000
1980-03-01,New Brunswick,213000
1980-03-01,Newfoundland and Labrador,147000
1980-03-01,Ontario,2960000
1980-03-01,Prince Edward Island,37000
1980-03-01,Quebec,2156000
1980-04-01,Alberta,739000
1980-04-01,British Columbia,990000
1980-04-01,Canada,8194000
1980-04-01,Manitoba,355000
1980-04-01,New Brunswick,213000
1980-04-01,Newfoundland and Labrador,147000
1980-04-01,Ontario,2960000
1980-04-01,Prince Edward Island,37000
1980-04-01,Quebec,2156000
1980-05-01,Alberta,739000
1980-05-01,British Columbia,990000
1980-05-01,Canada,8194000
1980-05-01,Manitoba,355000
1980-05-01,New Brunswick,213000
1980-05-01,Newfoundland and Labrador,147000
1980-05-01,Ontario,2960000
1980-05-01,Prince Edward Island,37000
1980-05-01,Quebec,2156000
1980-06-01,Alberta,739000
1980-06-01,British Columbia,990000
1980-06-01,Canada,8194000
1980-06-01,Manitoba,355000
1980-06-01,New Brunswick,213000
1980-06-01,Newfoundland and Labrador,147000
1980-06-01,Ontario,2960000
1980-06-01,Prince Edward Island,37000
1980-06-01,Quebec,2156000
1980-07-01,Alberta,739000
1980-07-01,British Columbia,990000
1980-07-01,Canada,8194000
1980-07-01,Manitoba,355000
1980-07-01,New Brunswick,213000
1980-07-01,Newfoundland and Labrador,147000
1980-07-01,Ontario,2960000
1980-07-01,Prince Edward Island,37000
1980-07-01,Quebec,2156000
1980-08-01,Alberta,739000
1980-08-01,British Columbia,990000
1980-08-01,Canada,8194000
1980-08-01,Manitoba,355000
1980-08-01,New Brunswick,213000
1980-08-01,Newfoundland and Labrador,147000
1980-08-01,Ontario,2960000
1980-08-01,Prince Edward Island,37000
1980-08-01,Quebec,2156000
1980-09-01,Alberta,739000
1980-09-01,British Columbia,990000
1980-09-01,Canada,8194000
1980-09-01,Manitoba,355000
1980-09-01,New Brunswick,213000
1980-09-01,Newfoundland and Labrador,147000
1980-09-01,Ontario,2960000
1980-09-01,Prince Edward Island,37000
1980-09-01,Quebec,2156000
1980-10-01,Alberta,739000
1980-10-01,British Columbia,990000
1980-10-01,Canada,8194000
1980-10-01,Manitoba,355000
1980-10-01,New Brunswick,213000
1980-10-01,Newfoundland and Labrador,147000
