"REF_DATE","GEO","DGUID","Index categories","Base year","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Prince Edward Island","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026925","3.5.2","22.05","","","","2"
"1971","Prince Edward Island","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026926","3.6.1","28.19","","","","2"
"1971","Prince Edward Island","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026927","3.6.2","23.06","","","","2"
"1971","Prince Edward Island","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026928","3.7.1","25.10","","","","2"
"1971","Prince Edward Island","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026929","3.7.2","22.35","","","","2"
"1971","Prince Edward Island","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026930","3.8.1","30.60","","","","2"
"1971","Prince Edward Island","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026931","3.8.2","20.85","","","","2"
"1971","Nova Scotia","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026932","4.1.1","27.54","","","","2"
"1971","Nova Scotia","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026933","4.1.2","21.95","","","","2"
"1971","Nova Scotia","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026934","4.2.1","27.74","","","","2"
"1971","Nova Scotia","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026935","4.2.2","22.15","","","","2"
"1971","Nova Scotia","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026936","4.3.1","27.84","","","","2"
"1971","Nova Scotia","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026937","4.3.2","22.18","","","","2"
"1971","Nova Scotia","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026938","4.4.1","27.02","","","","2"
"1971","Nova Scotia","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026939","4.4.2","22.08","","","","2"
"1971","Nova Scotia","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026940","4.5.1","26.18","","","","2"
"1971","Nova Scotia","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026941","4.5.2","20.62","","","","2"
"1971","Nova Scotia","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026942","4.6.1","28.19","","","","2"
"1971","Nova Scotia","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026943","4.6.2","23.06","","","","2"
"1971","Nova Scotia","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026944","4.7.1","24.29","","","","2"
"1971","Nova Scotia","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026945","4.7.2","21.85","","","","2"
