"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19042795","","","","0"
"2022","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","19396567","","","","0"
"2023","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","20006977","","","","0"
"2024","Canada","2016A000011124","Men+","All ages","Persons","249","units","0","v466669","1.2.1","20638255","","","","0"
"1971","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3288578","","","","0"
"1972","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3242222","","","","0"
"1973","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3192796","","","","0"
"1974","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3145010","","","","0"
"1975","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3103417","","","","0"
"1976","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3052980","","","","0"
"1977","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3005527","","","","0"
"1978","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2949616","","","","0"
"1979","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2894541","","","","0"
"1980","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2858616","","","","0"
"1981","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2838140","","","","0"
"1982","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2834183","","","","0"
"1983","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2833306","","","","0"
"1984","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2829834","","","","0"
"1985","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2822108","","","","0"
"1986","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2811010","","","","0"
"1987","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2832040","","","","0"
"1988","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2857754","","","","0"
"1989","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2899820","","","","0"
"1990","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2937926","","","","0"
"1991","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2969226","","","","0"
"1992","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3009679","","","","0"
"1993","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3037715","","","","0"
"1994","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3055442","","","","0"
"1995","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3062742","","","","0"
"1996","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3068463","","","","0"
"1997","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3065423","","","","0"
"1998","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3054098","","","","0"
"1999","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3032823","","","","0"
"2000","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3012990","","","","0"
"2001","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2995449","","","","0"
"2002","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2984244","","","","0"
"2003","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2967298","","","","0"
"2004","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2947190","","","","0"
"2005","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2920353","","","","0"
"2006","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2895987","","","","0"
"2007","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2885182","","","","0"
"2008","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2884198","","","","0"
"2009","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2887599","","","","0"
"2010","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2887422","","","","0"
"2011","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2887398","","","","0"
"2012","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2901475","","","","0"
"2013","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2921922","","","","0"
"2014","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2942478","","","","0"
"2015","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2959420","","","","0"
"2016","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","2993832","","","","0"
"2017","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3030452","","","","0"
