REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status"
2013,Quebec,65790.0,32319.0,98109.0
2013,Saskatchewan,10560.0,1362.0,11922.0
2014,Alberta,32631.0,6768.0,39399.0
2014,British Columbia,27561.0,8121.0,35679.0
2014,Canada,305319.0,75705.0,381024.0
2014,Manitoba,11445.0,1818.0,13263.0
2014,New Brunswick,6585.0,258.0,6843.0
2014,Newfoundland and Labrador,5220.0,270.0,5493.0
2014,Nova Scotia,9150.0,,9150.0
2014,Ontario,132021.0,25539.0,157560.0
2014,Prince Edward Island,1434.0,252.0,1686.0
2014,Quebec,66531.0,30813.0,97344.0
2014,Saskatchewan,10782.0,1431.0,12216.0
2015,Alberta,33450.0,6729.0,40182.0
2015,British Columbia,27717.0,8220.0,35940.0
2015,Canada,306411.0,75285.0,381696.0
2015,Manitoba,11640.0,1884.0,13524.0
2015,New Brunswick,6756.0,267.0,7023.0
2015,Newfoundland and Labrador,5148.0,285.0,5436.0
2015,Nova Scotia,9027.0,,9030.0
2015,Ontario,131124.0,24789.0,155910.0
2015,Prince Edward Island,1440.0,246.0,1683.0
2015,Quebec,67260.0,31035.0,98295.0
2015,Saskatchewan,10716.0,1347.0,12066.0
2016,Alberta,34269.0,6441.0,40707.0
2016,British Columbia,28056.0,8205.0,36261.0
2016,Canada,309894.0,75720.0,385614.0
2016,Manitoba,11889.0,1782.0,13671.0
2016,New Brunswick,7182.0,333.0,7515.0
2016,Newfoundland and Labrador,5052.0,291.0,5343.0
2016,Nova Scotia,9336.0,,9333.0
2016,Ontario,131271.0,25197.0,156468.0
2016,Prince Edward Island,1416.0,192.0,1608.0
2016,Quebec,68373.0,31494.0,99867.0
2016,Saskatchewan,10860.0,1272.0,12132.0
2017,Alberta,34038.0,6255.0,40296.0
2017,British Columbia,30906.0,7950.0,38856.0
2017,Canada,316320.0,75195.0,391515.0
2017,Manitoba,11934.0,1812.0,13749.0
2017,New Brunswick,7287.0,282.0,7566.0
2017,Newfoundland and Labrador,5046.0,294.0,5340.0
2017,Nova Scotia,9552.0,,9552.0
2017,Ontario,132756.0,24702.0,157458.0
2017,Prince Edward Island,1518.0,126.0,1644.0
2017,Quebec,70371.0,31914.0,102285.0
2017,Saskatchewan,10728.0,1359.0,12087.0
2018,Alberta,34947.0,6240.0,41187.0
2018,British Columbia,31620.0,8142.0,39762.0
2018,Canada,324159.0,77127.0,401286.0
2018,Manitoba,11967.0,1731.0,13692.0
2018,New Brunswick,7488.0,273.0,7761.0
2018,Newfoundland and Labrador,5079.0,285.0,5367.0
2018,Nova Scotia,9672.0,,9675.0
2018,Ontario,135228.0,24168.0,159393.0
2018,Prince Edward Island,1554.0,144.0,1695.0
2018,Quebec,73341.0,34542.0,107886.0
2018,Saskatchewan,10809.0,1338.0,12150.0
2019,Alberta,35754.0,5496.0,41253.0
2019,British Columbia,32190.0,8274.0,40464.0
2019,Canada,326043.0,76623.0,402666.0
2019,Manitoba,12042.0,1743.0,13785.0
2019,New Brunswick,7506.0,303.0,7806.0
2019,Newfoundland and Labrador,5019.0,321.0,5343.0
2019,Nova Scotia,9843.0,,9843.0
2019,Ontario,133944.0,23373.0,157317.0
2019,Prince Edward Island,1575.0,129.0,1704.0
2019,Quebec,74919.0,35340.0,110259.0
2019,Saskatchewan,10848.0,1284.0,12132.0
2020,Alberta,35655.0,4908.0,40566.0
2020,British Columbia,33129.0,7623.0,40749.0
2020,Canada,331947.0,77838.0,409785.0
2020,Manitoba,12474.0,1593.0,14064.0
2020,New Brunswick,8031.0,270.0,8304.0
2020,Newfoundland and Labrador,5271.0,327.0,5595.0
2020,Nova Scotia,9924.0,,9924.0
2020,Ontario,134910.0,24777.0,159687.0
2020,Prince Edward Island,1605.0,144.0,1749.0
2020,Quebec,77433.0,36714.0,114147.0
2020,Saskatchewan,11253.0,1074.0,12327.0
2021,Alberta,35253.0,5001.0,40251.0
2021,British Columbia,32745.0,7941.0,40689.0
2021,Canada,333285.0,76857.0,410142.0
2021,Manitoba,12372.0,1485.0,13860.0
2021,New Brunswick,8007.0,285.0,8289.0
2021,Newfoundland and Labrador,5136.0,357.0,5490.0
2021,Nova Scotia,10431.0,,10431.0
2021,Ontario,135213.0,21666.0,156876.0
2021,Prince Edward Island,1479.0,48.0,1527.0
2021,Quebec,79092.0,38520.0,117612.0
2021,Saskatchewan,10995.0,1176.0,12171.0
2022,Alberta,35826.0,4896.0,40722.0
2022,British Columbia,32868.0,8190.0,41061.0
2022,Canada,335919.0,77745.0,413667.0
2022,Manitoba,12288.0,1509.0,13800.0
2022,New Brunswick,8187.0,285.0,8472.0
2022,Newfoundland and Labrador,5217.0,279.0,5502.0
2022,Nova Scotia,11247.0,,11250.0
2022,Ontario,134481.0,21006.0,155487.0
2022,Prince Edward Island,1689.0,99.0,1788.0
2022,Quebec,80757.0,39882.0,120639.0
2022,Saskatchewan,10746.0,1185.0,11931.0
