,REF_DATE,GEO,DGUID,Sex,Birth weight,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1037,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 2,750 to 2,999 grams",Percentage of live births,Percentage,242,units,0,v21402744,7.1.15.2,9.5,,,,1
1038,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,000 to 3,249 grams",Number of live births,Number,223,units,0,v21402745,7.1.16.1,24220.0,,,,0
1039,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,000 to 3,249 grams",Percentage of live births,Percentage,242,units,0,v21402746,7.1.16.2,15.9,,,,1
1040,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,250 to 3,499 grams",Number of live births,Number,223,units,0,v21402747,7.1.17.1,29316.0,,,,0
1041,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,250 to 3,499 grams",Percentage of live births,Percentage,242,units,0,v21402748,7.1.17.2,19.2,,,,1
1042,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,500 to 3,749 grams",Number of live births,Number,223,units,0,v21402749,7.1.18.1,27193.0,,,,0
1043,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,500 to 3,749 grams",Percentage of live births,Percentage,242,units,0,v21402750,7.1.18.2,17.8,,,,1
1044,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,750 to 3,999 grams",Number of live births,Number,223,units,0,v21402751,7.1.19.1,19276.0,,,,0
1045,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 3,750 to 3,999 grams",Percentage of live births,Percentage,242,units,0,v21402752,7.1.19.2,12.6,,,,1
1046,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,000 to 4,249 grams",Number of live births,Number,223,units,0,v21402753,7.1.20.1,10692.0,,,,0
1047,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,000 to 4,249 grams",Percentage of live births,Percentage,242,units,0,v21402754,7.1.20.2,7.0,,,,1
1048,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,250 to 4,499 grams",Number of live births,Number,223,units,0,v21402755,7.1.21.1,5114.0,,,,0
1049,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,250 to 4,499 grams",Percentage of live births,Percentage,242,units,0,v21402756,7.1.21.2,3.3,,,,1
1050,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,500 grams or more",Number of live births,Number,223,units,0,v21402757,7.1.22.1,3262.0,,,,0
1051,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,500 grams or more",Percentage of live births,Percentage,242,units,0,v21402758,7.1.22.2,2.1,,,,1
1052,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,500 to 4,749 grams",Number of live births,Number,223,units,0,v21402759,7.1.23.1,2123.0,,,,0
1053,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,500 to 4,749 grams",Percentage of live births,Percentage,242,units,0,v21402760,7.1.23.2,1.4,,,,1
1054,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,750 to 4,999 grams",Number of live births,Number,223,units,0,v21402761,7.1.24.1,756.0,,,,0
1055,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 4,750 to 4,999 grams",Percentage of live births,Percentage,242,units,0,v21402762,7.1.24.2,0.5,,,,1
1056,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,000 to 5,249 grams",Number of live births,Number,223,units,0,v21402763,7.1.25.1,229.0,,,,0
1057,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,000 to 5,249 grams",Percentage of live births,Percentage,242,units,0,v21402764,7.1.25.2,0.1,,,,1
1058,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,250 to 5,499 grams",Number of live births,Number,223,units,0,v21402765,7.1.26.1,100.0,,,,0
1059,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,250 to 5,499 grams",Percentage of live births,Percentage,242,units,0,v21402766,7.1.26.2,0.1,,,,1
1060,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,500 grams or more",Number of live births,Number,223,units,0,v21402767,7.1.27.1,54.0,,,,0
1061,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, 5,500 grams or more",Percentage of live births,Percentage,242,units,0,v21402768,7.1.27.2,0.0,,,,1
1062,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, not stated",Number of live births,Number,223,units,0,v21402769,7.1.28.1,3302.0,,,,0
1063,1991,"Ontario, place of residence of mother",2016A000235,Both sexes,"Birth weight, not stated",Percentage of live births,Percentage,242,units,0,v21402770,7.1.28.2,2.2,,,,1
1064,1991,"Ontario, place of residence of mother",2016A000235,Males,"Total, birth weight",Number of live births,Number,223,units,0,v21402771,7.2.1.1,78497.0,,,,0
1065,1991,"Ontario, place of residence of mother",2016A000235,Males,"Total, birth weight",Percentage of live births,Percentage,242,units,0,v21402772,7.2.1.2,100.0,,,,1
1066,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, less than 500 grams",Number of live births,Number,223,units,0,v21402773,7.2.2.1,72.0,,,,0
1067,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, less than 500 grams",Percentage of live births,Percentage,242,units,0,v21402774,7.2.2.2,0.1,,,,1
