REF_DATE,Province,Number_of_Households
1977-08,Newfoundland and Labrador,137
1977-08,Nova Scotia,251
1977-08,Ontario,2752
1977-08,Prince Edward Island,34
1977-08,Quebec,1996
1977-08,Saskatchewan,303
1977-09,Alberta,624
1977-09,British Columbia,886
1977-09,Manitoba,338
1977-09,New Brunswick,199
1977-09,Newfoundland and Labrador,137
1977-09,Nova Scotia,251
1977-09,Ontario,2752
1977-09,Prince Edward Island,34
1977-09,Quebec,1996
1977-09,Saskatchewan,303
1977-10,Alberta,624
1977-10,British Columbia,886
1977-10,Manitoba,338
1977-10,New Brunswick,199
1977-10,Newfoundland and Labrador,137
1977-10,Nova Scotia,251
1977-10,Ontario,2752
1977-10,Prince Edward Island,34
1977-10,Quebec,1996
1977-10,Saskatchewan,303
1977-11,Alberta,624
1977-11,British Columbia,886
1977-11,Manitoba,338
1977-11,New Brunswick,199
1977-11,Newfoundland and Labrador,137
1977-11,Nova Scotia,251
1977-11,Ontario,2752
1977-11,Prince Edward Island,34
1977-11,Quebec,1996
1977-11,Saskatchewan,303
1977-12,Alberta,624
1977-12,British Columbia,886
1977-12,Manitoba,338
1977-12,New Brunswick,199
1977-12,Newfoundland and Labrador,137
1977-12,Nova Scotia,251
1977-12,Ontario,2752
1977-12,Prince Edward Island,34
1977-12,Quebec,1996
1977-12,Saskatchewan,303
1978-01,Alberta,662
1978-01,British Columbia,921
1978-01,Manitoba,344
1978-01,New Brunswick,204
1978-01,Newfoundland and Labrador,140
1978-01,Nova Scotia,257
1978-01,Ontario,2821
1978-01,Prince Edward Island,35
1978-01,Quebec,2049
1978-01,Saskatchewan,311
1978-02,Alberta,662
1978-02,British Columbia,921
1978-02,Manitoba,344
1978-02,New Brunswick,204
1978-02,Newfoundland and Labrador,140
1978-02,Nova Scotia,257
1978-02,Ontario,2821
1978-02,Prince Edward Island,35
1978-02,Quebec,2049
1978-02,Saskatchewan,311
1978-03,Alberta,662
1978-03,British Columbia,921
1978-03,Manitoba,344
1978-03,New Brunswick,204
1978-03,Newfoundland and Labrador,140
1978-03,Nova Scotia,257
1978-03,Ontario,2821
1978-03,Prince Edward Island,35
1978-03,Quebec,2049
1978-03,Saskatchewan,311
1978-04,Alberta,662
1978-04,British Columbia,921
1978-04,Manitoba,344
1978-04,New Brunswick,204
1978-04,Newfoundland and Labrador,140
1978-04,Nova Scotia,257
1978-04,Ontario,2821
1978-04,Prince Edward Island,35
1978-04,Quebec,2049
1978-04,Saskatchewan,311
1978-05,Alberta,662
1978-05,British Columbia,921
1978-05,Manitoba,344
1978-05,New Brunswick,204
1978-05,Newfoundland and Labrador,140
1978-05,Nova Scotia,257
1978-05,Ontario,2821
1978-05,Prince Edward Island,35
1978-05,Quebec,2049
1978-05,Saskatchewan,311
1978-06,Alberta,662
1978-06,British Columbia,921
1978-06,Manitoba,344
1978-06,New Brunswick,204
1978-06,Newfoundland and Labrador,140
1978-06,Nova Scotia,257
1978-06,Ontario,2821
1978-06,Prince Edward Island,35
1978-06,Quebec,2049
1978-06,Saskatchewan,311
1978-07,Alberta,662
1978-07,British Columbia,921
1978-07,Manitoba,344
1978-07,New Brunswick,204
1978-07,Newfoundland and Labrador,140
1978-07,Nova Scotia,257
1978-07,Ontario,2821
1978-07,Prince Edward Island,35
1978-07,Quebec,2049
1978-07,Saskatchewan,311
1978-08,Alberta,662
1978-08,British Columbia,921
1978-08,Manitoba,344
1978-08,New Brunswick,204
1978-08,Newfoundland and Labrador,140
1978-08,Nova Scotia,257
1978-08,Ontario,2821
1978-08,Prince Edward Island,35
1978-08,Quebec,2049
1978-08,Saskatchewan,311
1978-09,Alberta,662
1978-09,British Columbia,921
1978-09,Manitoba,344
1978-09,New Brunswick,204
1978-09,Newfoundland and Labrador,140
1978-09,Nova Scotia,257
1978-09,Ontario,2821
1978-09,Prince Edward Island,35
1978-09,Quebec,2049
1978-09,Saskatchewan,311
1978-10,Alberta,662
1978-10,British Columbia,921
1978-10,Manitoba,344
1978-10,New Brunswick,204
1978-10,Newfoundland and Labrador,140
1978-10,Nova Scotia,257
1978-10,Ontario,2821
1978-10,Prince Edward Island,35
1978-10,Quebec,2049
1978-10,Saskatchewan,311
1978-11,Alberta,662
1978-11,British Columbia,921
1978-11,Manitoba,344
1978-11,New Brunswick,204
1978-11,Newfoundland and Labrador,140
1978-11,Nova Scotia,257
1978-11,Ontario,2821
1978-11,Prince Edward Island,35
1978-11,Quebec,2049
1978-11,Saskatchewan,311
1978-12,Alberta,662
1978-12,British Columbia,921
1978-12,Manitoba,344
1978-12,New Brunswick,204
1978-12,Newfoundland and Labrador,140
1978-12,Nova Scotia,257
1978-12,Ontario,2821
1978-12,Prince Edward Island,35
1978-12,Quebec,2049
1978-12,Saskatchewan,311
1979-01,Alberta,701
1979-01,British Columbia,955
1979-01,Manitoba,349
1979-01,New Brunswick,208
1979-01,Newfoundland and Labrador,144
1979-01,Nova Scotia,264
1979-01,Ontario,2891
1979-01,Prince Edward Island,36
1979-01,Quebec,2103
1979-01,Saskatchewan,319
1979-02,Alberta,701
1979-02,British Columbia,955
1979-02,Manitoba,349
1979-02,New Brunswick,208
1979-02,Newfoundland and Labrador,144
1979-02,Nova Scotia,264
1979-02,Ontario,2891
1979-02,Prince Edward Island,36
1979-02,Quebec,2103
1979-02,Saskatchewan,319
1979-03,Alberta,701
1979-03,British Columbia,955
1979-03,Manitoba,349
1979-03,New Brunswick,208
1979-03,Newfoundland and Labrador,144
1979-03,Nova Scotia,264
1979-03,Ontario,2891
1979-03,Prince Edward Island,36
1979-03,Quebec,2103
1979-03,Saskatchewan,319
1979-04,Alberta,701
1979-04,British Columbia,955
1979-04,Manitoba,349
1979-04,New Brunswick,208
1979-04,Newfoundland and Labrador,144
1979-04,Nova Scotia,264
1979-04,Ontario,2891
1979-04,Prince Edward Island,36
1979-04,Quebec,2103
1979-04,Saskatchewan,319
1979-05,Alberta,701
1979-05,British Columbia,955
1979-05,Manitoba,349
1979-05,New Brunswick,208
1979-05,Newfoundland and Labrador,144
1979-05,Nova Scotia,264
1979-05,Ontario,2891
1979-05,Prince Edward Island,36
1979-05,Quebec,2103
1979-05,Saskatchewan,319
1979-06,Alberta,701
1979-06,British Columbia,955
1979-06,Manitoba,349
1979-06,New Brunswick,208
1979-06,Newfoundland and Labrador,144
1979-06,Nova Scotia,264
1979-06,Ontario,2891
1979-06,Prince Edward Island,36
1979-06,Quebec,2103
1979-06,Saskatchewan,319
1979-07,Alberta,701
1979-07,British Columbia,955
1979-07,Manitoba,349
1979-07,New Brunswick,208
