REF_DATE,Province,Number_of_Households
1990-05-31,Nova Scotia,324
1990-05-31,Ontario,3667
1990-05-31,Prince Edward Island,44
1990-05-31,Quebec,2642
1990-05-31,Saskatchewan,367
1990-06-30,Alberta,913
1990-06-30,British Columbia,1248
1990-06-30,Manitoba,407
1990-06-30,New Brunswick,256
1990-06-30,Newfoundland and Labrador,175
1990-06-30,Nova Scotia,324
1990-06-30,Ontario,3667
1990-06-30,Prince Edward Island,44
1990-06-30,Quebec,2642
1990-06-30,Saskatchewan,367
1990-07-31,Alberta,913
1990-07-31,British Columbia,1248
1990-07-31,Manitoba,407
1990-07-31,New Brunswick,256
1990-07-31,Newfoundland and Labrador,175
1990-07-31,Nova Scotia,324
1990-07-31,Ontario,3667
1990-07-31,Prince Edward Island,44
1990-07-31,Quebec,2642
1990-07-31,Saskatchewan,367
1990-08-31,Alberta,913
1990-08-31,British Columbia,1248
1990-08-31,Manitoba,407
1990-08-31,New Brunswick,256
1990-08-31,Newfoundland and Labrador,175
1990-08-31,Nova Scotia,324
1990-08-31,Ontario,3667
1990-08-31,Prince Edward Island,44
1990-08-31,Quebec,2642
1990-08-31,Saskatchewan,367
1990-09-30,Alberta,913
1990-09-30,British Columbia,1248
1990-09-30,Manitoba,407
1990-09-30,New Brunswick,256
1990-09-30,Newfoundland and Labrador,175
1990-09-30,Nova Scotia,324
1990-09-30,Ontario,3667
1990-09-30,Prince Edward Island,44
1990-09-30,Quebec,2642
1990-09-30,Saskatchewan,367
1990-10-31,Alberta,913
1990-10-31,British Columbia,1248
1990-10-31,Manitoba,407
1990-10-31,New Brunswick,256
1990-10-31,Newfoundland and Labrador,175
1990-10-31,Nova Scotia,324
1990-10-31,Ontario,3667
1990-10-31,Prince Edward Island,44
1990-10-31,Quebec,2642
1990-10-31,Saskatchewan,367
1990-11-30,Alberta,913
1990-11-30,British Columbia,1248
1990-11-30,Manitoba,407
1990-11-30,New Brunswick,256
1990-11-30,Newfoundland and Labrador,175
1990-11-30,Nova Scotia,324
1990-11-30,Ontario,3667
1990-11-30,Prince Edward Island,44
1990-11-30,Quebec,2642
1990-11-30,Saskatchewan,367
1990-12-31,Alberta,913
1990-12-31,British Columbia,1248
1990-12-31,Manitoba,407
1990-12-31,New Brunswick,256
1990-12-31,Newfoundland and Labrador,175
1990-12-31,Nova Scotia,324
1990-12-31,Ontario,3667
1990-12-31,Prince Edward Island,44
1990-12-31,Quebec,2642
1990-12-31,Saskatchewan,367
1991-01-31,Alberta,926
1991-01-31,British Columbia,1277
1991-01-31,Manitoba,411
1991-01-31,New Brunswick,261
1991-01-31,Newfoundland and Labrador,178
1991-01-31,Nova Scotia,330
1991-01-31,Ontario,3752
1991-01-31,Prince Edward Island,45
1991-01-31,Quebec,2697
1991-01-31,Saskatchewan,368
1991-02-28,Alberta,926
1991-02-28,British Columbia,1277
1991-02-28,Manitoba,411
1991-02-28,New Brunswick,261
1991-02-28,Newfoundland and Labrador,178
1991-02-28,Nova Scotia,330
1991-02-28,Ontario,3752
1991-02-28,Prince Edward Island,45
1991-02-28,Quebec,2697
1991-02-28,Saskatchewan,368
1991-03-31,Alberta,926
1991-03-31,British Columbia,1277
1991-03-31,Manitoba,411
1991-03-31,New Brunswick,261
1991-03-31,Newfoundland and Labrador,178
1991-03-31,Nova Scotia,330
1991-03-31,Ontario,3752
1991-03-31,Prince Edward Island,45
1991-03-31,Quebec,2697
1991-03-31,Saskatchewan,368
1991-04-30,Alberta,926
1991-04-30,British Columbia,1277
1991-04-30,Manitoba,411
1991-04-30,New Brunswick,261
1991-04-30,Newfoundland and Labrador,178
1991-04-30,Nova Scotia,330
1991-04-30,Ontario,3752
1991-04-30,Prince Edward Island,45
1991-04-30,Quebec,2697
1991-04-30,Saskatchewan,368
1991-05-31,Alberta,926
1991-05-31,British Columbia,1277
1991-05-31,Manitoba,411
1991-05-31,New Brunswick,261
1991-05-31,Newfoundland and Labrador,178
1991-05-31,Nova Scotia,330
1991-05-31,Ontario,3752
1991-05-31,Prince Edward Island,45
1991-05-31,Quebec,2697
1991-05-31,Saskatchewan,368
1991-06-30,Alberta,926
1991-06-30,British Columbia,1277
1991-06-30,Manitoba,411
1991-06-30,New Brunswick,261
1991-06-30,Newfoundland and Labrador,178
1991-06-30,Nova Scotia,330
1991-06-30,Ontario,3752
1991-06-30,Prince Edward Island,45
1991-06-30,Quebec,2697
1991-06-30,Saskatchewan,368
1991-07-31,Alberta,926
1991-07-31,British Columbia,1277
1991-07-31,Manitoba,411
1991-07-31,New Brunswick,261
1991-07-31,Newfoundland and Labrador,178
1991-07-31,Nova Scotia,330
1991-07-31,Ontario,3752
1991-07-31,Prince Edward Island,45
1991-07-31,Quebec,2697
1991-07-31,Saskatchewan,368
1991-08-31,Alberta,926
1991-08-31,British Columbia,1277
1991-08-31,Manitoba,411
1991-08-31,New Brunswick,261
1991-08-31,Newfoundland and Labrador,178
1991-08-31,Nova Scotia,330
1991-08-31,Ontario,3752
1991-08-31,Prince Edward Island,45
1991-08-31,Quebec,2697
1991-08-31,Saskatchewan,368
1991-09-30,Alberta,926
1991-09-30,British Columbia,1277
1991-09-30,Manitoba,411
1991-09-30,New Brunswick,261
1991-09-30,Newfoundland and Labrador,178
1991-09-30,Nova Scotia,330
1991-09-30,Ontario,3752
1991-09-30,Prince Edward Island,45
1991-09-30,Quebec,2697
1991-09-30,Saskatchewan,368
1991-10-31,Alberta,926
1991-10-31,British Columbia,1277
1991-10-31,Manitoba,411
1991-10-31,New Brunswick,261
1991-10-31,Newfoundland and Labrador,178
1991-10-31,Nova Scotia,330
1991-10-31,Ontario,3752
1991-10-31,Prince Edward Island,45
1991-10-31,Quebec,2697
1991-10-31,Saskatchewan,368
1991-11-30,Alberta,926
1991-11-30,British Columbia,1277
1991-11-30,Manitoba,411
1991-11-30,New Brunswick,261
1991-11-30,Newfoundland and Labrador,178
1991-11-30,Nova Scotia,330
1991-11-30,Ontario,3752
1991-11-30,Prince Edward Island,45
1991-11-30,Quebec,2697
1991-11-30,Saskatchewan,368
1991-12-31,Alberta,926
1991-12-31,British Columbia,1277
1991-12-31,Manitoba,411
1991-12-31,New Brunswick,261
1991-12-31,Newfoundland and Labrador,178
1991-12-31,Nova Scotia,330
1991-12-31,Ontario,3752
1991-12-31,Prince Edward Island,45
1991-12-31,Quebec,2697
1991-12-31,Saskatchewan,368
1992-01-31,Alberta,942
1992-01-31,British Columbia,1318
1992-01-31,Manitoba,414
1992-01-31,New Brunswick,264
1992-01-31,Newfoundland and Labrador,180
1992-01-31,Nova Scotia,334
1992-01-31,Ontario,3810
1992-01-31,Prince Edward Island,46
1992-01-31,Quebec,2731
1992-01-31,Saskatchewan,371
1992-02-29,Alberta,942
1992-02-29,British Columbia,1318
1992-02-29,Manitoba,414
1992-02-29,New Brunswick,264
1992-02-29,Newfoundland and Labrador,180
1992-02-29,Nova Scotia,334
1992-02-29,Ontario,3810
1992-02-29,Prince Edward Island,46
1992-02-29,Quebec,2731
1992-02-29,Saskatchewan,371
1992-03-31,Alberta,942
1992-03-31,British Columbia,1318
1992-03-31,Manitoba,414
1992-03-31,New Brunswick,264
1992-03-31,Newfoundland and Labrador,180
1992-03-31,Nova Scotia,334
1992-03-31,Ontario,3810
1992-03-31,Prince Edward Island,46
1992-03-31,Quebec,2731
1992-03-31,Saskatchewan,371
1992-04-30,Alberta,942
1992-04-30,British Columbia,1318
1992-04-30,Manitoba,414
1992-04-30,New Brunswick,264
1992-04-30,Newfoundland and Labrador,180
1992-04-30,Nova Scotia,334
1992-04-30,Ontario,3810
1992-04-30,Prince Edward Island,46
1992-04-30,Quebec,2731
1992-04-30,Saskatchewan,371
1992-05-31,Alberta,942
1992-05-31,British Columbia,1318
1992-05-31,Manitoba,414
1992-05-31,New Brunswick,264
1992-05-31,Newfoundland and Labrador,180
1992-05-31,Nova Scotia,334
1992-05-31,Ontario,3810
1992-05-31,Prince Edward Island,46
1992-05-31,Quebec,2731
1992-05-31,Saskatchewan,371
1992-06-30,Alberta,942
1992-06-30,British Columbia,1318
1992-06-30,Manitoba,414
1992-06-30,New Brunswick,264
1992-06-30,Newfoundland and Labrador,180
1992-06-30,Nova Scotia,334
1992-06-30,Ontario,3810
1992-06-30,Prince Edward Island,46
1992-06-30,Quebec,2731
1992-06-30,Saskatchewan,371
1992-07-31,Alberta,942
1992-07-31,British Columbia,1318
1992-07-31,Manitoba,414
1992-07-31,New Brunswick,264
1992-07-31,Newfoundland and Labrador,180
1992-07-31,Nova Scotia,334
1992-07-31,Ontario,3810
1992-07-31,Prince Edward Island,46
1992-07-31,Quebec,2731
1992-07-31,Saskatchewan,371
1992-08-31,Alberta,942
1992-08-31,British Columbia,1318
1992-08-31,Manitoba,414
1992-08-31,New Brunswick,264
1992-08-31,Newfoundland and Labrador,180
1992-08-31,Nova Scotia,334
1992-08-31,Ontario,3810
1992-08-31,Prince Edward Island,46
1992-08-31,Quebec,2731
1992-08-31,Saskatchewan,371
1992-09-30,Alberta,942
1992-09-30,British Columbia,1318
1992-09-30,Manitoba,414
1992-09-30,New Brunswick,264
1992-09-30,Newfoundland and Labrador,180
1992-09-30,Nova Scotia,334
1992-09-30,Ontario,3810
1992-09-30,Prince Edward Island,46
1992-09-30,Quebec,2731
1992-09-30,Saskatchewan,371
1992-10-31,Alberta,942
1992-10-31,British Columbia,1318
1992-10-31,Manitoba,414
1992-10-31,New Brunswick,264
1992-10-31,Newfoundland and Labrador,180
1992-10-31,Nova Scotia,334
1992-10-31,Ontario,3810
1992-10-31,Prince Edward Island,46
1992-10-31,Quebec,2731
1992-10-31,Saskatchewan,371
1992-11-30,Alberta,942
1992-11-30,British Columbia,1318
1992-11-30,Manitoba,414
1992-11-30,New Brunswick,264
1992-11-30,Newfoundland and Labrador,180
1992-11-30,Nova Scotia,334
1992-11-30,Ontario,3810
1992-11-30,Prince Edward Island,46
1992-11-30,Quebec,2731
1992-11-30,Saskatchewan,371
1992-12-31,Alberta,942
1992-12-31,British Columbia,1318
1992-12-31,Manitoba,414
1992-12-31,New Brunswick,264
1992-12-31,Newfoundland and Labrador,180
1992-12-31,Nova Scotia,334
1992-12-31,Ontario,3810
1992-12-31,Prince Edward Island,46
1992-12-31,Quebec,2731
1992-12-31,Saskatchewan,371
1993-01-31,Alberta,959
1993-01-31,British Columbia,1359
1993-01-31,Manitoba,417
1993-01-31,New Brunswick,267
1993-01-31,Newfoundland and Labrador,182
1993-01-31,Nova Scotia,338
1993-01-31,Ontario,3869
1993-01-31,Prince Edward Island,46
1993-01-31,Quebec,2765
1993-01-31,Saskatchewan,374
1993-02-28,Alberta,959
1993-02-28,British Columbia,1359
1993-02-28,Manitoba,417
1993-02-28,New Brunswick,267
1993-02-28,Newfoundland and Labrador,182
1993-02-28,Nova Scotia,338
1993-02-28,Ontario,3869
1993-02-28,Prince Edward Island,46
1993-02-28,Quebec,2765
1993-02-28,Saskatchewan,374
1993-03-31,Alberta,959
1993-03-31,British Columbia,1359
1993-03-31,Manitoba,417
1993-03-31,New Brunswick,267
1993-03-31,Newfoundland and Labrador,182
1993-03-31,Nova Scotia,338
1993-03-31,Ontario,3869
1993-03-31,Prince Edward Island,46
1993-03-31,Quebec,2765
1993-03-31,Saskatchewan,374
1993-04-30,Alberta,959
1993-04-30,British Columbia,1359
1993-04-30,Manitoba,417
1993-04-30,New Brunswick,267
1993-04-30,Newfoundland and Labrador,182
1993-04-30,Nova Scotia,338
1993-04-30,Ontario,3869
1993-04-30,Prince Edward Island,46
1993-04-30,Quebec,2765
1993-04-30,Saskatchewan,374
1993-05-31,Alberta,959
1993-05-31,British Columbia,1359
1993-05-31,Manitoba,417
1993-05-31,New Brunswick,267
1993-05-31,Newfoundland and Labrador,182
1993-05-31,Nova Scotia,338
1993-05-31,Ontario,3869
1993-05-31,Prince Edward Island,46
1993-05-31,Quebec,2765
1993-05-31,Saskatchewan,374
1993-06-30,Alberta,959
1993-06-30,British Columbia,1359
1993-06-30,Manitoba,417
1993-06-30,New Brunswick,267
1993-06-30,Newfoundland and Labrador,182
1993-06-30,Nova Scotia,338
1993-06-30,Ontario,3869
1993-06-30,Prince Edward Island,46
1993-06-30,Quebec,2765
1993-06-30,Saskatchewan,374
1993-07-31,Alberta,959
1993-07-31,British Columbia,1359
1993-07-31,Manitoba,417
1993-07-31,New Brunswick,267
1993-07-31,Newfoundland and Labrador,182
1993-07-31,Nova Scotia,338
1993-07-31,Ontario,3869
1993-07-31,Prince Edward Island,46
1993-07-31,Quebec,2765
1993-07-31,Saskatchewan,374
1993-08-31,Alberta,959
1993-08-31,British Columbia,1359
1993-08-31,Manitoba,417
1993-08-31,New Brunswick,267
1993-08-31,Newfoundland and Labrador,182
1993-08-31,Nova Scotia,338
1993-08-31,Ontario,3869
1993-08-31,Prince Edward Island,46
1993-08-31,Quebec,2765
1993-08-31,Saskatchewan,374
1993-09-30,Alberta,959
1993-09-30,British Columbia,1359
1993-09-30,Manitoba,417
1993-09-30,New Brunswick,267
1993-09-30,Newfoundland and Labrador,182
1993-09-30,Nova Scotia,338
1993-09-30,Ontario,3869
1993-09-30,Prince Edward Island,46
1993-09-30,Quebec,2765
1993-09-30,Saskatchewan,374
1993-10-31,Alberta,959
1993-10-31,British Columbia,1359
1993-10-31,Manitoba,417
1993-10-31,New Brunswick,267
1993-10-31,Newfoundland and Labrador,182
1993-10-31,Nova Scotia,338
1993-10-31,Ontario,3869
1993-10-31,Prince Edward Island,46
1993-10-31,Quebec,2765
1993-10-31,Saskatchewan,374
1993-11-30,Alberta,959
1993-11-30,British Columbia,1359
1993-11-30,Manitoba,417
1993-11-30,New Brunswick,267
1993-11-30,Newfoundland and Labrador,182
1993-11-30,Nova Scotia,338
1993-11-30,Ontario,3869
1993-11-30,Prince Edward Island,46
1993-11-30,Quebec,2765
1993-11-30,Saskatchewan,374
1993-12-31,Alberta,959
1993-12-31,British Columbia,1359
1993-12-31,Manitoba,417
1993-12-31,New Brunswick,267
1993-12-31,Newfoundland and Labrador,182
1993-12-31,Nova Scotia,338
1993-12-31,Ontario,3869
1993-12-31,Prince Edward Island,46
1993-12-31,Quebec,2765
1993-12-31,Saskatchewan,374
1994-01-31,Alberta,975
1994-01-31,British Columbia,1401
1994-01-31,Manitoba,421
1994-01-31,New Brunswick,271
1994-01-31,Newfoundland and Labrador,184
1994-01-31,Nova Scotia,343
1994-01-31,Ontario,3927
1994-01-31,Prince Edward Island,47
1994-01-31,Quebec,2800
1994-01-31,Saskatchewan,378
1994-02-28,Alberta,975
1994-02-28,British Columbia,1401
1994-02-28,Manitoba,421
1994-02-28,New Brunswick,271
1994-02-28,Newfoundland and Labrador,184
1994-02-28,Nova Scotia,343
1994-02-28,Ontario,3927
1994-02-28,Prince Edward Island,47
1994-02-28,Quebec,2800
1994-02-28,Saskatchewan,378
1994-03-31,Alberta,975
1994-03-31,British Columbia,1401
1994-03-31,Manitoba,421
1994-03-31,New Brunswick,271
1994-03-31,Newfoundland and Labrador,184
1994-03-31,Nova Scotia,343
1994-03-31,Ontario,3927
1994-03-31,Prince Edward Island,47
1994-03-31,Quebec,2800
1994-03-31,Saskatchewan,378
1994-04-30,Alberta,975
1994-04-30,British Columbia,1401
1994-04-30,Manitoba,421
1994-04-30,New Brunswick,271
1994-04-30,Newfoundland and Labrador,184
1994-04-30,Nova Scotia,343
1994-04-30,Ontario,3927
1994-04-30,Prince Edward Island,47
1994-04-30,Quebec,2800
1994-04-30,Saskatchewan,378
1994-05-31,Alberta,975
1994-05-31,British Columbia,1401
1994-05-31,Manitoba,421
1994-05-31,New Brunswick,271
1994-05-31,Newfoundland and Labrador,184
1994-05-31,Nova Scotia,343
1994-05-31,Ontario,3927
1994-05-31,Prince Edward Island,47
1994-05-31,Quebec,2800
1994-05-31,Saskatchewan,378
1994-06-30,Alberta,975
1994-06-30,British Columbia,1401
1994-06-30,Manitoba,421
1994-06-30,New Brunswick,271
1994-06-30,Newfoundland and Labrador,184
1994-06-30,Nova Scotia,343
1994-06-30,Ontario,3927
1994-06-30,Prince Edward Island,47
1994-06-30,Quebec,2800
1994-06-30,Saskatchewan,378
1994-07-31,Alberta,975
1994-07-31,British Columbia,1401
1994-07-31,Manitoba,421
1994-07-31,New Brunswick,271
1994-07-31,Newfoundland and Labrador,184
1994-07-31,Nova Scotia,343
1994-07-31,Ontario,3927
1994-07-31,Prince Edward Island,47
1994-07-31,Quebec,2800
1994-07-31,Saskatchewan,378
1994-08-31,Alberta,975
1994-08-31,British Columbia,1401
1994-08-31,Manitoba,421
1994-08-31,New Brunswick,271
1994-08-31,Newfoundland and Labrador,184
1994-08-31,Nova Scotia,343
1994-08-31,Ontario,3927
1994-08-31,Prince Edward Island,47
1994-08-31,Quebec,2800
1994-08-31,Saskatchewan,378
1994-09-30,Alberta,975
1994-09-30,British Columbia,1401
1994-09-30,Manitoba,421
1994-09-30,New Brunswick,271
1994-09-30,Newfoundland and Labrador,184
1994-09-30,Nova Scotia,343
1994-09-30,Ontario,3927
1994-09-30,Prince Edward Island,47
1994-09-30,Quebec,2800
1994-09-30,Saskatchewan,378
1994-10-31,Alberta,975
1994-10-31,British Columbia,1401
1994-10-31,Manitoba,421
1994-10-31,New Brunswick,271
1994-10-31,Newfoundland and Labrador,184
1994-10-31,Nova Scotia,343
1994-10-31,Ontario,3927
1994-10-31,Prince Edward Island,47
1994-10-31,Quebec,2800
1994-10-31,Saskatchewan,378
1994-11-30,Alberta,975
1994-11-30,British Columbia,1401
1994-11-30,Manitoba,421
1994-11-30,New Brunswick,271
1994-11-30,Newfoundland and Labrador,184
1994-11-30,Nova Scotia,343
1994-11-30,Ontario,3927
1994-11-30,Prince Edward Island,47
1994-11-30,Quebec,2800
1994-11-30,Saskatchewan,378
1994-12-31,Alberta,975
1994-12-31,British Columbia,1401
1994-12-31,Manitoba,421
1994-12-31,New Brunswick,271
1994-12-31,Newfoundland and Labrador,184
1994-12-31,Nova Scotia,343
1994-12-31,Ontario,3927
1994-12-31,Prince Edward Island,47
1994-12-31,Quebec,2800
1994-12-31,Saskatchewan,378
1995-01-31,Alberta,992
1995-01-31,British Columbia,1442
1995-01-31,Manitoba,424
1995-01-31,New Brunswick,274
1995-01-31,Newfoundland and Labrador,186
1995-01-31,Nova Scotia,347
1995-01-31,Ontario,3986
1995-01-31,Prince Edward Island,47
1995-01-31,Quebec,2834
1995-01-31,Saskatchewan,381
1995-02-28,Alberta,992
1995-02-28,British Columbia,1442
1995-02-28,Manitoba,424
1995-02-28,New Brunswick,274
1995-02-28,Newfoundland and Labrador,186
1995-02-28,Nova Scotia,347
1995-02-28,Ontario,3986
1995-02-28,Prince Edward Island,47
1995-02-28,Quebec,2834
1995-02-28,Saskatchewan,381
1995-03-31,Alberta,992
1995-03-31,British Columbia,1442
1995-03-31,Manitoba,424
1995-03-31,New Brunswick,274
1995-03-31,Newfoundland and Labrador,186
1995-03-31,Nova Scotia,347
1995-03-31,Ontario,3986
1995-03-31,Prince Edward Island,47
1995-03-31,Quebec,2834
1995-03-31,Saskatchewan,381
1995-04-30,Alberta,992
1995-04-30,British Columbia,1442
1995-04-30,Manitoba,424
1995-04-30,New Brunswick,274
1995-04-30,Newfoundland and Labrador,186
1995-04-30,Nova Scotia,347
1995-04-30,Ontario,3986
1995-04-30,Prince Edward Island,47
1995-04-30,Quebec,2834
1995-04-30,Saskatchewan,381
1995-05-31,Alberta,992
1995-05-31,British Columbia,1442
1995-05-31,Manitoba,424
1995-05-31,New Brunswick,274
1995-05-31,Newfoundland and Labrador,186
1995-05-31,Nova Scotia,347
1995-05-31,Ontario,3986
1995-05-31,Prince Edward Island,47
1995-05-31,Quebec,2834
1995-05-31,Saskatchewan,381
1995-06-30,Alberta,992
1995-06-30,British Columbia,1442
1995-06-30,Manitoba,424
1995-06-30,New Brunswick,274
1995-06-30,Newfoundland and Labrador,186
1995-06-30,Nova Scotia,347
1995-06-30,Ontario,3986
1995-06-30,Prince Edward Island,47
1995-06-30,Quebec,2834
1995-06-30,Saskatchewan,381
1995-07-31,Alberta,992
1995-07-31,British Columbia,1442
1995-07-31,Manitoba,424
1995-07-31,New Brunswick,274
1995-07-31,Newfoundland and Labrador,186
1995-07-31,Nova Scotia,347
1995-07-31,Ontario,3986
1995-07-31,Prince Edward Island,47
1995-07-31,Quebec,2834
1995-07-31,Saskatchewan,381
1995-08-31,Alberta,992
1995-08-31,British Columbia,1442
1995-08-31,Manitoba,424
1995-08-31,New Brunswick,274
1995-08-31,Newfoundland and Labrador,186
1995-08-31,Nova Scotia,347
1995-08-31,Ontario,3986
1995-08-31,Prince Edward Island,47
1995-08-31,Quebec,2834
1995-08-31,Saskatchewan,381
1995-09-30,Alberta,992
1995-09-30,British Columbia,1442
1995-09-30,Manitoba,424
1995-09-30,New Brunswick,274
1995-09-30,Newfoundland and Labrador,186
1995-09-30,Nova Scotia,347
1995-09-30,Ontario,3986
1995-09-30,Prince Edward Island,47
1995-09-30,Quebec,2834
1995-09-30,Saskatchewan,381
1995-10-31,Alberta,992
1995-10-31,British Columbia,1442
1995-10-31,Manitoba,424
1995-10-31,New Brunswick,274
1995-10-31,Newfoundland and Labrador,186
1995-10-31,Nova Scotia,347
1995-10-31,Ontario,3986
1995-10-31,Prince Edward Island,47
1995-10-31,Quebec,2834
1995-10-31,Saskatchewan,381
1995-11-30,Alberta,992
1995-11-30,British Columbia,1442
1995-11-30,Manitoba,424
1995-11-30,New Brunswick,274
1995-11-30,Newfoundland and Labrador,186
1995-11-30,Nova Scotia,347
1995-11-30,Ontario,3986
1995-11-30,Prince Edward Island,47
1995-11-30,Quebec,2834
1995-11-30,Saskatchewan,381
1995-12-31,Alberta,992
1995-12-31,British Columbia,1442
1995-12-31,Manitoba,424
1995-12-31,New Brunswick,274
1995-12-31,Newfoundland and Labrador,186
1995-12-31,Nova Scotia,347
1995-12-31,Ontario,3986
1995-12-31,Prince Edward Island,47
1995-12-31,Quebec,2834
1995-12-31,Saskatchewan,381
1996-01-31,Alberta,1008
1996-01-31,British Columbia,1483
1996-01-31,Manitoba,427
1996-01-31,New Brunswick,277
1996-01-31,Newfoundland and Labrador,188
1996-01-31,Nova Scotia,351
1996-01-31,Ontario,4044
1996-01-31,Prince Edward Island,48
1996-01-31,Quebec,2868
1996-01-31,Saskatchewan,384
1996-02-29,Alberta,1008
1996-02-29,British Columbia,1483
1996-02-29,Manitoba,427
1996-02-29,New Brunswick,277
1996-02-29,Newfoundland and Labrador,188
1996-02-29,Nova Scotia,351
1996-02-29,Ontario,4044
1996-02-29,Prince Edward Island,48
1996-02-29,Quebec,2868
1996-02-29,Saskatchewan,384
1996-03-31,Alberta,1008
1996-03-31,British Columbia,1483
1996-03-31,Manitoba,427
1996-03-31,New Brunswick,277
1996-03-31,Newfoundland and Labrador,188
1996-03-31,Nova Scotia,351
1996-03-31,Ontario,4044
1996-03-31,Prince Edward Island,48
1996-03-31,Quebec,2868
1996-03-31,Saskatchewan,384
1996-04-30,Alberta,1008
1996-04-30,British Columbia,1483
1996-04-30,Manitoba,427
1996-04-30,New Brunswick,277
1996-04-30,Newfoundland and Labrador,188
1996-04-30,Nova Scotia,351
1996-04-30,Ontario,4044
1996-04-30,Prince Edward Island,48
1996-04-30,Quebec,2868
1996-04-30,Saskatchewan,384
1996-05-31,Alberta,1008
1996-05-31,British Columbia,1483
1996-05-31,Manitoba,427
1996-05-31,New Brunswick,277
1996-05-31,Newfoundland and Labrador,188
1996-05-31,Nova Scotia,351
1996-05-31,Ontario,4044
1996-05-31,Prince Edward Island,48
1996-05-31,Quebec,2868
1996-05-31,Saskatchewan,384
1996-06-30,Alberta,1008
1996-06-30,British Columbia,1483
1996-06-30,Manitoba,427
1996-06-30,New Brunswick,277
1996-06-30,Newfoundland and Labrador,188
1996-06-30,Nova Scotia,351
1996-06-30,Ontario,4044
1996-06-30,Prince Edward Island,48
1996-06-30,Quebec,2868
1996-06-30,Saskatchewan,384
1996-07-31,Alberta,1008
1996-07-31,British Columbia,1483
1996-07-31,Manitoba,427
1996-07-31,New Brunswick,277
1996-07-31,Newfoundland and Labrador,188
1996-07-31,Nova Scotia,351
1996-07-31,Ontario,4044
1996-07-31,Prince Edward Island,48
1996-07-31,Quebec,2868
1996-07-31,Saskatchewan,384
1996-08-31,Alberta,1008
1996-08-31,British Columbia,1483
1996-08-31,Manitoba,427
1996-08-31,New Brunswick,277
1996-08-31,Newfoundland and Labrador,188
1996-08-31,Nova Scotia,351
1996-08-31,Ontario,4044
1996-08-31,Prince Edward Island,48
1996-08-31,Quebec,2868
1996-08-31,Saskatchewan,384
1996-09-30,Alberta,1008
1996-09-30,British Columbia,1483
1996-09-30,Manitoba,427
1996-09-30,New Brunswick,277
1996-09-30,Newfoundland and Labrador,188
1996-09-30,Nova Scotia,351
1996-09-30,Ontario,4044
1996-09-30,Prince Edward Island,48
1996-09-30,Quebec,2868
1996-09-30,Saskatchewan,384
1996-10-31,Alberta,1008
1996-10-31,British Columbia,1483
1996-10-31,Manitoba,427
1996-10-31,New Brunswick,277
1996-10-31,Newfoundland and Labrador,188
1996-10-31,Nova Scotia,351
1996-10-31,Ontario,4044
1996-10-31,Prince Edward Island,48
1996-10-31,Quebec,2868
1996-10-31,Saskatchewan,384
1996-11-30,Alberta,1008
1996-11-30,British Columbia,1483
1996-11-30,Manitoba,427
1996-11-30,New Brunswick,277
1996-11-30,Newfoundland and Labrador,188
1996-11-30,Nova Scotia,351
1996-11-30,Ontario,4044
1996-11-30,Prince Edward Island,48
1996-11-30,Quebec,2868
1996-11-30,Saskatchewan,384
1996-12-31,Alberta,1008
1996-12-31,British Columbia,1483
1996-12-31,Manitoba,427
1996-12-31,New Brunswick,277
1996-12-31,Newfoundland and Labrador,188
1996-12-31,Nova Scotia,351
1996-12-31,Ontario,4044
1996-12-31,Prince Edward Island,48
1996-12-31,Quebec,2868
1996-12-31,Saskatchewan,384
1997-01-31,Alberta,1033
1997-01-31,British Columbia,1506
1997-01-31,Manitoba,430
1997-01-31,New Brunswick,280
1997-01-31,Newfoundland and Labrador,189
1997-01-31,Nova Scotia,355
1997-01-31,Ontario,4111
1997-01-31,Prince Edward Island,49
1997-01-31,Quebec,2903
1997-01-31,Saskatchewan,385
1997-02-28,Alberta,1033
1997-02-28,British Columbia,1506
1997-02-28,Manitoba,430
1997-02-28,New Brunswick,280
1997-02-28,Newfoundland and Labrador,189
1997-02-28,Nova Scotia,355
1997-02-28,Ontario,4111
1997-02-28,Prince Edward Island,49
1997-02-28,Quebec,2903
1997-02-28,Saskatchewan,385
1997-03-31,Alberta,1033
1997-03-31,British Columbia,1506
1997-03-31,Manitoba,430
1997-03-31,New Brunswick,280
1997-03-31,Newfoundland and Labrador,189
1997-03-31,Nova Scotia,355
1997-03-31,Ontario,4111
1997-03-31,Prince Edward Island,49
1997-03-31,Quebec,2903
1997-03-31,Saskatchewan,385
1997-04-30,Alberta,1033
1997-04-30,British Columbia,1506
1997-04-30,Manitoba,430
1997-04-30,New Brunswick,280
1997-04-30,Newfoundland and Labrador,189
1997-04-30,Nova Scotia,355
1997-04-30,Ontario,4111
1997-04-30,Prince Edward Island,49
1997-04-30,Quebec,2903
1997-04-30,Saskatchewan,385
1997-05-31,Alberta,1033
1997-05-31,British Columbia,1506
1997-05-31,Manitoba,430
1997-05-31,New Brunswick,280
1997-05-31,Newfoundland and Labrador,189
1997-05-31,Nova Scotia,355
1997-05-31,Ontario,4111
1997-05-31,Prince Edward Island,49
1997-05-31,Quebec,2903
1997-05-31,Saskatchewan,385
1997-06-30,Alberta,1033
1997-06-30,British Columbia,1506
1997-06-30,Manitoba,430
1997-06-30,New Brunswick,280
1997-06-30,Newfoundland and Labrador,189
1997-06-30,Nova Scotia,355
