Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Change,Population Growth Rate (%),Immigration Contribution (%),Birth-Death Ratio,Migration Ratio (PRs/TRs)
1994,Manitoba,0.0,0.0,49418.0,9148.0,1121910.0,40270.0,0.4855624384930035,0.0,5.4020550940096195,0.0
1994,New Brunswick,0.0,0.0,26935.0,5917.0,749964.75,21018.0,0.17969742973567016,0.0,4.552137907723509,0.0
1994,Newfoundland and Labrador,0.0,0.0,19007.0,4050.0,574833.0,14957.0,-0.863471329794141,0.0,4.693086419753087,0.0
1994,Northwest Territories including Nunavut,0.0,0.0,4736.0,241.0,0.0,4495.0,0.0,0.0,19.651452282157678,0.0
1994,Nova Scotia,0.0,0.0,33441.0,7770.0,926652.5,25671.0,0.33123347317662866,0.0,4.3038610038610035,0.0
1994,Ontario,0.0,0.0,443615.0,77487.0,10800283.25,366128.0,1.1601263559872343,0.0,5.72502484287687,0.0
1994,Prince Edward Island,0.0,0.0,5144.0,1114.0,133254.75,4030.0,0.9427298259036654,0.0,4.617594254937163,0.0
1994,Quebec,0.0,0.0,271659.0,51365.0,7189007.75,220294.0,0.4994807625622322,0.0,5.288795872675947,0.0
1994,Saskatchewan,0.0,0.0,42133.0,8308.0,1009113.25,33825.0,0.34946832683804274,0.0,5.071376986037555,0.0
1994,Unknown province or territory,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
1994,Unknown province or territory of residence,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,-0.0,0.0,0.0
1994,Yukon,0.0,0.0,1325.0,124.0,29660.5,1201.0,-1.483861860515323,0.0,10.685483870967742,0.0
1995,Alberta,0.0,0.0,116724.0,15895.0,2730105.25,100829.0,1.2612192085498242,0.0,7.343441333752753,0.0
1995,British Columbia,0.0,0.0,140263.0,26375.0,3766198.0,113888.0,2.7759789743299956,0.0,5.318028436018957,0.0
1995,Manitoba,0.0,0.0,48339.0,9658.0,1127719.5,38681.0,0.5178222852100456,0.0,5.005073514185131,0.0
1995,New Brunswick,0.0,0.0,25691.0,5938.0,750907.0,19753.0,0.12563923837753954,0.0,4.326540922869653,0.0
1995,Newfoundland and Labrador,0.0,0.0,17568.0,3935.0,568009.0,13633.0,-1.1871273917816172,0.0,4.464548919949174,0.0
1995,Northwest Territories including Nunavut,0.0,0.0,4837.0,227.0,0.0,4610.0,0.0,0.0,21.308370044052865,0.0
1995,Nova Scotia,0.0,0.0,32396.0,7687.0,928296.0,24709.0,0.1773588265288284,0.0,4.214387927670092,0.0
