Date,GEO,Number_of_Houses_Forecast,Model_Used
2024-11-01,Ontario,5989643.270145326,Prophet
2024-12-01,Ontario,5994781.94749484,Prophet
2025-01-01,Ontario,6000091.914089339,Prophet
2025-02-01,Ontario,6005401.880683837,Prophet
2025-03-01,Ontario,6010197.979543384,Prophet
2025-04-01,Ontario,6015507.946137883,Prophet
2025-05-01,Ontario,6020646.623487398,Prophet
2025-06-01,Ontario,6025956.590081896,Prophet
2025-07-01,Ontario,6031095.26743141,Prophet
2025-08-01,Ontario,6036405.234025909,Prophet
2025-09-01,Ontario,6041715.200620407,Prophet
2025-10-01,Ontario,6046853.877969922,Prophet
2025-11-01,Ontario,6052163.84456442,Prophet
2025-12-01,Ontario,6057302.521913935,Prophet
2026-01-01,Ontario,6062612.488508433,Prophet
2026-02-01,Ontario,6067922.455102932,Prophet
2026-03-01,Ontario,6072718.5539624775,Prophet
2026-04-01,Ontario,6078028.520556977,Prophet
2026-05-01,Ontario,6083167.197906491,Prophet
2026-06-01,Ontario,6088477.16450099,Prophet
2026-07-01,Ontario,6093615.841850505,Prophet
2026-08-01,Ontario,6098925.808445003,Prophet
2026-09-01,Ontario,6104235.775039501,Prophet
2026-10-01,Ontario,6109374.452389016,Prophet
2026-11-01,Ontario,6114684.418983514,Prophet
2026-12-01,Ontario,6119823.096333029,Prophet
2027-01-01,Ontario,6125133.062927527,Prophet
2027-02-01,Ontario,6130443.029522026,Prophet
2027-03-01,Ontario,6135239.128381573,Prophet
2027-04-01,Ontario,6140549.094976071,Prophet
2027-05-01,Ontario,6145687.7723255865,Prophet
2027-06-01,Ontario,6150997.738920084,Prophet
2027-07-01,Ontario,6156136.4162695985,Prophet
2027-08-01,Ontario,6161446.382864097,Prophet
2027-09-01,Ontario,6166756.349458595,Prophet
2027-10-01,Ontario,6171895.02680811,Prophet
2027-11-01,Ontario,6177204.993402609,Prophet
2027-12-01,Ontario,6182343.670752124,Prophet
2028-01-01,Ontario,6187653.637346622,Prophet
2028-02-01,Ontario,6192963.60394112,Prophet
2028-03-01,Ontario,6197930.99204565,Prophet
2028-04-01,Ontario,6203240.958640149,Prophet
2028-05-01,Ontario,6208379.635989664,Prophet
2028-06-01,Ontario,6213689.602584161,Prophet
2028-07-01,Ontario,6218828.279933676,Prophet
2028-08-01,Ontario,6224138.246528176,Prophet
2028-09-01,Ontario,6229448.213122673,Prophet
2028-10-01,Ontario,6234586.890472189,Prophet
2028-11-01,Ontario,6239896.857066686,Prophet
2028-12-01,Ontario,6245035.5344162015,Prophet
2029-01-01,Ontario,6250345.5010107,Prophet
2029-02-01,Ontario,6255655.467605199,Prophet
2029-03-01,Ontario,6260451.566464745,Prophet
2029-04-01,Ontario,6265761.533059242,Prophet
2029-05-01,Ontario,6270900.210408757,Prophet
2029-06-01,Ontario,6276210.177003256,Prophet
2029-07-01,Ontario,6281348.854352771,Prophet
2029-08-01,Ontario,6286658.82094727,Prophet
2029-09-01,Ontario,6291968.787541768,Prophet
2029-10-01,Ontario,6297107.464891282,Prophet
2029-11-01,Ontario,6302417.431485781,Prophet
2029-12-01,Ontario,6307556.108835295,Prophet
2030-01-01,Ontario,6312866.075429793,Prophet
2030-02-01,Ontario,6318176.042024292,Prophet
2030-03-01,Ontario,6322972.140883839,Prophet
2030-04-01,Ontario,6328282.107478337,Prophet
2030-05-01,Ontario,6333420.784827853,Prophet
2030-06-01,Ontario,6338730.75142235,Prophet
2030-07-01,Ontario,6343869.428771865,Prophet
2030-08-01,Ontario,6349179.395366363,Prophet
2030-09-01,Ontario,6354489.361960863,Prophet
2030-10-01,Ontario,6359628.039310376,Prophet
2030-11-01,Ontario,6364938.005904875,Prophet
2030-12-01,Ontario,6370076.68325439,Prophet
2031-01-01,Ontario,6375386.649848889,Prophet
2031-02-01,Ontario,6380696.616443386,Prophet
2031-03-01,Ontario,6385492.715302934,Prophet
2031-04-01,Ontario,6390802.681897432,Prophet
2031-05-01,Ontario,6395941.359246947,Prophet
2031-06-01,Ontario,6401251.325841445,Prophet
2031-07-01,Ontario,6406390.003190959,Prophet
2031-08-01,Ontario,6411699.9697854575,Prophet
2031-09-01,Ontario,6417009.936379956,Prophet
2031-10-01,Ontario,6422148.613729471,Prophet
2031-11-01,Ontario,6427458.580323969,Prophet
2031-12-01,Ontario,6432597.257673483,Prophet
2032-01-01,Ontario,6437907.224267983,Prophet
2032-02-01,Ontario,6443217.19086248,Prophet
2032-03-01,Ontario,6448184.578967011,Prophet
2032-04-01,Ontario,6453494.54556151,Prophet
2032-05-01,Ontario,6458633.222911025,Prophet
2032-06-01,Ontario,6463943.189505522,Prophet
2032-07-01,Ontario,6469081.866855037,Prophet
2032-08-01,Ontario,6474391.833449536,Prophet
2032-09-01,Ontario,6479701.800044034,Prophet
2032-10-01,Ontario,6484840.477393549,Prophet
2032-11-01,Ontario,6490150.443988048,Prophet
2032-12-01,Ontario,6495289.121337561,Prophet
2033-01-01,Ontario,6500599.08793206,Prophet
2033-02-01,Ontario,6505909.054526558,Prophet
2033-03-01,Ontario,6510705.153386107,Prophet
2033-04-01,Ontario,6516015.119980603,Prophet
2033-05-01,Ontario,6521153.797330119,Prophet
2033-06-01,Ontario,6526463.763924617,Prophet
2033-07-01,Ontario,6531602.441274132,Prophet
2033-08-01,Ontario,6536912.40786863,Prophet
2033-09-01,Ontario,6542222.374463129,Prophet
2033-10-01,Ontario,6547361.051812642,Prophet
2033-11-01,Ontario,6552671.018407141,Prophet
2033-12-01,Ontario,6557809.695756656,Prophet
2034-01-01,Ontario,6563119.662351155,Prophet
2034-02-01,Ontario,6568429.628945652,Prophet
2034-03-01,Ontario,6573225.7278052,Prophet
2034-04-01,Ontario,6578535.694399699,Prophet
2034-05-01,Ontario,6583674.371749212,Prophet
2034-06-01,Ontario,6588984.338343712,Prophet
2034-07-01,Ontario,6594123.015693227,Prophet
2034-08-01,Ontario,6599432.982287724,Prophet
2034-09-01,Ontario,6604742.948882222,Prophet
2034-10-01,Ontario,6609881.626231737,Prophet
2034-11-01,Ontario,6615191.592826236,Prophet
2034-12-01,Ontario,6620330.27017575,Prophet
2035-01-01,Ontario,6625640.236770248,Prophet
2035-02-01,Ontario,6630950.203364748,Prophet
2035-03-01,Ontario,6635746.302224293,Prophet
2035-04-01,Ontario,6641056.268818793,Prophet
2035-05-01,Ontario,6646194.946168306,Prophet
2035-06-01,Ontario,6651504.912762805,Prophet
2035-07-01,Ontario,6656643.59011232,Prophet
2035-08-01,Ontario,6661953.556706817,Prophet
2035-09-01,Ontario,6667263.523301317,Prophet
2035-10-01,Ontario,6672402.200650832,Prophet
2035-11-01,Ontario,6677712.167245329,Prophet
2035-12-01,Ontario,6682850.844594844,Prophet
2036-01-01,Ontario,6688160.811189342,Prophet
2036-02-01,Ontario,6693470.777783841,Prophet
2036-03-01,Ontario,6698438.165888371,Prophet
2036-04-01,Ontario,6703748.132482871,Prophet
2036-05-01,Ontario,6708886.809832385,Prophet
2036-06-01,Ontario,6714196.776426883,Prophet
2036-07-01,Ontario,6719335.453776398,Prophet
2036-08-01,Ontario,6724645.420370895,Prophet
2036-09-01,Ontario,6729955.386965395,Prophet
2036-10-01,Ontario,6735094.06431491,Prophet
2024-11-01,Prince Edward Island,68311.71916256977,Prophet
2024-12-01,Prince Edward Island,68398.85266918574,Prophet
2025-01-01,Prince Edward Island,68488.89062602227,Prophet
2025-02-01,Prince Edward Island,68578.9285828588,Prophet
2025-03-01,Prince Edward Island,68660.2531890337,Prophet
2025-04-01,Prince Edward Island,68750.29114587021,Prophet
2025-05-01,Prince Edward Island,68837.42465248621,Prophet
2025-06-01,Prince Edward Island,68927.46260932271,Prophet
2025-07-01,Prince Edward Island,69014.59611593871,Prophet
2025-08-01,Prince Edward Island,69104.63407277521,Prophet
2025-09-01,Prince Edward Island,69194.67202961173,Prophet
2025-10-01,Prince Edward Island,69281.80553622771,Prophet
2025-11-01,Prince Edward Island,69371.84349306423,Prophet
2025-12-01,Prince Edward Island,69458.97699968022,Prophet
2026-01-01,Prince Edward Island,69549.01495651674,Prophet
2026-02-01,Prince Edward Island,69639.05291335324,Prophet
