REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,College,Elementary and/or High School,University,Educator_to_OperatingSpending,Salary_to_EPI,OpSpend_per_Educator,Education_Access_Index,Capital_Efficiency
01-01-2035,New Brunswick,11327.587174469716,191.10435933630686,9668.096111085504,156.32493884297668,208.9956584977467,193.36099842312765,171.16968078209172,158.19024215791117,153.1335555233408,123.11388686771346,152.22005917584042,169421.17532467534,351469.3005565863,325853.02690166974,10.513369530113557,3.6589476849908857,28.85078867688607,0.029687893912065208,1085.1400623055033,32.21347972443275,12.648953976397431,2308.3440599926244
01-01-2020,Newfoundland and Labrador,5157.116621168983,341.85833582188275,5495.339059580925,158.41395314303716,213.39691956306743,206.52984325606243,183.28890440347365,164.2722529597023,154.80449087851892,141.92226392236338,154.15925176242328,169421.17532467534,351469.3005565863,325853.02690166974,11.891316152337073,3.918177978542943,31.164259189554016,0.016865241841175833,1069.4599998995113,59.39970103465526,14.990974550917228,2279.9599167369315
01-01-2021,Newfoundland and Labrador,5162.735033847683,302.7001103397375,5462.014297499942,158.37373349023068,213.19286642873874,206.12623070649047,182.97989419586497,164.42311498501675,154.80603697739562,141.4271049595779,154.1513409508851,169421.17532467534,351469.3005565863,325853.02690166974,12.175473601547493,4.178303495952399,31.88618492962182,0.01676019249100746,1069.7875316146303,59.524062898178855,15.362663899643223,2280.014943812052
01-01-2022,Newfoundland and Labrador,5214.646289538345,327.1580633718154,5540.434715050985,158.36609428736594,213.24234429550893,206.10392100892324,183.11257313819584,164.34658108231582,154.77664754772258,141.6962806781459,154.12508693327712,169421.17532467534,351469.3005565863,325853.02690166974,11.71146015404727,4.361970945790176,32.018342677136545,0.017003309113370155,1069.8087742068756,58.811966176907234,15.42563266047635,2280.4279790591772
01-01-2023,Newfoundland and Labrador,5250.479110406553,327.19714624530275,5577.5676633021785,158.3920323848734,213.34191992380457,206.05822213957535,183.28968271331587,164.2776510920756,154.7790938101684,141.98546232532198,154.1321116210421,169421.17532467534,351469.3005565863,325853.02690166974,11.785443307083394,4.845211605811507,31.604807767893835,0.017118707931776538,1069.5875389142416,58.509434940003146,15.712774221318314,2280.3314515134734
01-01-2024,Newfoundland and Labrador,5251.057428306741,278.4743756344836,5529.743818630855,158.44951644398645,213.4144169930016,206.81209066434235,183.20933374764758,164.33719585909196,154.85819264561476,141.6948664373652,154.21216923283615,169421.17532467534,351469.3005565863,325853.02690166974,12.500621419810217,5.54165185385103,31.552814679480168,0.016967613887984546,1069.226976822516,58.885356577747906,16.401554791499436,2279.128042073422
01-01-2025,Newfoundland and Labrador,5256.675840985493,239.31615015241204,5496.419056549994,158.40929679118028,213.21036385867382,206.4084781147735,182.9003235400402,164.488057884406,154.85973874449164,141.19970747458174,154.20425842129816,169421.17532467534,351469.3005565863,325853.02690166974,12.784778869019995,5.801777371260233,32.27474041954685,0.01686256453781656,1069.5545085376323,59.00971844127073,16.773244140224723,2279.1830691485393
01-01-2026,Newfoundland and Labrador,5217.352714441895,135.07398296681907,5354.770366025541,158.4478992410904,213.06121606445407,208.7653927856006,182.16107157934638,164.81000096314648,155.02029325421745,139.65732611141365,154.3537134093753,169421.17532467534,351469.3005565863,325853.02690166974,14.010150590719379,6.662303453440502,33.448027863787,0.016414440987224947,1069.490417841369,60.016568253838706,17.988953238271044,2276.8744799280926
01-01-2027,Newfoundland and Labrador,5155.593807365226,135.07398296681907,5160.6187387035825,158.41246802345478,212.4856136617406,212.54563605833468,180.58129458366633,165.4401225078706,155.22756710884704,136.68625987121675,154.53268167546233,169421.17532467534,351469.3005565863,325853.02690166974,15.455172294156123,7.681553759115524,35.99395524170941,0.015797006795900615,1070.1044726647144,61.2594216881504,19.677503802931874,2273.9549388363175
01-01-2028,Newfoundland and Labrador,5101.687361610501,135.07398296681907,4983.416839854192,158.29744538173935,211.4311321438811,216.18791894143166,178.4365845539768,166.26808574410887,155.43239711858013,132.91721176298006,154.69623843396394,169421.17532467534,351469.3005565863,325853.02690166974,16.80484909322694,8.814917054990325,39.20520916712539,0.015228623732078,1071.3251530720836,62.22995668362246,21.56006979296488,2271.030990338535
01-01-2029,Newfoundland and Labrador,5107.305774289215,135.07398296681907,4950.092077773199,158.25722572893287,211.2270790095523,215.78430639185842,178.12757434636777,166.41894776942345,155.43394321745686,132.42205280019385,154.68832762242585,169421.17532467534,351469.3005565863,325853.02690166974,17.08900654243722,9.075042572400005,39.9271349071934,0.015123574381909593,1071.6526847872021,62.35431854714609,21.931759141691014,2271.0860174136546
01-01-2030,Newfoundland and Labrador,5086.065655690748,135.07398296681907,4846.836830795771,158.12053887150893,209.88108538022638,217.00875376767627,176.06093251691914,167.21491558487767,155.60250107200858,129.01353032040052,154.81573215332077,169421.17532467534,351469.3005565863,325853.02690166974,18.11931979867795,10.174950187329667,42.74788621950982,0.014785885208286111,1072.9258472293616,62.727038256389044,23.608377767074245,2268.5330339578895
01-01-2031,Newfoundland and Labrador,5103.149193679443,135.07398296681907,4832.637175004873,158.03924729302358,208.59872797989365,214.2425216695707,174.6939980754411,167.75772394452133,155.7259980428601,126.93687163197191,154.91222741294143,169421.17532467534,351469.3005565863,325853.02690166974,18.7462795678096,11.035907736323672,44.49909298689029,0.014729763053232262,1073.6270093117996,62.50305079647811,24.759704516684092,2266.4705043109875
